"","Human_Gene_Atlas.Term","Human_Gene_Atlas.Overlap","Human_Gene_Atlas.P.value","Human_Gene_Atlas.Adjusted.P.value","Human_Gene_Atlas.Old.P.value","Human_Gene_Atlas.Old.Adjusted.P.value","Human_Gene_Atlas.Odds.Ratio","Human_Gene_Atlas.Combined.Score","Human_Gene_Atlas.Genes"
"58","721 B lymphoblasts","26/1543",0.990006695644218,0.999970225715678,0,0,0.650236837640357,0.00653070088563525,"SF3B2;HSP90AB1;ENO1;ACTB;HSPD1;SEPT8;LDHA;ACTR1A;ARHGDIA;CCT7;NDUFV1;IDH3A;CCT3;NPM1;USP5;STARD7;GOT2;PFKL;PRPF6;EWSR1;NCL;FSCN1;NDUFS2;VDAC1;FARSA;PTMA"
"59","TrigeminalGanglion","1/196",0.993171163068585,0.999970225715678,0,0,0.198396793587174,0.00135946643955538,"FKBP1A"
"60","Uterus","1/201",0.993990527860616,0.999970225715678,0,0,0.193386773547094,0.00116565844232955,"RNPS1"
"61","CD33+ Myeloid","8/679",0.99542848315407,0.999970225715678,0,0,0.456278094822677,0.00209066540233766,"CAMK2B;REEP5;FTH1;APLP2;ZFAND5;PPT1;TKT;YPEL5"
"62","CD56+ NKCells","9/752",0.996460904121816,0.999970225715678,0,0,0.46273844407957,0.00164058052142005,"TPI1;DNAJB6;CTBP1;EFHD2;MATK;ATXN7L3B;MBP;ADD1;OTUB1"
"63","colon","1/258",0.998602249208304,0.999970225715678,0,0,0.150051074912471,0.000209880723421817,"DSTN"
"64","CiliaryGanglion","1/278",0.999162225468724,0.999970225715678,0,0,0.139072368563842,0.000116560120757635,"CLU"
"65","TestisIntersitial","3/568",0.99993728069927,0.999970225715678,0,0,0.202293406456438,1.2688098893739e-05,"EGLN2;GPX4;CALM3"
"66","SuperiorCervicalGanglion","3/602",0.999969005765871,0.999970225715678,0,0,0.190468352687074,5.90351220521938e-06,"THRA;SCD5;CHI3L1"
"67","CD19+ BCells(neg. sel.)","1/412",0.999970225715678,0.999970225715678,0,0,0.09307666427746,2.77133232336794e-06,"COX4I1"
