"","associated_gene","Mouse","Fetal","Adult","Human"
"268","AL583722.4_TMEM179",NA,NA,NA,1
"269","AL590560.1",NA,2,1,2
"270","AL603910.1_EEF1A1",NA,1,NA,1
"271","AL807752.6",NA,NA,NA,1
"272","ALAD",1,2,2,2
"273","ALAS1",2,NA,NA,NA
"274","ALDH18A1",1,NA,NA,NA
"275","ALDH1L1",1,NA,1,1
"276","ALDH2",1,1,NA,2
"277","ALDH4A1",2,NA,NA,NA
"278","ALDH5A1",3,NA,NA,NA
"279","ALDOA",7,NA,1,2
"280","ALDOC",3,NA,2,2
"281","ALG11",1,NA,NA,NA
"282","ALG12",2,1,1,1
"283","ALG8",NA,1,NA,1
"284","ALKBH1",1,NA,NA,NA
"285","ALKBH2",2,NA,NA,NA
"286","ALKBH3",1,NA,NA,NA
"287","ALKBH6",3,NA,2,2
"288","ALOXE3",1,NA,NA,NA
"289","AMBRA1",3,NA,NA,NA
"290","AMDHD2",NA,NA,3,4
"291","AMER2",NA,NA,1,1
"292","AMN",1,NA,NA,NA
"293","AMPD2",2,NA,NA,NA
"294","AMZ2",NA,NA,NA,1
"295","AMZ2P1",NA,1,NA,2
"296","ANAPC15",3,NA,1,1
"297","ANAPC2",1,2,1,4
"298","ANAPC4",1,NA,NA,1
"299","ANAPC5",6,2,3,5
"300","ANAPC7",1,NA,NA,NA
"301","ANGEL1",1,1,NA,1
"302","ANGPTL4",NA,NA,1,1
"303","ANGPTL6",1,NA,NA,NA
"304","ANK1",1,NA,NA,NA
"305","ANK3",2,NA,NA,NA
"306","ANKMY2",NA,1,NA,1
"307","ANKRA2",1,1,NA,1
"308","ANKRD10",1,1,NA,1
"309","ANKRD11",NA,NA,NA,1
"310","ANKRD13A",1,NA,NA,NA
"311","ANKRD13B",9,2,2,3
"312","ANKRD13C",5,NA,NA,NA
"313","ANKRD13D",2,NA,NA,2
"314","ANKRD16",4,NA,NA,NA
"315","ANKRD17",NA,1,1,2
"316","ANKRD2",NA,NA,NA,1
"317","ANKRD27",1,NA,NA,NA
"318","ANKRD34B",1,NA,NA,NA
"319","ANKRD35",1,NA,NA,NA
"320","ANKRD36",NA,2,1,3
"321","ANKRD36B",NA,NA,1,1
"322","ANKRD39",NA,1,1,3
"323","ANKRD42",1,NA,NA,NA
"324","ANKRD54",1,NA,1,1
"325","ANKS1",1,NA,NA,NA
"326","ANKS3",1,NA,NA,NA
"327","ANKS6",1,NA,NA,NA
"328","ANKZF1",2,2,NA,4
"329","ANP32A",NA,1,NA,1
"330","ANXA11",1,NA,NA,NA
"331","ANXA6",NA,NA,1,1
"332","AOPEP",2,NA,NA,NA
"333","AP002884.1",NA,NA,1,1
"334","AP002956.1",NA,NA,2,3
"335","AP1AR",1,NA,NA,NA
"336","AP1G2",NA,1,NA,1
