"","Genes","Number of Splicing Events","dataset"
"8481","MZT2B",1,"AdultCTX"
"8482","N4BP2L1",1,"AdultCTX"
"8483","NAA10",1,"AdultCTX"
"8484","NAA25",1,"AdultCTX"
"8485","NAA38",1,"AdultCTX"
"8486","NABP2",1,"AdultCTX"
"8487","NADK2",1,"AdultCTX"
"8488","NAE1",1,"AdultCTX"
"8489","NAGK",1,"AdultCTX"
"8490","NAMPT",1,"AdultCTX"
"8491","NAPB",1,"AdultCTX"
"8492","NAPEPLD",1,"AdultCTX"
"8493","NASP",1,"AdultCTX"
"8494","NBL1",1,"AdultCTX"
"8495","NBPF20",1,"AdultCTX"
"8496","NCAM1",1,"AdultCTX"
"8497","NCEH1",1,"AdultCTX"
"8498","NCK1",1,"AdultCTX"
"8499","NCK2",1,"AdultCTX"
"8500","NCKAP1",1,"AdultCTX"
"8501","NCL",1,"AdultCTX"
"8502","NCOA4",1,"AdultCTX"
"8503","NCOA5",1,"AdultCTX"
"8504","NDFIP1",1,"AdultCTX"
"8505","NDRG1",1,"AdultCTX"
"8506","NDRG3",1,"AdultCTX"
"8507","NDUFA11",1,"AdultCTX"
"8508","NDUFA12",1,"AdultCTX"
"8509","NDUFA13",1,"AdultCTX"
"8510","NDUFAF1",1,"AdultCTX"
"8511","NDUFAF7",1,"AdultCTX"
"8512","NDUFB1",1,"AdultCTX"
"8513","NDUFB11",1,"AdultCTX"
"8514","NDUFB8",1,"AdultCTX"
"8515","NDUFV3",1,"AdultCTX"
"8516","NECTIN1",1,"AdultCTX"
"8517","NEDD4L",1,"AdultCTX"
"8518","NEDD8",1,"AdultCTX"
"8519","NEFM",1,"AdultCTX"
"8520","NEK3",1,"AdultCTX"
"8521","NEK6",1,"AdultCTX"
"8522","NELFB",1,"AdultCTX"
"8523","NELL1",1,"AdultCTX"
"8524","NENF",1,"AdultCTX"
"8525","NETO2",1,"AdultCTX"
"8526","NEUROD2",1,"AdultCTX"
"8527","NFASC",1,"AdultCTX"
"8528","NFE2L1",1,"AdultCTX"
"8529","NFE2L2",1,"AdultCTX"
"8530","NFKBIA",1,"AdultCTX"
"8531","NFKBIB",1,"AdultCTX"
"8532","NFS1",1,"AdultCTX"
"8533","NFYB",1,"AdultCTX"
"8534","NGLY1",1,"AdultCTX"
"8535","NGRN",1,"AdultCTX"
"8536","NHLRC3",1,"AdultCTX"
"8537","NHP2",1,"AdultCTX"
"8538","NIM1K",1,"AdultCTX"
"8539","NIPA2",1,"AdultCTX"
"8540","NIPSNAP1",1,"AdultCTX"
"8541","NIT2",1,"AdultCTX"
"8542","NKAIN2",1,"AdultCTX"
"8543","NKIRAS1",1,"AdultCTX"
"8544","NKIRAS2",1,"AdultCTX"
"8545","NKRF",1,"AdultCTX"
"8546","NKTR",1,"AdultCTX"
"8547","NLN",1,"AdultCTX"
"8548","NMD3",1,"AdultCTX"
"8549","NME1",1,"AdultCTX"
"8550","NME2",1,"AdultCTX"
"8551","NME3",1,"AdultCTX"
"8552","NME4",1,"AdultCTX"
"8553","NMNAT3",1,"AdultCTX"
"8554","NMRK1",1,"AdultCTX"
"8555","NNAT",1,"AdultCTX"
"8556","NNT-AS1",1,"AdultCTX"
"8557","NOB1",1,"AdultCTX"
"8558","NOC2L",1,"AdultCTX"
"8559","NOL4",1,"AdultCTX"
"8560","NONO",1,"AdultCTX"
"8561","NOP16",1,"AdultCTX"
"8562","NOP53",1,"AdultCTX"
"8563","NOSIP",1,"AdultCTX"
"8564","novelGene",1,"AdultCTX"
"8565","NPAS2",1,"AdultCTX"
"8566","NPEPL1",1,"AdultCTX"
"8567","NPIPA1",1,"AdultCTX"
"8568","NPM1",1,"AdultCTX"
"8569","NPRL2",1,"AdultCTX"
"8570","NPRL3",1,"AdultCTX"
"8571","NPY1R",1,"AdultCTX"
"8572","NR1H2",1,"AdultCTX"
"8573","NR2F1-AS1",1,"AdultCTX"
"8574","NR3C1",1,"AdultCTX"
"8575","NRCAM",1,"AdultCTX"
"8576","NRN1",1,"AdultCTX"
"8577","NRSN1",1,"AdultCTX"
"8578","NRXN3",1,"AdultCTX"
"8579","NSD1",1,"AdultCTX"
"8580","NSD2",1,"AdultCTX"
"8581","NSF",1,"AdultCTX"
"8582","NSRP1",1,"AdultCTX"
"8583","NSUN5P1",1,"AdultCTX"
"8584","NT5C",1,"AdultCTX"
"8585","NTMT1",1,"AdultCTX"
"8586","NTN4",1,"AdultCTX"
"8587","NTPCR",1,"AdultCTX"
"8588","NTSR2",1,"AdultCTX"
"8589","NUAK1",1,"AdultCTX"
"8590","NUB1",1,"AdultCTX"
"8591","NUCB1",1,"AdultCTX"
"8592","NUDT12",1,"AdultCTX"
"8593","NUDT16L1",1,"AdultCTX"
"8594","NUMA1",1,"AdultCTX"
"8595","NUP50",1,"AdultCTX"
"8596","NUP85",1,"AdultCTX"
"8597","NUPL2",1,"AdultCTX"
"8598","NUPR1",1,"AdultCTX"
"8599","NUTF2",1,"AdultCTX"
"8600","OAF",1,"AdultCTX"
"8601","OAT",1,"AdultCTX"
"8602","ODR4",1,"AdultCTX"
"8603","OGG1",1,"AdultCTX"
"8604","OLA1",1,"AdultCTX"
"8605","OLFM2",1,"AdultCTX"
"8606","OLFM3",1,"AdultCTX"
"8607","OPALIN",1,"AdultCTX"
"8608","OR2L13",1,"AdultCTX"
"8609","ORC4",1,"AdultCTX"
"8610","ORMDL1",1,"AdultCTX"
"8611","OSBP2",1,"AdultCTX"
"8612","OSBPL6",1,"AdultCTX"
"8613","OSCP1",1,"AdultCTX"
"8614","OSTF1",1,"AdultCTX"
"8615","OTUB1",1,"AdultCTX"
"8616","OXA1L",1,"AdultCTX"
"8617","OXCT1",1,"AdultCTX"
"8618","OXLD1",1,"AdultCTX"
"8619","P4HA2",1,"AdultCTX"
"8620","P4HB",1,"AdultCTX"
"8621","PABPC4",1,"AdultCTX"
"8622","PABPN1",1,"AdultCTX"
"8623","PACS2",1,"AdultCTX"
"8624","PACSIN1",1,"AdultCTX"
"8625","PACSIN2",1,"AdultCTX"
"8626","PADI2",1,"AdultCTX"
"8627","PAF1",1,"AdultCTX"
"8628","PAFAH1B1",1,"AdultCTX"
"8629","PAFAH1B3",1,"AdultCTX"
"8630","PAK4",1,"AdultCTX"
"8631","PAMR1",1,"AdultCTX"
"8632","PANK1",1,"AdultCTX"
"8633","PANK2",1,"AdultCTX"
"8634","PAPOLA",1,"AdultCTX"
"8635","PAPSS1",1,"AdultCTX"
"8636","PAQR4",1,"AdultCTX"
"8637","PARK7",1,"AdultCTX"
"8638","PARL",1,"AdultCTX"
"8639","PARM1",1,"AdultCTX"
"8640","PATZ1",1,"AdultCTX"
"8641","PAXX",1,"AdultCTX"
"8642","PBX1",1,"AdultCTX"
"8643","PC",1,"AdultCTX"
"8644","PCBD1",1,"AdultCTX"
"8645","PCDH10",1,"AdultCTX"
"8646","PCDH8",1,"AdultCTX"
"8647","PCDHA13",1,"AdultCTX"
"8648","PCDHA4",1,"AdultCTX"
"8649","PCDHGA12",1,"AdultCTX"
"8650","PCDHGA9",1,"AdultCTX"
"8651","PCDHGB5",1,"AdultCTX"
"8652","PCDHGC4",1,"AdultCTX"
"8653","PCED1A",1,"AdultCTX"
"8654","PCGF3",1,"AdultCTX"
"8655","PCIF1",1,"AdultCTX"
"8656","PCM1",1,"AdultCTX"
"8657","PCMTD1",1,"AdultCTX"
"8658","PCMTD2",1,"AdultCTX"
"8659","PDCD10",1,"AdultCTX"
"8660","PDCD6IP",1,"AdultCTX"
"8661","PDE2A",1,"AdultCTX"
"8662","PDE4B",1,"AdultCTX"
"8663","PDHA1",1,"AdultCTX"
"8664","PDK2",1,"AdultCTX"
"8665","PDLIM2",1,"AdultCTX"
"8666","PDPK1",1,"AdultCTX"
"8667","PDXK",1,"AdultCTX"
"8668","PDZD11",1,"AdultCTX"
"8669","PDZRN3",1,"AdultCTX"
"8670","PEA15",1,"AdultCTX"
"8671","PELP1",1,"AdultCTX"
"8672","PEX11B",1,"AdultCTX"
"8673","PEX14",1,"AdultCTX"
"8674","PEX19",1,"AdultCTX"
"8675","PEX2",1,"AdultCTX"
"8676","PEX5L",1,"AdultCTX"
"8677","PFDN1",1,"AdultCTX"
"8678","PGAM5",1,"AdultCTX"
"8679","PGBD5",1,"AdultCTX"
"8680","PGP",1,"AdultCTX"
"8681","PGS1",1,"AdultCTX"
"8682","PHACTR3",1,"AdultCTX"
"8683","PHF14",1,"AdultCTX"
"8684","PHF20",1,"AdultCTX"
"8685","PHKG2",1,"AdultCTX"
"8686","PHLDB1",1,"AdultCTX"
"8687","PI4KA",1,"AdultCTX"
"8688","PI4KAP2",1,"AdultCTX"
"8689","PIGA",1,"AdultCTX"
"8690","PIGQ",1,"AdultCTX"
"8691","PIGV",1,"AdultCTX"
"8692","PIGX",1,"AdultCTX"
"8693","PIK3IP1",1,"AdultCTX"
"8694","PIK3R1",1,"AdultCTX"
"8695","PIM3",1,"AdultCTX"
"8696","PIP4K2C",1,"AdultCTX"
"8697","PJA1",1,"AdultCTX"
"8698","PKDCC",1,"AdultCTX"
"8699","PKIA",1,"AdultCTX"
"8700","PKIG",1,"AdultCTX"
"8701","PLA2G15",1,"AdultCTX"
"8702","PLCG1",1,"AdultCTX"
"8703","PLEKHA3",1,"AdultCTX"
"8704","PLEKHJ1",1,"AdultCTX"
"8705","PLEKHM1",1,"AdultCTX"
"8706","PLEKHM2",1,"AdultCTX"
"8707","PLEKHO1",1,"AdultCTX"
"8708","PLK2",1,"AdultCTX"
"8709","PLPBP",1,"AdultCTX"
"8710","PLPPR5",1,"AdultCTX"
"8711","PLS3",1,"AdultCTX"
"8712","PLSCR1",1,"AdultCTX"
"8713","PLSCR4",1,"AdultCTX"
"8714","PMM1",1,"AdultCTX"
"8715","PMP22",1,"AdultCTX"
"8716","PMPCA",1,"AdultCTX"
"8717","PNMA8A",1,"AdultCTX"
"8718","PNPLA2",1,"AdultCTX"
"8719","PNPLA3",1,"AdultCTX"
"8720","PODXL2",1,"AdultCTX"
"8721","POGLUT1",1,"AdultCTX"
"8722","POLB",1,"AdultCTX"
"8723","POLD2",1,"AdultCTX"
"8724","POLDIP3",1,"AdultCTX"
"8725","POLK",1,"AdultCTX"
"8726","POLR1C",1,"AdultCTX"
"8727","POLR1D",1,"AdultCTX"
"8728","POLR2J4",1,"AdultCTX"
"8729","POLR3F",1,"AdultCTX"
"8730","POLR3GL",1,"AdultCTX"
"8731","POLR3H",1,"AdultCTX"
"8732","POMGNT1",1,"AdultCTX"
"8733","POMGNT2",1,"AdultCTX"
"8734","PPA2",1,"AdultCTX"
"8735","PPARD",1,"AdultCTX"
"8736","PPCS",1,"AdultCTX"
"8737","PPFIA1",1,"AdultCTX"
"8738","PPFIA2",1,"AdultCTX"
"8739","PPFIA3",1,"AdultCTX"
"8740","PPFIA4",1,"AdultCTX"
"8741","PPHLN1",1,"AdultCTX"
"8742","PPID",1,"AdultCTX"
"8743","PPIG",1,"AdultCTX"
"8744","PPM1K",1,"AdultCTX"
"8745","PPM1M",1,"AdultCTX"
"8746","PPP1R14A",1,"AdultCTX"
"8747","PPP1R1B",1,"AdultCTX"
"8748","PPP1R2",1,"AdultCTX"
"8749","PPP1R37",1,"AdultCTX"
"8750","PPP2R1A",1,"AdultCTX"
"8751","PPP2R5C",1,"AdultCTX"
"8752","PPP3CA",1,"AdultCTX"
"8753","PPP4R2",1,"AdultCTX"
"8754","PPP4R3B",1,"AdultCTX"
"8755","PPP5C",1,"AdultCTX"
"8756","PPP6R1",1,"AdultCTX"
"8757","PRC1",1,"AdultCTX"
"8758","PRDM4",1,"AdultCTX"
"8759","PRDX2",1,"AdultCTX"
"8760","PRDX3",1,"AdultCTX"
"8761","PRDX5",1,"AdultCTX"
"8762","PRELID1",1,"AdultCTX"
"8763","PRKACB",1,"AdultCTX"
"8764","PRKAG1",1,"AdultCTX"
"8765","PRKAG2",1,"AdultCTX"
"8766","PRKCB",1,"AdultCTX"
"8767","PRKCD",1,"AdultCTX"
"8768","PRKDC",1,"AdultCTX"
"8769","PRKRIP1",1,"AdultCTX"
"8770","PRMT1",1,"AdultCTX"
"8771","PRMT2",1,"AdultCTX"
"8772","PRMT7",1,"AdultCTX"
"8773","PRNP",1,"AdultCTX"
"8774","PRPF3",1,"AdultCTX"
"8775","PRPSAP1",1,"AdultCTX"
"8776","PRR5",1,"AdultCTX"
"8777","PRRC2C",1,"AdultCTX"
"8778","PSAT1",1,"AdultCTX"
"8779","PSEN1",1,"AdultCTX"
"8780","PSMA1",1,"AdultCTX"
"8781","PSMB1",1,"AdultCTX"
"8782","PSMB5",1,"AdultCTX"
"8783","PSMB7",1,"AdultCTX"
"8784","PSMC3",1,"AdultCTX"
"8785","PSMC6",1,"AdultCTX"
"8786","PSMD10",1,"AdultCTX"
"8787","PSMD13",1,"AdultCTX"
"8788","PSMD3",1,"AdultCTX"
"8789","PSMD6",1,"AdultCTX"
"8790","PTCD3",1,"AdultCTX"
"8791","PTGR1",1,"AdultCTX"
"8792","PTGR2",1,"AdultCTX"
"8793","PTK2",1,"AdultCTX"
"8794","PTP4A2",1,"AdultCTX"
"8795","PTPMT1",1,"AdultCTX"
"8796","PTPN1",1,"AdultCTX"
"8797","PTPN23",1,"AdultCTX"
"8798","PTPRE",1,"AdultCTX"
"8799","PTPRF",1,"AdultCTX"
"8800","PTPRM",1,"AdultCTX"
"8801","PTPRR",1,"AdultCTX"
"8802","PTPRS",1,"AdultCTX"
"8803","PTPRZ1",1,"AdultCTX"
"8804","PTS",1,"AdultCTX"
"8805","PUS7L",1,"AdultCTX"
"8806","PWP2",1,"AdultCTX"
"8807","PWWP3A",1,"AdultCTX"
"8808","PWWP3B",1,"AdultCTX"
"8809","PXN",1,"AdultCTX"
"8810","PXYLP1",1,"AdultCTX"
"8811","PYCR2",1,"AdultCTX"
"8812","QKI",1,"AdultCTX"
"8813","RAB11B",1,"AdultCTX"
"8814","RAB11FIP2",1,"AdultCTX"
"8815","RAB18",1,"AdultCTX"
"8816","RAB1A",1,"AdultCTX"
"8817","RAB1B",1,"AdultCTX"
"8818","RAB24",1,"AdultCTX"
"8819","RAB28",1,"AdultCTX"
"8820","RAB34",1,"AdultCTX"
"8821","RAB3GAP1",1,"AdultCTX"
"8822","RAB3IP",1,"AdultCTX"
"8823","RAB4B",1,"AdultCTX"
"8824","RAB4B-EGLN2",1,"AdultCTX"
"8825","RAB5A",1,"AdultCTX"
"8826","RAB5IF",1,"AdultCTX"
"8827","RABGGTA",1,"AdultCTX"
"8828","RABL2A",1,"AdultCTX"
"8829","RAC1",1,"AdultCTX"
"8830","RAC3",1,"AdultCTX"
"8831","RACGAP1",1,"AdultCTX"
"8832","RACK1",1,"AdultCTX"
"8833","RAD23A",1,"AdultCTX"
"8834","RAD51C",1,"AdultCTX"
"8835","RAI2",1,"AdultCTX"
"8836","RALA",1,"AdultCTX"
"8837","RALB",1,"AdultCTX"
"8838","RALGAPA1",1,"AdultCTX"
"8839","RALY",1,"AdultCTX"
"8840","RAMP1",1,"AdultCTX"
"8841","RANBP1",1,"AdultCTX"
"8842","RANBP3",1,"AdultCTX"
"8843","RANBP6",1,"AdultCTX"
"8844","RANGRF",1,"AdultCTX"
"8845","RAP1GDS1",1,"AdultCTX"
"8846","RAPGEF4",1,"AdultCTX"
"8847","RAPGEF6",1,"AdultCTX"
"8848","RARA",1,"AdultCTX"
"8849","RASA3",1,"AdultCTX"
"8850","RASA4",1,"AdultCTX"
"8851","RASA4CP",1,"AdultCTX"
"8852","RASD2",1,"AdultCTX"
"8853","RASGRP2",1,"AdultCTX"
"8854","RASL10A",1,"AdultCTX"
"8855","RASSF2",1,"AdultCTX"
"8856","RASSF7",1,"AdultCTX"
"8857","RAVER1",1,"AdultCTX"
"8858","RBCK1",1,"AdultCTX"
"8859","RBM17",1,"AdultCTX"
"8860","RBM22",1,"AdultCTX"
"8861","RBM23",1,"AdultCTX"
"8862","RBM24",1,"AdultCTX"
"8863","RBM34",1,"AdultCTX"
"8864","RBM6",1,"AdultCTX"
"8865","RC3H2",1,"AdultCTX"
"8866","RCC1L",1,"AdultCTX"
"8867","RDH14",1,"AdultCTX"
"8868","RELCH",1,"AdultCTX"
"8869","RETREG3",1,"AdultCTX"
"8870","REXO2",1,"AdultCTX"
"8871","RFNG",1,"AdultCTX"
"8872","RFTN1",1,"AdultCTX"
"8873","RFXANK",1,"AdultCTX"
"8874","RGL1",1,"AdultCTX"
"8875","RGR",1,"AdultCTX"
"8876","RGS14",1,"AdultCTX"
"8877","RGS19",1,"AdultCTX"
"8878","RGS20",1,"AdultCTX"
"8879","RGS7",1,"AdultCTX"
"8880","RHBDD2",1,"AdultCTX"
"8881","RHBDD3",1,"AdultCTX"
"8882","RHBDF1",1,"AdultCTX"
"8883","RHNO1",1,"AdultCTX"
"8884","RHOA",1,"AdultCTX"
"8885","RHOBTB2",1,"AdultCTX"
"8886","RILPL2",1,"AdultCTX"
"8887","RIMKLA",1,"AdultCTX"
"8888","RIN1",1,"AdultCTX"
"8889","RIPOR2",1,"AdultCTX"
"8890","RLBP1",1,"AdultCTX"
"8891","RMDN3",1,"AdultCTX"
"8892","RNASE1",1,"AdultCTX"
"8893","RNF11",1,"AdultCTX"
"8894","RNF111",1,"AdultCTX"
"8895","RNF115",1,"AdultCTX"
"8896","RNF144A-AS1",1,"AdultCTX"
"8897","RNF180",1,"AdultCTX"
"8898","RNF185",1,"AdultCTX"
"8899","RNF208",1,"AdultCTX"
"8900","RNF216P1",1,"AdultCTX"
"8901","RNF34",1,"AdultCTX"
"8902","RNF41",1,"AdultCTX"
"8903","RNF8",1,"AdultCTX"
"8904","RNPEP",1,"AdultCTX"
"8905","RNPEPL1",1,"AdultCTX"
"8906","RO60",1,"AdultCTX"
"8907","RPE",1,"AdultCTX"
"8908","RPIA",1,"AdultCTX"
"8909","RPL10A",1,"AdultCTX"
"8910","RPL14",1,"AdultCTX"
"8911","RPL15",1,"AdultCTX"
"8912","RPL18",1,"AdultCTX"
"8913","RPL19",1,"AdultCTX"
"8914","RPL21",1,"AdultCTX"
"8915","RPL27",1,"AdultCTX"
"8916","RPL29",1,"AdultCTX"
"8917","RPL31",1,"AdultCTX"
"8918","RPL34",1,"AdultCTX"
"8919","RPL35A",1,"AdultCTX"
"8920","RPL5",1,"AdultCTX"
"8921","RPL7L1",1,"AdultCTX"
"8922","RPL8",1,"AdultCTX"
"8923","RPL9",1,"AdultCTX"
"8924","RPLP0",1,"AdultCTX"
"8925","RPLP1",1,"AdultCTX"
"8926","RPN2",1,"AdultCTX"
"8927","RPP25L",1,"AdultCTX"
"8928","RPRD1A",1,"AdultCTX"
"8929","RPRD2",1,"AdultCTX"
"8930","RPS10",1,"AdultCTX"
"8931","RPS12",1,"AdultCTX"
"8932","RPS16",1,"AdultCTX"
"8933","RPS2",1,"AdultCTX"
"8934","RPS24",1,"AdultCTX"
"8935","RPS3",1,"AdultCTX"
"8936","RPS3A",1,"AdultCTX"
"8937","RPS6KA2",1,"AdultCTX"
"8938","RPS6KL1",1,"AdultCTX"
"8939","RRAGB",1,"AdultCTX"
"8940","RRNAD1",1,"AdultCTX"
"8941","RRP7BP",1,"AdultCTX"
"8942","RSBN1L",1,"AdultCTX"
"8943","RSPH1",1,"AdultCTX"
"8944","RSPRY1",1,"AdultCTX"
"8945","RTF2",1,"AdultCTX"
"8946","RTN1",1,"AdultCTX"
"8947","RUFY3",1,"AdultCTX"
"8948","RUSC2",1,"AdultCTX"
"8949","RWDD1",1,"AdultCTX"
"8950","RWDD2A",1,"AdultCTX"
"8951","RWDD2B",1,"AdultCTX"
"8952","RXRB",1,"AdultCTX"
"8953","RYR2",1,"AdultCTX"
"8954","S100A1",1,"AdultCTX"
"8955","S100A6",1,"AdultCTX"
"8956","SAMD10",1,"AdultCTX"
"8957","SAR1B",1,"AdultCTX"
"8958","SARAF",1,"AdultCTX"
"8959","SART3",1,"AdultCTX"
"8960","SAT1",1,"AdultCTX"
"8961","SAT2",1,"AdultCTX"
"8962","SBF1",1,"AdultCTX"
"8963","SC5D",1,"AdultCTX"
"8964","SCAMP2",1,"AdultCTX"
"8965","SCAMP3",1,"AdultCTX"
"8966","SCAMP4",1,"AdultCTX"
"8967","SCARA3",1,"AdultCTX"
"8968","SCARB1",1,"AdultCTX"
"8969","SCG3",1,"AdultCTX"
"8970","SCMH1",1,"AdultCTX"
"8971","SCN4B",1,"AdultCTX"
"8972","SCPEP1",1,"AdultCTX"
"8973","SCRN1",1,"AdultCTX"
"8974","SDC2",1,"AdultCTX"
"8975","SDHC",1,"AdultCTX"
"8976","SEC13",1,"AdultCTX"
"8977","SEC14L2",1,"AdultCTX"
"8978","SEC22C",1,"AdultCTX"
"8979","SEC23B",1,"AdultCTX"
"8980","SEC24B",1,"AdultCTX"
"8981","SEC24C",1,"AdultCTX"
"8982","SEC31A",1,"AdultCTX"
"8983","SECISBP2",1,"AdultCTX"
"8984","SEL1L",1,"AdultCTX"
"8985","SELENBP1",1,"AdultCTX"
"8986","SELENOF",1,"AdultCTX"
"8987","SELENOM",1,"AdultCTX"
"8988","SELENOT",1,"AdultCTX"
"8989","SELENOW",1,"AdultCTX"
"8990","SEMA4D",1,"AdultCTX"
"8991","SEMA6A",1,"AdultCTX"
"8992","SENP2",1,"AdultCTX"
"8993","SEPHS1",1,"AdultCTX"
"8994","SEPT11",1,"AdultCTX"
"8995","SEPT6",1,"AdultCTX"
"8996","SEPT9",1,"AdultCTX"
"8997","SERBP1",1,"AdultCTX"
"8998","SERF1B",1,"AdultCTX"
"8999","SERF2",1,"AdultCTX"
"9000","SERINC3",1,"AdultCTX"
"9001","SERP2",1,"AdultCTX"
"9002","SERPING1",1,"AdultCTX"
"9003","SERPINI1",1,"AdultCTX"
"9004","SESN1",1,"AdultCTX"
"9005","SETD3",1,"AdultCTX"
"9006","SETD5",1,"AdultCTX"
"9007","SEZ6",1,"AdultCTX"
"9008","SEZ6L",1,"AdultCTX"
"9009","SF3B2",1,"AdultCTX"
"9010","SFPQ",1,"AdultCTX"
"9011","SFT2D1",1,"AdultCTX"
"9012","SFXN3",1,"AdultCTX"
"9013","SFXN4",1,"AdultCTX"
"9014","SGCE",1,"AdultCTX"
"9015","SGK1",1,"AdultCTX"
"9016","SGPP1",1,"AdultCTX"
"9017","SGSM2",1,"AdultCTX"
"9018","SH2D3C",1,"AdultCTX"
"9019","SH3BP1",1,"AdultCTX"
"9020","SH3BP5",1,"AdultCTX"
"9021","SH3BP5L",1,"AdultCTX"
"9022","SH3GL1",1,"AdultCTX"
"9023","SH3GL2",1,"AdultCTX"
"9024","SH3KBP1",1,"AdultCTX"
"9025","SH3PXD2A",1,"AdultCTX"
"9026","SH3YL1",1,"AdultCTX"
"9027","SHC3",1,"AdultCTX"
"9028","SHISA4",1,"AdultCTX"
"9029","SHISA8",1,"AdultCTX"
"9030","SHMT2",1,"AdultCTX"
"9031","SHPRH",1,"AdultCTX"
"9032","SHTN1",1,"AdultCTX"
"9033","SIAE",1,"AdultCTX"
"9034","SIGIRR",1,"AdultCTX"
"9035","SIK3",1,"AdultCTX"
"9036","SIKE1",1,"AdultCTX"
"9037","SIL1",1,"AdultCTX"
"9038","SIN3B",1,"AdultCTX"
"9039","SIRT3",1,"AdultCTX"
"9040","SIRT5",1,"AdultCTX"
"9041","SIVA1",1,"AdultCTX"
"9042","SLAIN2",1,"AdultCTX"
"9043","SLBP",1,"AdultCTX"
"9044","SLC12A9",1,"AdultCTX"
"9045","SLC14A1",1,"AdultCTX"
"9046","SLC15A4",1,"AdultCTX"
"9047","SLC18B1",1,"AdultCTX"
"9048","SLC19A1",1,"AdultCTX"
"9049","SLC1A1",1,"AdultCTX"
"9050","SLC1A3",1,"AdultCTX"
"9051","SLC20A2",1,"AdultCTX"
"9052","SLC25A1",1,"AdultCTX"
"9053","SLC25A10",1,"AdultCTX"
"9054","SLC25A11",1,"AdultCTX"
"9055","SLC25A14",1,"AdultCTX"
"9056","SLC25A19",1,"AdultCTX"
"9057","SLC25A27",1,"AdultCTX"
"9058","SLC25A28",1,"AdultCTX"
"9059","SLC25A29",1,"AdultCTX"
"9060","SLC25A3",1,"AdultCTX"
"9061","SLC25A36",1,"AdultCTX"
"9062","SLC25A44",1,"AdultCTX"
"9063","SLC25A51",1,"AdultCTX"
"9064","SLC25A6",1,"AdultCTX"
"9065","SLC26A11",1,"AdultCTX"
"9066","SLC26A4-AS1",1,"AdultCTX"
"9067","SLC29A3",1,"AdultCTX"
"9068","SLC29A4",1,"AdultCTX"
"9069","SLC2A11",1,"AdultCTX"
"9070","SLC2A8",1,"AdultCTX"
"9071","SLC30A5",1,"AdultCTX"
"9072","SLC35A1",1,"AdultCTX"
"9073","SLC35B1",1,"AdultCTX"
"9074","SLC35B2",1,"AdultCTX"
"9075","SLC35C2",1,"AdultCTX"
"9076","SLC35F3",1,"AdultCTX"
"9077","SLC35G2",1,"AdultCTX"
"9078","SLC37A3",1,"AdultCTX"
"9079","SLC38A7",1,"AdultCTX"
"9080","SLC39A10",1,"AdultCTX"
"9081","SLC39A12",1,"AdultCTX"
"9082","SLC3A2",1,"AdultCTX"
"9083","SLC4A1AP",1,"AdultCTX"
"9084","SLC4A2",1,"AdultCTX"
"9085","SLC52A2",1,"AdultCTX"
"9086","SLC6A7",1,"AdultCTX"
"9087","SLC7A1",1,"AdultCTX"
"9088","SLC7A4",1,"AdultCTX"
"9089","SLC8A2",1,"AdultCTX"
"9090","SLC9A6",1,"AdultCTX"
"9091","SLC9B2",1,"AdultCTX"
"9092","SLCO4A1",1,"AdultCTX"
"9093","SLITRK2",1,"AdultCTX"
"9094","SLU7",1,"AdultCTX"
"9095","SMAD1",1,"AdultCTX"
"9096","SMAP1",1,"AdultCTX"
"9097","SMARCA2",1,"AdultCTX"
"9098","SMARCA4",1,"AdultCTX"
"9099","SMARCD1",1,"AdultCTX"
"9100","SMARCE1",1,"AdultCTX"
"9101","SMG9",1,"AdultCTX"
"9102","SMIM11B",1,"AdultCTX"
"9103","SMIM12",1,"AdultCTX"
"9104","SMIM29",1,"AdultCTX"
"9105","SMIM8",1,"AdultCTX"
"9106","SMS",1,"AdultCTX"
"9107","SMUG1",1,"AdultCTX"
"9108","SMYD2",1,"AdultCTX"
"9109","SMYD5",1,"AdultCTX"
"9110","SNAP47",1,"AdultCTX"
"9111","SNAPC2",1,"AdultCTX"
"9112","SNAPIN",1,"AdultCTX"
"9113","SND1",1,"AdultCTX"
"9114","SNHG16",1,"AdultCTX"
"9115","SNHG6",1,"AdultCTX"
"9116","SNHG8",1,"AdultCTX"
"9117","SNN",1,"AdultCTX"
"9118","SNPH",1,"AdultCTX"
"9119","SNRNP35",1,"AdultCTX"
"9120","SNRPB2",1,"AdultCTX"
"9121","SNRPC",1,"AdultCTX"
"9122","SNU13",1,"AdultCTX"
"9123","SNX1",1,"AdultCTX"
"9124","SNX14",1,"AdultCTX"
"9125","SNX17",1,"AdultCTX"
"9126","SNX27",1,"AdultCTX"
"9127","SNX3",1,"AdultCTX"
"9128","SNX5",1,"AdultCTX"
"9129","SOD1",1,"AdultCTX"
"9130","SON",1,"AdultCTX"
"9131","SORL1",1,"AdultCTX"
"9132","SOX2-OT",1,"AdultCTX"
"9133","SOX5",1,"AdultCTX"
"9134","SOX8",1,"AdultCTX"
"9135","SPAG7",1,"AdultCTX"
"9136","SPAG9",1,"AdultCTX"
"9137","SPART",1,"AdultCTX"
"9138","SPAST",1,"AdultCTX"
"9139","SPATA2L",1,"AdultCTX"
"9140","SPATA33",1,"AdultCTX"
"9141","SPHK2",1,"AdultCTX"
"9142","SPIDR",1,"AdultCTX"
"9143","SPNS1",1,"AdultCTX"
"9144","SPOCK1",1,"AdultCTX"
