"","Genes","Number of Splicing Events","dataset"
"390","SMG9",4,"HumanCTX"
"391","SNAP91",4,"HumanCTX"
"392","SNRNP70",4,"HumanCTX"
"393","SNRPN",4,"HumanCTX"
"394","SPATA20",4,"HumanCTX"
"395","SPRYD3",4,"HumanCTX"
"396","SRRM1",4,"HumanCTX"
"397","SRSF5",4,"HumanCTX"
"398","SRSF7",4,"HumanCTX"
"399","SSBP4",4,"HumanCTX"
"400","STMN1",4,"HumanCTX"
"401","STOML2",4,"HumanCTX"
"402","STRADA",4,"HumanCTX"
"403","STUB1",4,"HumanCTX"
"404","SUGP2",4,"HumanCTX"
"405","SUN1",4,"HumanCTX"
"406","SYS1",4,"HumanCTX"
"407","SYT4",4,"HumanCTX"
"408","TAF6",4,"HumanCTX"
"409","TAZ",4,"HumanCTX"
"410","TBC1D25",4,"HumanCTX"
"411","TCF25",4,"HumanCTX"
"412","TCF4",4,"HumanCTX"
"413","TESPA1",4,"HumanCTX"
"414","THRA",4,"HumanCTX"
"415","TM7SF2",4,"HumanCTX"
"416","TMED4",4,"HumanCTX"
"417","TMEM120A",4,"HumanCTX"
"418","TMEM130",4,"HumanCTX"
"419","TMEM134",4,"HumanCTX"
"420","TMEM184B",4,"HumanCTX"
"421","TMEM230",4,"HumanCTX"
"422","TMEM25",4,"HumanCTX"
"423","TMEM63B",4,"HumanCTX"
"424","TMEM8B",4,"HumanCTX"
"425","TMX2",4,"HumanCTX"
"426","TOR2A",4,"HumanCTX"
"427","TPGS2",4,"HumanCTX"
"428","TPI1",4,"HumanCTX"
"429","TRMT1",4,"HumanCTX"
"430","TRMT2A",4,"HumanCTX"
"431","UBAP2L",4,"HumanCTX"
"432","UBE2I",4,"HumanCTX"
"433","UBE3A",4,"HumanCTX"
"434","UBL7",4,"HumanCTX"
"435","UCK1",4,"HumanCTX"
"436","UROD",4,"HumanCTX"
"437","VCP",4,"HumanCTX"
"438","VDAC2",4,"HumanCTX"
"439","VEGFA",4,"HumanCTX"
"440","VSTM2B",4,"HumanCTX"
"441","VWA5B2",4,"HumanCTX"
"442","WAC",4,"HumanCTX"
"443","WASH2P",4,"HumanCTX"
"444","WASH7P",4,"HumanCTX"
"445","WBP2",4,"HumanCTX"
"446","WDR6",4,"HumanCTX"
"447","YIF1B",4,"HumanCTX"
"448","YIPF2",4,"HumanCTX"
"449","ZBTB18",4,"HumanCTX"
"450","ZDHHC4",4,"HumanCTX"
"451","ZFYVE21",4,"HumanCTX"
"452","ZMIZ2",4,"HumanCTX"
"453","ZMYND8",4,"HumanCTX"
"454","ZNF611",4,"HumanCTX"
"455","ZNF692",4,"HumanCTX"
"456","ZNF74",4,"HumanCTX"
"457","ZNF767P",4,"HumanCTX"
"458","ZYX",4,"HumanCTX"
"459","AAAS",3,"HumanCTX"
"460","ABCA2",3,"HumanCTX"
"461","ABCB9",3,"HumanCTX"
"462","ABI1",3,"HumanCTX"
"463","AC004156.1",3,"HumanCTX"
"464","AC004475.1",3,"HumanCTX"
"465","AC006538.1",3,"HumanCTX"
"466","AC034102.1",3,"HumanCTX"
"467","AC099508.1",3,"HumanCTX"
"468","AC138969.1",3,"HumanCTX"
"469","AC245297.1",3,"HumanCTX"
"470","ACAA1",3,"HumanCTX"
"471","ACAD11",3,"HumanCTX"
"472","ACADM",3,"HumanCTX"
"473","ACBD5",3,"HumanCTX"
"474","ACO2",3,"HumanCTX"
"475","ADCK5",3,"HumanCTX"
"476","ADD1",3,"HumanCTX"
"477","ADD3",3,"HumanCTX"
"478","ADGRB2",3,"HumanCTX"
"479","ADGRG1",3,"HumanCTX"
"480","ADHFE1",3,"HumanCTX"
"481","ADIPOR1",3,"HumanCTX"
"482","AFTPH",3,"HumanCTX"
"483","AGPAT4",3,"HumanCTX"
"484","AIFM3",3,"HumanCTX"
"485","AIG1",3,"HumanCTX"
"486","AK5",3,"HumanCTX"
"487","AL157871.6",3,"HumanCTX"
"488","AMDHD2",3,"HumanCTX"
"489","ANK3",3,"HumanCTX"
"490","ANKRD12",3,"HumanCTX"
"491","ANKRD36",3,"HumanCTX"
"492","ANKS1B",3,"HumanCTX"
"493","ANKZF1",3,"HumanCTX"
"494","APC",3,"HumanCTX"
"495","APEX1",3,"HumanCTX"
"496","APLP2",3,"HumanCTX"
"497","APOE",3,"HumanCTX"
"498","ARFIP2",3,"HumanCTX"
"499","ARHGAP33",3,"HumanCTX"
"500","ARHGEF10L",3,"HumanCTX"
"501","ARMC8",3,"HumanCTX"
"502","ARMCX5",3,"HumanCTX"
"503","ARMCX5-GPRASP2",3,"HumanCTX"
"504","ARPC2",3,"HumanCTX"
"505","ARPC4",3,"HumanCTX"
"506","ARPP19",3,"HumanCTX"
"507","ARRB2",3,"HumanCTX"
"508","ASAH1",3,"HumanCTX"
"509","ASNS",3,"HumanCTX"
"510","ASPSCR1",3,"HumanCTX"
"511","ATF2",3,"HumanCTX"
"512","ATG13",3,"HumanCTX"
"513","ATG16L1",3,"HumanCTX"
"514","ATG9A",3,"HumanCTX"
"515","ATP13A1",3,"HumanCTX"
"516","ATP13A2",3,"HumanCTX"
"517","ATP1B1",3,"HumanCTX"
"518","ATP1B2",3,"HumanCTX"
"519","ATP2B1",3,"HumanCTX"
"520","ATP5F1B",3,"HumanCTX"
"521","ATP6V0B",3,"HumanCTX"
"522","ATP6V1H",3,"HumanCTX"
"523","AZIN2",3,"HumanCTX"
"524","B4GALT3",3,"HumanCTX"
"525","BAIAP2",3,"HumanCTX"
"526","BAZ2B",3,"HumanCTX"
"527","BCL2L1",3,"HumanCTX"
"528","BCL7B",3,"HumanCTX"
"529","BLCAP",3,"HumanCTX"
"530","BLOC1S6",3,"HumanCTX"
"531","BOD1",3,"HumanCTX"
"532","BRD3OS",3,"HumanCTX"
"533","BSCL2",3,"HumanCTX"
"534","BSDC1",3,"HumanCTX"
"535","BSG",3,"HumanCTX"
"536","BTBD10",3,"HumanCTX"
"537","BX890604.2",3,"HumanCTX"
"538","C12orf75",3,"HumanCTX"
"539","C19orf24",3,"HumanCTX"
"540","C1orf43",3,"HumanCTX"
"541","C20orf96",3,"HumanCTX"
"542","C22orf39",3,"HumanCTX"
"543","C3orf18",3,"HumanCTX"
"544","CABIN1",3,"HumanCTX"
"545","CABP1",3,"HumanCTX"
"546","CACNB1",3,"HumanCTX"
"547","CALCOCO2",3,"HumanCTX"
"548","CAMK2B",3,"HumanCTX"
"549","CAMK2D",3,"HumanCTX"
"550","CAMKK1",3,"HumanCTX"
"551","CAMKV",3,"HumanCTX"
"552","CAMTA2",3,"HumanCTX"
"553","CARMIL3",3,"HumanCTX"
"554","CASTOR3",3,"HumanCTX"
"555","CBLN2",3,"HumanCTX"
"556","CBX1",3,"HumanCTX"
"557","CBX3",3,"HumanCTX"
"558","CCAR2",3,"HumanCTX"
"559","CCDC136",3,"HumanCTX"
"560","CCDC14",3,"HumanCTX"
"561","CCDC90B",3,"HumanCTX"
"562","CCDC92",3,"HumanCTX"
"563","CCNDBP1",3,"HumanCTX"
"564","CCNH",3,"HumanCTX"
"565","CCT8",3,"HumanCTX"
"566","CCZ1",3,"HumanCTX"
"567","CD200",3,"HumanCTX"
"568","CD24",3,"HumanCTX"
"569","CDC25B",3,"HumanCTX"
"570","CDIP1",3,"HumanCTX"
"571","CDIPT",3,"HumanCTX"
"572","CDK17",3,"HumanCTX"
"573","CELF5",3,"HumanCTX"
"574","CELF6",3,"HumanCTX"
"575","CERCAM",3,"HumanCTX"
"576","CES4A",3,"HumanCTX"
"577","CFAP99",3,"HumanCTX"
"578","CHADL",3,"HumanCTX"
"579","CHCHD5",3,"HumanCTX"
"580","CHMP7",3,"HumanCTX"
"581","CHST10",3,"HumanCTX"
"582","CHTOP",3,"HumanCTX"
"583","CHUK",3,"HumanCTX"
"584","CKMT1A",3,"HumanCTX"
"585","CLASP2",3,"HumanCTX"
"586","CLASRP",3,"HumanCTX"
"587","CLPTM1",3,"HumanCTX"
"588","CMAS",3,"HumanCTX"
"589","CNOT8",3,"HumanCTX"
"590","CNP",3,"HumanCTX"
"591","CNR1",3,"HumanCTX"
"592","COG1",3,"HumanCTX"
"593","COG4",3,"HumanCTX"
"594","COLGALT2",3,"HumanCTX"
"595","COPS6",3,"HumanCTX"
"596","COPS7A",3,"HumanCTX"
"597","CPEB1",3,"HumanCTX"
"598","CPLX2",3,"HumanCTX"
"599","CPNE1",3,"HumanCTX"
"600","CPSF6",3,"HumanCTX"
"601","CPSF7",3,"HumanCTX"
"602","CRBN",3,"HumanCTX"
"603","CROCC",3,"HumanCTX"
"604","CTBP1",3,"HumanCTX"
"605","CTBP2",3,"HumanCTX"
"606","CTIF",3,"HumanCTX"
"607","CTNNA1",3,"HumanCTX"
"608","CTNNB1",3,"HumanCTX"
"609","CTNNBL1",3,"HumanCTX"
"610","CTNND1",3,"HumanCTX"
"611","CTSA",3,"HumanCTX"
"612","CXXC1",3,"HumanCTX"
"613","CXXC5",3,"HumanCTX"
"614","DALRD3",3,"HumanCTX"
"615","DAZAP2",3,"HumanCTX"
"616","DBN1",3,"HumanCTX"
"617","DCAKD",3,"HumanCTX"
"618","DCLK2",3,"HumanCTX"
"619","DCTD",3,"HumanCTX"
"620","DCTN1",3,"HumanCTX"
"621","DCTN2",3,"HumanCTX"
"622","DCUN1D4",3,"HumanCTX"
"623","DCX",3,"HumanCTX"
"624","DCXR",3,"HumanCTX"
"625","DDX1",3,"HumanCTX"
"626","DDX39A",3,"HumanCTX"
"627","DDX5",3,"HumanCTX"
"628","DDX55",3,"HumanCTX"
"629","DDX56",3,"HumanCTX"
"630","DENND6B",3,"HumanCTX"
"631","DGLUCY",3,"HumanCTX"
"632","DHX15",3,"HumanCTX"
"633","DLG2",3,"HumanCTX"
"634","DLX6-AS1",3,"HumanCTX"
"635","DNAJB2",3,"HumanCTX"
"636","DNAJC4",3,"HumanCTX"
"637","DOCK9",3,"HumanCTX"
"638","DOK4",3,"HumanCTX"
"639","DPF2",3,"HumanCTX"
"640","DPP3",3,"HumanCTX"
"641","DPYSL4",3,"HumanCTX"
"642","DSTN",3,"HumanCTX"
"643","DTNB",3,"HumanCTX"
"644","DVL2",3,"HumanCTX"
"645","DYNC1I1",3,"HumanCTX"
"646","DYNC1I2",3,"HumanCTX"
"647","DYNC1LI2",3,"HumanCTX"
"648","ECE2",3,"HumanCTX"
"649","ECHS1",3,"HumanCTX"
"650","EDF1",3,"HumanCTX"
"651","EI24",3,"HumanCTX"
"652","EIF2B4",3,"HumanCTX"
"653","EIF2B5",3,"HumanCTX"
"654","EIF4A2",3,"HumanCTX"
"655","EIF4E2",3,"HumanCTX"
"656","EIF4ENIF1",3,"HumanCTX"
"657","EIF4G1",3,"HumanCTX"
"658","ELAC2",3,"HumanCTX"
"659","ELAVL4",3,"HumanCTX"
"660","ELMO1",3,"HumanCTX"
"661","ELMO2",3,"HumanCTX"
"662","ELMOD3",3,"HumanCTX"
"663","ELOF1",3,"HumanCTX"
"664","EMC4",3,"HumanCTX"
"665","ENOPH1",3,"HumanCTX"
"666","ENOX1",3,"HumanCTX"
"667","ENPP2",3,"HumanCTX"
"668","EPHB6",3,"HumanCTX"
