"","Gene","Event","No_of_Events","Sample"
"107","Abhd13","SE",1,"Mouse"
"108","Abhd16a","MX",1,"Mouse"
"109","Abhd17a","SE",2,"Mouse"
"110","Abhd3","MX",1,"Mouse"
"111","Abhd3","SE",4,"Mouse"
"112","Abhd5","SE",2,"Mouse"
"113","Abhd6","SE",2,"Mouse"
"114","Abhd8","SE",3,"Mouse"
"115","Abi1","SE",4,"Mouse"
"116","Abi2","SE",4,"Mouse"
"117","Abl1","SE",1,"Mouse"
"118","Ablim2","SE",5,"Mouse"
"119","Abr","SE",1,"Mouse"
"120","Abtb1","SE",1,"Mouse"
"121","AC109138.11","SE",1,"Mouse"
"122","AC134908.4","SE",2,"Mouse"
"123","Acaa1a","SE",1,"Mouse"
"124","Acacb","SE",1,"Mouse"
"125","Acad8","SE",1,"Mouse"
"126","Acadl","SE",1,"Mouse"
"127","Acadsb","SE",1,"Mouse"
"128","Acap2","SE",3,"Mouse"
"129","Acat2","SE",1,"Mouse"
"130","Acbd4","SE",3,"Mouse"
"131","Acbd5","SE",2,"Mouse"
"132","Acd","MX",1,"Mouse"
"133","Acd","SE",2,"Mouse"
"134","Acin1","SE",5,"Mouse"
"135","Acly","SE",1,"Mouse"
"136","Aco2","SE",3,"Mouse"
"137","Acot13","SE",1,"Mouse"
"138","Acot7","SE",3,"Mouse"
"139","Acot8","SE",1,"Mouse"
"140","Acot9","SE",1,"Mouse"
"141","Acox1","SE",1,"Mouse"
"142","Acox3","SE",1,"Mouse"
"143","Acsbg1","SE",2,"Mouse"
"144","Acsl1","SE",1,"Mouse"
"145","Acsl3","SE",3,"Mouse"
"146","Acsl6","MX",2,"Mouse"
"147","Acsl6","SE",6,"Mouse"
"148","Acss1","SE",1,"Mouse"
"149","Acss2","SE",2,"Mouse"
"150","Actl6b","SE",1,"Mouse"
"151","Actn1","MX",1,"Mouse"
"152","Actn1","SE",3,"Mouse"
"153","Actn2","SE",1,"Mouse"
"154","Actn4","MX",2,"Mouse"
"155","Actn4","SE",1,"Mouse"
"156","Actr1b","SE",3,"Mouse"
"157","Actr2","SE",3,"Mouse"
"158","Actr3b","MX",1,"Mouse"
"159","Actr3b","SE",7,"Mouse"
"160","Actr6","SE",1,"Mouse"
"161","Acvr1b","SE",2,"Mouse"
"162","Acvr1c","SE",1,"Mouse"
"163","Acvr2a","SE",1,"Mouse"
"164","Acy3","SE",1,"Mouse"
"165","Acyp2","SE",1,"Mouse"
"166","Adal","SE",1,"Mouse"
"167","Adam10","SE",2,"Mouse"
"168","Adam11","SE",1,"Mouse"
"169","Adam15","SE",6,"Mouse"
"170","Adam22","SE",1,"Mouse"
"171","Adap1","SE",2,"Mouse"
"172","Adarb1","SE",1,"Mouse"
"173","Adck1","SE",3,"Mouse"
"174","Adcy5","SE",1,"Mouse"
"175","Adcy8","SE",3,"Mouse"
"176","Adcy9","SE",2,"Mouse"
"177","Adcyap1r1","SE",2,"Mouse"
"178","Add1","SE",6,"Mouse"
"179","Add3","MX",1,"Mouse"
"180","Add3","SE",5,"Mouse"
"181","Adgra1","MX",1,"Mouse"
"182","Adgra1","SE",2,"Mouse"
"183","Adgrb1","SE",1,"Mouse"
"184","Adgrb2","SE",3,"Mouse"
"185","Adgre1","SE",2,"Mouse"
"186","Adgre5","SE",1,"Mouse"
"187","Adgrf5","SE",2,"Mouse"
"188","Adgrg1","SE",1,"Mouse"
"189","Adgrl1","MX",2,"Mouse"
"190","Adgrl1","SE",7,"Mouse"
"191","Adgrl2","SE",3,"Mouse"
"192","Adgrl3","SE",4,"Mouse"
"193","Adgrl4","SE",1,"Mouse"
"194","Adhfe1","SE",3,"Mouse"
"195","Adi1","SE",1,"Mouse"
"196","Adipor1","SE",1,"Mouse"
"197","Adk","MX",2,"Mouse"
"198","Adk","SE",4,"Mouse"
"199","Adnp","SE",1,"Mouse"
"200","Adora1","SE",5,"Mouse"
"201","Adpgk","SE",1,"Mouse"
"202","Adss","SE",1,"Mouse"
"203","Aes","SE",1,"Mouse"
"204","Afap1","SE",1,"Mouse"
"205","Afap1l2","SE",1,"Mouse"
"206","Afdn","SE",1,"Mouse"
"207","Aff3","SE",1,"Mouse"
"208","Aff4","SE",1,"Mouse"
"209","Afg1l","SE",1,"Mouse"
"210","Aftph","SE",2,"Mouse"
"211","Agap1","SE",3,"Mouse"
"212","Agap2","SE",1,"Mouse"
"213","Agap3","SE",2,"Mouse"
"214","Agfg1","SE",2,"Mouse"
"215","Agfg2","SE",1,"Mouse"
"216","Agk","SE",2,"Mouse"
"217","Agpat3","SE",1,"Mouse"
"218","Agpat4","SE",1,"Mouse"
"219","Agrn","SE",3,"Mouse"
"220","Agtpbp1","SE",4,"Mouse"
"221","Ahcyl1","SE",1,"Mouse"
"222","Ahi1","SE",3,"Mouse"
"223","Ahsa1","SE",1,"Mouse"
"224","Ahsa2","SE",1,"Mouse"
"225","AI413582","SE",1,"Mouse"
"226","AI987944","SE",1,"Mouse"
"227","Aifm1","MX",1,"Mouse"
"228","Aifm3","SE",3,"Mouse"
"229","Aig1","MX",1,"Mouse"
"230","Aig1","SE",5,"Mouse"
"231","Ak5","SE",3,"Mouse"
"232","Akap8","SE",1,"Mouse"
"233","Akap8l","SE",4,"Mouse"
"234","Akap9","SE",1,"Mouse"
"235","Akirin1","SE",1,"Mouse"
"236","Akr1a1","MX",1,"Mouse"
"237","Akr1e1","SE",1,"Mouse"
"238","Akt2","SE",2,"Mouse"
"239","Akt3","SE",1,"Mouse"
"240","Aktip","MX",1,"Mouse"
"241","Aktip","SE",4,"Mouse"
"242","Alcam","SE",1,"Mouse"
"243","Aldh18a1","SE",1,"Mouse"
"244","Aldh1a1","SE",2,"Mouse"
"245","Aldh1l1","SE",1,"Mouse"
"246","Aldh3a2","SE",1,"Mouse"
"247","Aldh4a1","SE",2,"Mouse"
"248","Aldh5a1","SE",1,"Mouse"
"249","Aldh6a1","SE",3,"Mouse"
"250","Aldh7a1","SE",1,"Mouse"
"251","Aldoa","SE",2,"Mouse"
"252","Aldoc","SE",2,"Mouse"
"253","Alg14","MX",1,"Mouse"
"254","Alg14","SE",2,"Mouse"
"255","Alg9","SE",1,"Mouse"
"256","Alkbh1","SE",1,"Mouse"
"257","Alkbh3","SE",1,"Mouse"
"258","Alkbh6","SE",4,"Mouse"
"259","Alkbh8","SE",2,"Mouse"
"260","Aloxe3","SE",1,"Mouse"
"261","Als2cl","SE",2,"Mouse"
"262","Alyref","SE",1,"Mouse"
"263","Ambra1","SE",1,"Mouse"
"264","Amfr","SE",1,"Mouse"
"265","Ammecr1l","MX",1,"Mouse"
"266","Ammecr1l","SE",4,"Mouse"
"267","Amph","SE",3,"Mouse"
"268","Amz1","SE",1,"Mouse"
"269","Amz2","SE",1,"Mouse"
"270","Anapc10","SE",2,"Mouse"
"271","Anapc11","SE",1,"Mouse"
"272","Anapc15","SE",1,"Mouse"
"273","Anapc16","SE",2,"Mouse"
"274","Anapc5","SE",2,"Mouse"
"275","Angel2","SE",4,"Mouse"
"276","Ank2","SE",10,"Mouse"
"277","Ank3","SE",3,"Mouse"
"278","Ankfy1","SE",1,"Mouse"
"279","Ankhd1","SE",2,"Mouse"
"280","Ankra2","SE",3,"Mouse"
"281","Ankrd10","MX",1,"Mouse"
"282","Ankrd10","SE",2,"Mouse"
"283","Ankrd11","SE",1,"Mouse"
"284","Ankrd12","SE",2,"Mouse"
"285","Ankrd13c","SE",5,"Mouse"
"286","Ankrd13d","SE",2,"Mouse"
"287","Ankrd16","SE",1,"Mouse"
"288","Ankrd17","SE",2,"Mouse"
"289","Ankrd24","SE",1,"Mouse"
"290","Ankrd26","SE",2,"Mouse"
"291","Ankrd27","SE",3,"Mouse"
"292","Ankrd29","SE",3,"Mouse"
"293","Ankrd33b","SE",1,"Mouse"
"294","Ankrd34b","SE",1,"Mouse"
"295","Ankrd42","SE",1,"Mouse"
"296","Ankrd45","MX",1,"Mouse"
"297","Ankrd45","SE",5,"Mouse"
"298","Ankrd54","SE",1,"Mouse"
"299","Ankrd9","SE",1,"Mouse"
"300","Anks1","SE",2,"Mouse"
"301","Anks1b","MX",4,"Mouse"
"302","Anks1b","SE",7,"Mouse"
"303","Anks3","SE",3,"Mouse"
"304","Anks6","SE",1,"Mouse"
"305","Ano4","SE",1,"Mouse"
"306","Ano6","SE",1,"Mouse"
"307","Ano8","SE",3,"Mouse"
"308","Anpep","SE",1,"Mouse"
"309","Anxa4","SE",2,"Mouse"
"310","Anxa6","SE",2,"Mouse"
"311","Anxa7","SE",1,"Mouse"
"312","Ap1ar","SE",2,"Mouse"
"313","Ap1b1","SE",1,"Mouse"
"314","Ap1m1","SE",1,"Mouse"
"315","Ap1s1","SE",1,"Mouse"
"316","Ap2b1","SE",2,"Mouse"
"317","Ap3b1","SE",2,"Mouse"
"318","Ap3d1","SE",2,"Mouse"
"319","Ap3m1","SE",2,"Mouse"
"320","Ap3s1","SE",2,"Mouse"
"321","Ap4s1","SE",1,"Mouse"
