"","Gene","Event","No_of_Events","Sample"
"32513","HECW1","SE",1,"Human (Fetal)"
"32514","HERPUD1","SE",1,"Human (Fetal)"
"32515","HERPUD2","SE",1,"Human (Fetal)"
"32516","HES6","SE",1,"Human (Fetal)"
"32517","HGS","SE",3,"Human (Fetal)"
"32518","HIF1A","SE",1,"Human (Fetal)"
"32519","HIGD1A","SE",1,"Human (Fetal)"
"32520","HINFP","SE",1,"Human (Fetal)"
"32521","HIP1R","SE",2,"Human (Fetal)"
"32522","HIRIP3","SE",1,"Human (Fetal)"
"32523","HJURP","SE",1,"Human (Fetal)"
"32524","HK1","SE",1,"Human (Fetal)"
"32525","HM13","SE",1,"Human (Fetal)"
"32526","HMBOX1","SE",3,"Human (Fetal)"
"32527","HMCES","SE",1,"Human (Fetal)"
"32528","HMG20A","SE",1,"Human (Fetal)"
"32529","HMGCS1","SE",1,"Human (Fetal)"
"32530","HMGN1","SE",4,"Human (Fetal)"
"32531","HMGXB4","SE",1,"Human (Fetal)"
"32532","HNRNPA1","SE",1,"Human (Fetal)"
"32533","HNRNPA2B1","SE",3,"Human (Fetal)"
"32534","HNRNPA3","SE",1,"Human (Fetal)"
"32535","HNRNPAB","SE",1,"Human (Fetal)"
"32536","HNRNPC","SE",3,"Human (Fetal)"
"32537","HNRNPD","SE",2,"Human (Fetal)"
"32538","HNRNPDL","SE",2,"Human (Fetal)"
"32539","HNRNPH1","SE",2,"Human (Fetal)"
"32540","HNRNPH3","SE",1,"Human (Fetal)"
"32541","HNRNPK","SE",2,"Human (Fetal)"
"32542","HNRNPM","SE",3,"Human (Fetal)"
"32543","HNRNPR","MX",1,"Human (Fetal)"
"32544","HNRNPR","SE",3,"Human (Fetal)"
"32545","HP1BP3","SE",4,"Human (Fetal)"
"32546","HPCAL1","SE",1,"Human (Fetal)"
"32547","HPCAL4","SE",1,"Human (Fetal)"
"32548","HPS1","SE",2,"Human (Fetal)"
"32549","HSD11B1L","SE",1,"Human (Fetal)"
"32550","HSF1","SE",1,"Human (Fetal)"
"32551","HSF2","SE",1,"Human (Fetal)"
"32552","HSP90AA1","SE",1,"Human (Fetal)"
"32553","HTRA2","SE",1,"Human (Fetal)"
"32554","IDH3A","SE",1,"Human (Fetal)"
"32555","IDH3G","SE",1,"Human (Fetal)"
"32556","IDI1","SE",1,"Human (Fetal)"
"32557","IDS","SE",2,"Human (Fetal)"
"32558","IFNAR1","SE",1,"Human (Fetal)"
"32559","IFNGR2","SE",1,"Human (Fetal)"
"32560","IFRD2","SE",1,"Human (Fetal)"
"32561","IFT122","SE",1,"Human (Fetal)"
"32562","IFT20","SE",1,"Human (Fetal)"
"32563","IFT22","SE",1,"Human (Fetal)"
"32564","IFT52","SE",1,"Human (Fetal)"
"32565","IFT81","SE",2,"Human (Fetal)"
"32566","IGSF8","SE",1,"Human (Fetal)"
"32567","IKBKB","SE",2,"Human (Fetal)"
"32568","ILF3","SE",2,"Human (Fetal)"
"32569","ILK","SE",2,"Human (Fetal)"
"32570","ILKAP","SE",1,"Human (Fetal)"
"32571","IMPDH1","SE",1,"Human (Fetal)"
"32572","IMPDH2","SE",1,"Human (Fetal)"
"32573","INIP","MX",1,"Human (Fetal)"
"32574","INIP","SE",3,"Human (Fetal)"
"32575","INO80E","SE",1,"Human (Fetal)"
"32576","INPP4A","SE",1,"Human (Fetal)"
"32577","INPP5K","SE",1,"Human (Fetal)"
"32578","INSIG1","SE",1,"Human (Fetal)"
"32579","INTS10","SE",1,"Human (Fetal)"
"32580","INTS11","SE",1,"Human (Fetal)"
"32581","INTS12","SE",2,"Human (Fetal)"
"32582","IP6K1","SE",1,"Human (Fetal)"
"32583","IP6K2","SE",3,"Human (Fetal)"
"32584","IPO9","SE",1,"Human (Fetal)"
"32585","IQCB1","SE",1,"Human (Fetal)"
"32586","IST1","SE",2,"Human (Fetal)"
"32587","ITGB1BP1","SE",1,"Human (Fetal)"
"32588","ITM2C","SE",2,"Human (Fetal)"
"32589","ITPR1","SE",1,"Human (Fetal)"
"32590","IVNS1ABP","SE",1,"Human (Fetal)"
"32591","JAKMIP1","SE",1,"Human (Fetal)"
"32592","JAKMIP2","SE",1,"Human (Fetal)"
"32593","JKAMP","SE",1,"Human (Fetal)"
"32594","JMJD8","SE",1,"Human (Fetal)"
"32595","JPT2","MX",1,"Human (Fetal)"
"32596","JPT2","SE",2,"Human (Fetal)"
"32597","JPX","SE",1,"Human (Fetal)"
"32598","KANSL2","SE",2,"Human (Fetal)"
"32599","KARS","SE",2,"Human (Fetal)"
"32600","KAT5","SE",1,"Human (Fetal)"
"32601","KAT6B","SE",1,"Human (Fetal)"
"32602","KAT7","SE",1,"Human (Fetal)"
"32603","KATNA1","SE",1,"Human (Fetal)"
"32604","KBTBD2","SE",1,"Human (Fetal)"
"32605","KCNG1","SE",2,"Human (Fetal)"
"32606","KCNN2","SE",1,"Human (Fetal)"
"32607","KCTD13","SE",1,"Human (Fetal)"
"32608","KDM1A","SE",2,"Human (Fetal)"
"32609","KDM1B","SE",1,"Human (Fetal)"
"32610","KDM2B","SE",1,"Human (Fetal)"
"32611","KDM4B","SE",2,"Human (Fetal)"
"32612","KDM4C","SE",1,"Human (Fetal)"
"32613","KHK","SE",2,"Human (Fetal)"
"32614","KIAA0391","SE",1,"Human (Fetal)"
"32615","KIAA0895L","SE",2,"Human (Fetal)"
"32616","KIAA1191","MX",2,"Human (Fetal)"
"32617","KIAA1191","SE",8,"Human (Fetal)"
"32618","KIAA1586","SE",1,"Human (Fetal)"
"32619","KIDINS220","SE",2,"Human (Fetal)"
"32620","KIF1A","SE",1,"Human (Fetal)"
"32621","KIF1C","SE",1,"Human (Fetal)"
"32622","KIF2A","SE",1,"Human (Fetal)"
"32623","KIFAP3","SE",2,"Human (Fetal)"
"32624","KIFC3","SE",2,"Human (Fetal)"
"32625","KIN","SE",1,"Human (Fetal)"
"32626","KLC1","SE",1,"Human (Fetal)"
"32627","KLF6","SE",1,"Human (Fetal)"
"32628","KLHDC8A","SE",1,"Human (Fetal)"
"32629","KLHL1","SE",2,"Human (Fetal)"
"32630","KLHL13","SE",1,"Human (Fetal)"
"32631","KLHL2","SE",1,"Human (Fetal)"
"32632","KLHL22","SE",1,"Human (Fetal)"
"32633","KLHL24","SE",2,"Human (Fetal)"
"32634","KLHL7","SE",2,"Human (Fetal)"
"32635","KMT2E","SE",3,"Human (Fetal)"
"32636","KMT5B","SE",1,"Human (Fetal)"
"32637","KMT5C","SE",1,"Human (Fetal)"
"32638","KPNA4","SE",1,"Human (Fetal)"
"32639","KRBA2","SE",1,"Human (Fetal)"
"32640","KRBOX4","SE",1,"Human (Fetal)"
"32641","KTN1","SE",2,"Human (Fetal)"
"32642","L1CAM","SE",1,"Human (Fetal)"
"32643","L3MBTL2","SE",1,"Human (Fetal)"
"32644","LARS","SE",1,"Human (Fetal)"
"32645","LAS1L","SE",2,"Human (Fetal)"
"32646","LBR","SE",1,"Human (Fetal)"
"32647","LCOR","SE",2,"Human (Fetal)"
"32648","LCORL","SE",1,"Human (Fetal)"
"32649","LDB2","SE",2,"Human (Fetal)"
"32650","LDHA","SE",1,"Human (Fetal)"
"32651","LETMD1","SE",1,"Human (Fetal)"
"32652","LHX6","SE",1,"Human (Fetal)"
"32653","LIG1","SE",1,"Human (Fetal)"
"32654","LIMCH1","SE",3,"Human (Fetal)"
"32655","LINC00342","SE",1,"Human (Fetal)"
"32656","LINC00461","SE",2,"Human (Fetal)"
"32657","LINC01089","SE",1,"Human (Fetal)"
"32658","LINC01278","SE",1,"Human (Fetal)"
"32659","LIPE","SE",1,"Human (Fetal)"
"32660","LMAN1","SE",1,"Human (Fetal)"
"32661","LMAN2L","SE",2,"Human (Fetal)"
"32662","LMBR1","SE",1,"Human (Fetal)"
"32663","LMBR1L","SE",1,"Human (Fetal)"
"32664","LMO3","SE",4,"Human (Fetal)"
"32665","LOXL3","SE",1,"Human (Fetal)"
"32666","LPAR2","SE",4,"Human (Fetal)"
"32667","LPCAT4","SE",1,"Human (Fetal)"
"32668","LRCH2","SE",1,"Human (Fetal)"
"32669","LRP12","SE",1,"Human (Fetal)"
"32670","LRRC20","SE",1,"Human (Fetal)"
"32671","LRRC27","SE",1,"Human (Fetal)"
"32672","LRRC42","SE",1,"Human (Fetal)"
"32673","LRRC61","SE",1,"Human (Fetal)"
"32674","LRRC7","SE",1,"Human (Fetal)"
"32675","LRRC8A","SE",2,"Human (Fetal)"
"32676","LRRFIP1","SE",4,"Human (Fetal)"
"32677","LRRFIP2","SE",1,"Human (Fetal)"
"32678","LSM14A","SE",1,"Human (Fetal)"
"32679","LSS","SE",1,"Human (Fetal)"
"32680","LTA4H","SE",1,"Human (Fetal)"
"32681","LTBP1","SE",1,"Human (Fetal)"
"32682","LUC7L","SE",2,"Human (Fetal)"
"32683","LUC7L2","SE",1,"Human (Fetal)"
"32684","LUC7L3","SE",4,"Human (Fetal)"
"32685","LYAR","SE",1,"Human (Fetal)"
"32686","LYNX1","SE",1,"Human (Fetal)"
"32687","LYPLA1","SE",3,"Human (Fetal)"
"32688","LYRM1","MX",1,"Human (Fetal)"
"32689","LYRM1","SE",2,"Human (Fetal)"
"32690","LZTS3","SE",2,"Human (Fetal)"
"32691","MADD","SE",1,"Human (Fetal)"
"32692","MAGED1","SE",2,"Human (Fetal)"
"32693","MAGED4","SE",2,"Human (Fetal)"
"32694","MAGED4B","SE",3,"Human (Fetal)"
"32695","MAGI2","SE",1,"Human (Fetal)"
"32696","MANBAL","SE",2,"Human (Fetal)"
"32697","MAP2","SE",1,"Human (Fetal)"
"32698","MAP2K4","SE",1,"Human (Fetal)"
"32699","MAP3K7","SE",1,"Human (Fetal)"
"32700","MAP4","SE",5,"Human (Fetal)"
"32701","MAP4K4","SE",1,"Human (Fetal)"
"32702","MAP7D1","SE",1,"Human (Fetal)"
"32703","MAPK1IP1L","SE",1,"Human (Fetal)"
"32704","MAPK7","SE",1,"Human (Fetal)"
"32705","MAPK8","SE",2,"Human (Fetal)"
"32706","MAPK8IP3","SE",1,"Human (Fetal)"
"32707","MAPKAP1","SE",1,"Human (Fetal)"
"32708","MAPKAPK5","SE",2,"Human (Fetal)"
"32709","MAPRE1","SE",1,"Human (Fetal)"
"32710","MARK1","SE",1,"Human (Fetal)"
"32711","MARK2","SE",1,"Human (Fetal)"
"32712","MARK3","SE",3,"Human (Fetal)"
"32713","MARS","SE",2,"Human (Fetal)"
"32714","MASP1","SE",1,"Human (Fetal)"
"32715","MAST1","SE",1,"Human (Fetal)"
"32716","MATR3","SE",1,"Human (Fetal)"
"32717","MAX","SE",2,"Human (Fetal)"
"32718","MAZ","SE",1,"Human (Fetal)"
"32719","MBD1","SE",2,"Human (Fetal)"
"32720","MBIP","SE",1,"Human (Fetal)"
"32721","MBTPS1","SE",1,"Human (Fetal)"
"32722","MCF2L","SE",1,"Human (Fetal)"
"32723","MCFD2","SE",1,"Human (Fetal)"
"32724","MCM3","SE",1,"Human (Fetal)"
"32725","MCM3AP-AS1","SE",1,"Human (Fetal)"
"32726","MCMBP","SE",1,"Human (Fetal)"
"32727","MCRIP1","SE",1,"Human (Fetal)"
"32728","MCRS1","SE",1,"Human (Fetal)"
"32729","MDH2","SE",1,"Human (Fetal)"
"32730","MDK","SE",1,"Human (Fetal)"
"32731","ME3","SE",2,"Human (Fetal)"
"32732","MEAF6","SE",2,"Human (Fetal)"
"32733","MECP2","SE",1,"Human (Fetal)"
"32734","MED15","SE",2,"Human (Fetal)"
"32735","MED17","SE",1,"Human (Fetal)"
"32736","MED20","MX",1,"Human (Fetal)"
"32737","MED20","SE",2,"Human (Fetal)"
"32738","MED23","SE",1,"Human (Fetal)"
"32739","MED25","SE",1,"Human (Fetal)"
"32740","MED29","SE",1,"Human (Fetal)"
"32741","MEF2A","SE",1,"Human (Fetal)"
"32742","MEF2C","SE",1,"Human (Fetal)"
"32743","MEG3","SE",3,"Human (Fetal)"
"32744","MEIS2","SE",1,"Human (Fetal)"
"32745","MELK","SE",3,"Human (Fetal)"
"32746","METTL9","SE",1,"Human (Fetal)"
"32747","MFF","MX",1,"Human (Fetal)"
"32748","MFF","SE",3,"Human (Fetal)"
"32749","MFN2","SE",2,"Human (Fetal)"
"32750","MFSD10","SE",1,"Human (Fetal)"
"32751","MFSD14A","SE",2,"Human (Fetal)"
"32752","MGA","SE",1,"Human (Fetal)"
"32753","MGAT4C","SE",1,"Human (Fetal)"
"32754","MGRN1","SE",2,"Human (Fetal)"
"32755","MIAT","SE",3,"Human (Fetal)"
"32756","MIB2","SE",1,"Human (Fetal)"
"32757","MICAL1","SE",1,"Human (Fetal)"
"32758","MICU2","SE",2,"Human (Fetal)"
"32759","MIER2","SE",1,"Human (Fetal)"
"32760","MINDY2","MX",1,"Human (Fetal)"
"32761","MINDY2","SE",2,"Human (Fetal)"
"32762","MIOS","SE",2,"Human (Fetal)"
"32763","MIR100HG","SE",1,"Human (Fetal)"
"32764","MIR181A1HG","SE",1,"Human (Fetal)"
"32765","MIR99AHG","SE",1,"Human (Fetal)"
"32766","MIS12","SE",1,"Human (Fetal)"
"32767","MKRN1","SE",2,"Human (Fetal)"
"32768","MKS1","SE",1,"Human (Fetal)"
"32769","MMP24","SE",1,"Human (Fetal)"
"32770","MMS19","SE",2,"Human (Fetal)"
"32771","MOB3A","SE",1,"Human (Fetal)"
"32772","MOB4","MX",1,"Human (Fetal)"
"32773","MOB4","SE",2,"Human (Fetal)"
"32774","MOGS","SE",1,"Human (Fetal)"
"32775","MOK","SE",2,"Human (Fetal)"
"32776","MON1A","SE",1,"Human (Fetal)"
"32777","MORF4L1","SE",2,"Human (Fetal)"
"32778","MORF4L2","SE",4,"Human (Fetal)"
"32779","MORN4","SE",1,"Human (Fetal)"
"32780","MOSPD1","SE",1,"Human (Fetal)"
"32781","MOSPD3","SE",1,"Human (Fetal)"
"32782","MPI","SE",1,"Human (Fetal)"
"32783","MPP3","SE",1,"Human (Fetal)"
"32784","MPPED1","SE",2,"Human (Fetal)"
"32785","MPPED2","SE",1,"Human (Fetal)"
"32786","MPZL1","SE",1,"Human (Fetal)"
"32787","MRM2","SE",2,"Human (Fetal)"
"32788","MRPL49","SE",1,"Human (Fetal)"
"32789","MRPS31P4","SE",1,"Human (Fetal)"
"32790","MRPS31P5","SE",1,"Human (Fetal)"
"32791","MRPS35","SE",1,"Human (Fetal)"
"32792","MRTFA","SE",1,"Human (Fetal)"
"32793","MRTFB","SE",1,"Human (Fetal)"
"32794","MSANTD2","SE",1,"Human (Fetal)"
"32795","MSH2","SE",1,"Human (Fetal)"
"32796","MSI1","SE",1,"Human (Fetal)"
"32797","MSMO1","SE",1,"Human (Fetal)"
"32798","MSRA","SE",1,"Human (Fetal)"
"32799","MTA1","SE",2,"Human (Fetal)"
"32800","MTCH2","SE",1,"Human (Fetal)"
"32801","MTDH","SE",1,"Human (Fetal)"
"32802","MTERF1","SE",1,"Human (Fetal)"
"32803","MTFR1","SE",1,"Human (Fetal)"
"32804","MTFR1L","SE",2,"Human (Fetal)"
"32805","MTMR14","SE",2,"Human (Fetal)"
"32806","MTMR2","SE",2,"Human (Fetal)"
"32807","MTMR3","SE",1,"Human (Fetal)"
"32808","MTMR4","SE",1,"Human (Fetal)"
"32809","MTRR","SE",1,"Human (Fetal)"
"32810","MTSS1","SE",2,"Human (Fetal)"
"32811","MVD","SE",2,"Human (Fetal)"
"32812","MXRA8","SE",1,"Human (Fetal)"
"32813","MYEF2","SE",2,"Human (Fetal)"
"32814","MYH10","SE",1,"Human (Fetal)"
"32815","MYL6","SE",1,"Human (Fetal)"
"32816","MYO1B","SE",2,"Human (Fetal)"
"32817","MYO6","SE",1,"Human (Fetal)"
"32818","N6AMT1","SE",1,"Human (Fetal)"
"32819","NAA16","SE",1,"Human (Fetal)"
"32820","NAA25","SE",1,"Human (Fetal)"
"32821","NAA30","SE",1,"Human (Fetal)"
"32822","NAA60","SE",1,"Human (Fetal)"
"32823","NAB2","SE",1,"Human (Fetal)"
"32824","NADK","SE",1,"Human (Fetal)"
"32825","NAE1","SE",1,"Human (Fetal)"
"32826","NAGK","SE",1,"Human (Fetal)"
"32827","NAP1L4","SE",1,"Human (Fetal)"
"32828","NAPB","SE",1,"Human (Fetal)"
"32829","NARF","SE",1,"Human (Fetal)"
"32830","NARS2","SE",4,"Human (Fetal)"
"32831","NASP","SE",1,"Human (Fetal)"
"32832","NAT9","SE",1,"Human (Fetal)"
"32833","NAXD","SE",2,"Human (Fetal)"
"32834","NBR1","SE",1,"Human (Fetal)"
"32835","NCALD","MX",4,"Human (Fetal)"
"32836","NCALD","SE",4,"Human (Fetal)"
"32837","NCAM1","SE",3,"Human (Fetal)"
"32838","NCAN","SE",3,"Human (Fetal)"
"32839","NCAPG2","SE",1,"Human (Fetal)"
"32840","NCDN","SE",1,"Human (Fetal)"
"32841","NCK1","SE",1,"Human (Fetal)"
"32842","NCK2","SE",1,"Human (Fetal)"
"32843","NCKAP1","SE",1,"Human (Fetal)"
"32844","NCOA1","SE",1,"Human (Fetal)"
"32845","NCOA4","SE",2,"Human (Fetal)"
"32846","NCOA5","SE",1,"Human (Fetal)"
"32847","NCOR1","MX",2,"Human (Fetal)"
"32848","NCOR1","SE",7,"Human (Fetal)"
"32849","NDRG2","SE",4,"Human (Fetal)"
"32850","NDRG4","SE",1,"Human (Fetal)"
"32851","NDUFA5","SE",1,"Human (Fetal)"
"32852","NDUFAF6","SE",1,"Human (Fetal)"
"32853","NDUFS2","SE",3,"Human (Fetal)"
"32854","NECAP1","SE",1,"Human (Fetal)"
"32855","NECAP2","SE",2,"Human (Fetal)"
"32856","NEIL2","SE",1,"Human (Fetal)"
"32857","NELFA","SE",1,"Human (Fetal)"
"32858","NEO1","SE",1,"Human (Fetal)"
"32859","NETO2","SE",1,"Human (Fetal)"
"32860","NEU3","SE",1,"Human (Fetal)"
"32861","NF2","SE",1,"Human (Fetal)"
"32862","NFASC","SE",1,"Human (Fetal)"
"32863","NFATC3","SE",1,"Human (Fetal)"
"32864","NFIA","SE",1,"Human (Fetal)"
"32865","NFIB","SE",3,"Human (Fetal)"
"32866","NFIX","SE",1,"Human (Fetal)"
"32867","NGLY1","SE",1,"Human (Fetal)"
"32868","NIPA1","SE",1,"Human (Fetal)"
"32869","NIPA2","MX",1,"Human (Fetal)"
"32870","NIPA2","SE",3,"Human (Fetal)"
"32871","NIPSNAP2","SE",3,"Human (Fetal)"
"32872","NKAIN2","SE",1,"Human (Fetal)"
"32873","NKIRAS2","SE",2,"Human (Fetal)"
"32874","NKTR","SE",1,"Human (Fetal)"
"32875","NLGN3","SE",2,"Human (Fetal)"
"32876","NMT2","SE",2,"Human (Fetal)"
"32877","NNAT","SE",1,"Human (Fetal)"
"32878","NOL11","SE",1,"Human (Fetal)"
"32879","NOL4","SE",1,"Human (Fetal)"
"32880","NONO","SE",2,"Human (Fetal)"
"32881","NOP58","SE",1,"Human (Fetal)"
"32882","NOS1AP","SE",2,"Human (Fetal)"
"32883","novelGene","SE",4,"Human (Fetal)"
"32884","NPIPA9","SE",1,"Human (Fetal)"
"32885","NPM1","SE",1,"Human (Fetal)"
"32886","NPRL2","SE",1,"Human (Fetal)"
"32887","NPTN","SE",2,"Human (Fetal)"
"32888","NRAS","SE",1,"Human (Fetal)"
"32889","NRBP1","SE",1,"Human (Fetal)"
"32890","NRCAM","SE",3,"Human (Fetal)"
"32891","NRDC","SE",1,"Human (Fetal)"
"32892","NREP","SE",3,"Human (Fetal)"
"32893","NRSN2","SE",3,"Human (Fetal)"
"32894","NRXN2","SE",1,"Human (Fetal)"
"32895","NSG1","SE",2,"Human (Fetal)"
"32896","NSMF","SE",1,"Human (Fetal)"
"32897","NSRP1","SE",1,"Human (Fetal)"
"32898","NSUN5P1","SE",2,"Human (Fetal)"
"32899","NT5C2","SE",2,"Human (Fetal)"
"32900","NT5C3A","SE",1,"Human (Fetal)"
"32901","NT5C3B","SE",1,"Human (Fetal)"
"32902","NTRK3","SE",2,"Human (Fetal)"
"32903","NUB1","SE",2,"Human (Fetal)"
"32904","NUBP2","SE",1,"Human (Fetal)"
"32905","NUMB","SE",1,"Human (Fetal)"
"32906","NUP107","SE",1,"Human (Fetal)"
"32907","NUP54","SE",1,"Human (Fetal)"
"32908","NUP62","MX",1,"Human (Fetal)"
"32909","NUP62","SE",4,"Human (Fetal)"
"32910","NUP85","SE",1,"Human (Fetal)"
"32911","NUP93","SE",1,"Human (Fetal)"
"32912","NUPL2","SE",1,"Human (Fetal)"
"32913","NUSAP1","SE",2,"Human (Fetal)"
"32914","NVL","SE",1,"Human (Fetal)"
"32915","OCIAD1","SE",1,"Human (Fetal)"
"32916","ODF2","SE",2,"Human (Fetal)"
"32917","OGA","SE",2,"Human (Fetal)"
"32918","OGG1","SE",1,"Human (Fetal)"
"32919","OLA1","SE",1,"Human (Fetal)"
"32920","OPA1","SE",1,"Human (Fetal)"
"32921","OPN3","SE",1,"Human (Fetal)"
"32922","OPTN","SE",1,"Human (Fetal)"
"32923","ORAI2","SE",2,"Human (Fetal)"
"32924","ORC3","SE",2,"Human (Fetal)"
"32925","OS9","SE",1,"Human (Fetal)"
"32926","OSBPL6","SE",1,"Human (Fetal)"
"32927","OSBPL9","SE",2,"Human (Fetal)"
"32928","OTUD6B","SE",1,"Human (Fetal)"
"32929","OXR1","SE",1,"Human (Fetal)"
"32930","P3H1","SE",1,"Human (Fetal)"
"32931","P4HTM","SE",1,"Human (Fetal)"
"32932","PACSIN2","SE",2,"Human (Fetal)"
"32933","PAIP1","SE",1,"Human (Fetal)"
"32934","PAK3","MX",3,"Human (Fetal)"
"32935","PAK3","SE",7,"Human (Fetal)"
"32936","PAK4","SE",1,"Human (Fetal)"
"32937","PALM","SE",1,"Human (Fetal)"
"32938","PALM2","SE",1,"Human (Fetal)"
"32939","PAM","SE",3,"Human (Fetal)"
"32940","PAPOLA","SE",2,"Human (Fetal)"
"32941","PARG","SE",1,"Human (Fetal)"
"32942","PARL","SE",1,"Human (Fetal)"
"32943","PARP11","SE",2,"Human (Fetal)"
"32944","PATL1","SE",1,"Human (Fetal)"
"32945","PAX6","SE",1,"Human (Fetal)"
"32946","PBRM1","SE",2,"Human (Fetal)"
"32947","PBX3","SE",1,"Human (Fetal)"
"32948","PC","SE",1,"Human (Fetal)"
"32949","PCBP1-AS1","SE",1,"Human (Fetal)"
"32950","PCBP2","MX",1,"Human (Fetal)"
"32951","PCBP2","SE",5,"Human (Fetal)"
"32952","PCBP4","SE",1,"Human (Fetal)"
"32953","PCED1A","SE",1,"Human (Fetal)"
"32954","PCGF6","SE",2,"Human (Fetal)"
"32955","PCIF1","SE",1,"Human (Fetal)"
"32956","PCMT1","SE",1,"Human (Fetal)"
"32957","PCMTD1","SE",1,"Human (Fetal)"
"32958","PCNP","MX",3,"Human (Fetal)"
"32959","PCNP","SE",11,"Human (Fetal)"
"32960","PCNX4","SE",1,"Human (Fetal)"
"32961","PDCD10","SE",1,"Human (Fetal)"
"32962","PDCD4","SE",2,"Human (Fetal)"
"32963","PDE9A","SE",1,"Human (Fetal)"
"32964","PDIA3","SE",1,"Human (Fetal)"
"32965","PDIK1L","SE",3,"Human (Fetal)"
"32966","PDLIM7","SE",1,"Human (Fetal)"
"32967","PDP1","SE",1,"Human (Fetal)"
"32968","PEA15","SE",2,"Human (Fetal)"
"32969","PEG3","SE",1,"Human (Fetal)"
"32970","PEX19","SE",1,"Human (Fetal)"
"32971","PFDN1","SE",1,"Human (Fetal)"
"32972","PFKL","SE",2,"Human (Fetal)"
"32973","PFKP","SE",1,"Human (Fetal)"
"32974","PGAP3","SE",1,"Human (Fetal)"
"32975","PGM3","SE",2,"Human (Fetal)"
"32976","PHB","SE",1,"Human (Fetal)"
"32977","PHF14","SE",1,"Human (Fetal)"
"32978","PHF20","SE",1,"Human (Fetal)"
"32979","PHF20L1","SE",1,"Human (Fetal)"
"32980","PHKB","SE",2,"Human (Fetal)"
"32981","PI4KAP2","SE",1,"Human (Fetal)"
"32982","PI4KB","MX",1,"Human (Fetal)"
"32983","PI4KB","SE",5,"Human (Fetal)"
"32984","PIANP","SE",1,"Human (Fetal)"
"32985","PID1","SE",1,"Human (Fetal)"
"32986","PIGQ","SE",2,"Human (Fetal)"
"32987","PIGT","SE",1,"Human (Fetal)"
"32988","PIGX","SE",1,"Human (Fetal)"
"32989","PIK3IP1","SE",1,"Human (Fetal)"
"32990","PIMREG","SE",1,"Human (Fetal)"
"32991","PISD","SE",3,"Human (Fetal)"
"32992","PITPNB","SE",1,"Human (Fetal)"
"32993","PITPNC1","SE",1,"Human (Fetal)"
"32994","PKIA","MX",1,"Human (Fetal)"
"32995","PKIA","SE",3,"Human (Fetal)"
"32996","PKM","MX",1,"Human (Fetal)"
"32997","PLA2G12A","SE",1,"Human (Fetal)"
"32998","PLD3","SE",3,"Human (Fetal)"
"32999","PLEKHA3","SE",1,"Human (Fetal)"
"33000","PLEKHA7","SE",1,"Human (Fetal)"
"33001","PLEKHM1P1","SE",1,"Human (Fetal)"
"33002","PLK3","SE",1,"Human (Fetal)"
"33003","PLRG1","SE",1,"Human (Fetal)"
"33004","PLSCR3","SE",1,"Human (Fetal)"
"33005","PML","SE",1,"Human (Fetal)"
"33006","PMPCB","SE",1,"Human (Fetal)"
"33007","PMS1","SE",2,"Human (Fetal)"
"33008","PNISR","SE",1,"Human (Fetal)"
"33009","PNMA2","SE",1,"Human (Fetal)"
"33010","PNPLA8","SE",1,"Human (Fetal)"
"33011","POC1A","SE",1,"Human (Fetal)"
"33012","POFUT2","SE",1,"Human (Fetal)"
"33013","POGLUT2","SE",1,"Human (Fetal)"
"33014","POGZ","SE",1,"Human (Fetal)"
"33015","POLD2","SE",2,"Human (Fetal)"
"33016","POLDIP3","SE",1,"Human (Fetal)"
"33017","POLG","SE",1,"Human (Fetal)"
"33018","POLK","SE",3,"Human (Fetal)"
"33019","POLR2B","SE",1,"Human (Fetal)"
"33020","POLR2J4","SE",1,"Human (Fetal)"
"33021","POMGNT1","SE",2,"Human (Fetal)"
"33022","POMGNT2","SE",1,"Human (Fetal)"
"33023","PPDPF","SE",1,"Human (Fetal)"
"33024","PPFIA2","SE",1,"Human (Fetal)"
"33025","PPHLN1","SE",1,"Human (Fetal)"
"33026","PPIG","SE",1,"Human (Fetal)"
"33027","PPIL4","SE",1,"Human (Fetal)"
"33028","PPIP5K2","SE",1,"Human (Fetal)"
"33029","PPM1G","SE",1,"Human (Fetal)"
"33030","PPM1K","SE",2,"Human (Fetal)"
"33031","PPP1CA","SE",1,"Human (Fetal)"
"33032","PPP1R12A","SE",3,"Human (Fetal)"
"33033","PPP1R16A","SE",1,"Human (Fetal)"
"33034","PPP1R1B","SE",1,"Human (Fetal)"
"33035","PPP2CA","SE",1,"Human (Fetal)"
"33036","PPP2R2B","SE",1,"Human (Fetal)"
"33037","PPP2R2D","SE",1,"Human (Fetal)"
"33038","PPP2R3C","SE",1,"Human (Fetal)"
"33039","PPP2R5B","SE",1,"Human (Fetal)"
"33040","PPP2R5E","SE",1,"Human (Fetal)"
"33041","PPP3CB","SE",1,"Human (Fetal)"
"33042","PPP3CC","SE",1,"Human (Fetal)"
"33043","PPP4C","SE",2,"Human (Fetal)"
"33044","PPP4R1","SE",1,"Human (Fetal)"
"33045","PPP4R2","SE",1,"Human (Fetal)"
"33046","PPP4R3B","SE",3,"Human (Fetal)"
"33047","PPP5C","SE",1,"Human (Fetal)"
"33048","PPP6C","SE",1,"Human (Fetal)"
"33049","PPP6R2","SE",1,"Human (Fetal)"
"33050","PPP6R3","SE",3,"Human (Fetal)"
"33051","PQLC1","SE",2,"Human (Fetal)"
"33052","PQLC3","SE",1,"Human (Fetal)"
