,associated_gene,Adult,Fetal,Adult_TPM,Fetal_TPM,diff
127,ANAPC15,1.98227123303957,NA,96,NA,NA
128,ANAPC2,1.68124123737559,2.18752072083646,48,154,106
129,ANAPC5,2.44870631990508,2.76342799356294,281,580,299
130,ANGEL1,NA,1.41497334797082,NA,26,NA
131,ANGPTL4,2.13672056715641,NA,137,NA,NA
132,ANKMY2,NA,2.32221929473392,NA,210,NA
133,ANKRA2,NA,2.01283722470517,NA,103,NA
134,ANKRD10,NA,1.93951925261862,NA,87,NA
135,ANKRD13B,1.65321251377534,1.61278385671974,45,41,4.00000000000001
136,ANKRD17,1.96848294855394,2.05307844348342,93,113,20.0000000000001
137,ANKRD36,1.47712125471966,1.61278385671974,30,41,11
138,ANKRD36B,1.25527250510331,NA,18,NA,NA
139,ANKRD39,1.5910646070265,1.17609125905568,39,15,24
140,ANKRD54,2.26717172840301,NA,185,NA,NA
141,ANKZF1,NA,2.07188200730613,NA,118,NA
142,ANP32A,NA,2.05307844348342,NA,113,NA
143,ANXA6,1.65321251377534,NA,45,NA,NA
144,AP002884.1,1.07918124604762,NA,12,NA,NA
145,AP002956.1,1.25527250510331,NA,18,NA,NA
146,AP1G2,NA,1,NA,10,NA
147,AP1M1,NA,2.73158876518674,NA,539,NA
148,AP2M1,1.32221929473392,3.48415742436538,21,3049,3028
149,AP3B2,2.12057393120585,NA,132,NA,NA
150,AP4B1,1.79934054945358,NA,63,NA,NA
151,APBB1,3.17522180034305,3.09061070782841,1497,1232,264.999999999999
152,APBB3,0.778151250383644,1,6,10,4
153,APBB3_SRA1,0.778151250383644,NA,6,NA,NA
154,APEX1,NA,2.63948648926859,NA,436,NA
155,API5,NA,2.5092025223311,NA,323,NA
156,APLP1,3.61857102812013,3.49136169383427,4155,3100,1055
157,APLP2,2.82412583391655,NA,667,NA,NA
158,APOE,3.08098704691089,NA,1205,NA,NA
159,APOLD1,NA,1.82607480270083,NA,67,NA
160,AQP4,1.93951925261862,NA,87,NA,NA
161,ARAF,1.68124123737559,1.96378782734556,48,92,44
162,ARF5,NA,2.2148438480477,NA,164,NA
163,ARFGAP1,2.13672056715641,2.05307844348342,137,113,23.9999999999999
164,ARFIP2,1.98227123303957,1.85733249643127,96,72,24
165,ARFRP1,1.90848501887865,1.32221929473392,81,21,60
166,ARHGAP21,1.8750612633917,2.10720996964787,75,128,53
167,ARHGAP27P1-BPTFP1-KPNA2P3,0.778151250383644,NA,6,NA,NA
168,ARHGAP33,1.65321251377534,2.32221929473392,45,210,165
169,ARHGAP39,NA,1.55630250076729,NA,36,NA
170,ARHGAP44,2.13033376849501,NA,135,NA,NA
171,ARHGAP9,0.778151250383644,NA,6,NA,NA
172,ARHGDIA,2.8819549713396,2.91698004732038,762,826,63.9999999999993
173,ARHGDIG,1.32221929473392,NA,21,NA,NA
174,ARHGEF18,1.51851393987789,1.41497334797082,33,26,7
175,ARHGEF2,2.19033169817029,2.54282542695918,155,349,194
176,ARHGEF4,2.79379038469082,NA,622,NA,NA
177,ARHGEF9,1.77815125038364,1.82607480270083,60,67,7
178,ARID3B,NA,1,NA,10,NA
179,ARIH2,1.95424250943932,NA,90,NA,NA
180,ARL16,NA,1,NA,10,NA
181,ARL6IP4,2.35602585719312,1.82607480270083,227,67,160
182,ARMC7,1.25527250510331,NA,18,NA,NA
183,ARMCX3,1.77815125038364,1.99122607569249,60,98,38
184,ARMCX4,0.778151250383644,NA,6,NA,NA
185,ARMCX5-GPRASP2,NA,1,NA,10,NA
186,ARPP21,2.26717172840301,2.24303804868629,185,175,9.99999999999997
187,ARRB2,2.46686762035411,2.39093510710338,293,246,46.9999999999999
188,ARRDC1,1.32221929473392,1,21,10,11
189,ARSA,1.68124123737559,NA,48,NA,NA
190,ASB6,1.55630250076729,1.79239168949825,36,62,26
191,ASCC1,NA,1.99122607569249,NA,98,NA
192,ASIC3,0.954242509439325,NA,9,NA,NA
193,ASPHD1,NA,1.49136169383427,NA,31,NA
194,ASRGL1,NA,2.07188200730613,NA,118,NA
195,ASTE1,1.17609125905568,1.17609125905568,15,15,0
196,ATF2,NA,2.25527250510331,NA,180,NA
197,ATG13,2.00860017176192,1.99122607569249,102,98,3.99999999999999
198,ATG16L1,1.79934054945358,NA,63,NA,NA
199,ATG16L2,1.55630250076729,NA,36,NA,NA
200,ATG2A,NA,1,NA,10,NA
201,ATG4B,2.0899051114394,2.07188200730613,123,118,5
202,ATG9B,1.25527250510331,1,18,10,8
203,ATP13A1,1.89209460269048,2.31175386105575,78,205,127
204,ATP1A1,3.16761267272753,NA,1471,NA,NA
205,ATP2A2,2.0899051114394,1,123,10,113
206,ATP5F1B,3.1078880251828,3.05880548667591,1282,1145,137
207,ATP5F1C,1.51851393987789,NA,33,NA,NA
208,ATP5MC1,2.14612803567824,1.7481880270062,140,56,84.0000000000001
209,ATP5ME,NA,1.66275783168157,NA,46,NA
210,ATP5PD,2.13033376849501,NA,135,NA,NA
211,ATP5PO,NA,2.07188200730613,NA,118,NA
212,ATP6V0B,2.41497334797082,2.39093510710338,260,246,13.9999999999998
213,ATP6V0D1,2.67394199863409,NA,472,NA,NA
214,ATP6V1B2,NA,3.0265332645233,NA,1063,NA
215,ATP6V1E2,0.778151250383644,1,6,10,4
216,ATRAID,1.43136376415899,NA,27,NA,NA
217,ATRIP,NA,1.7481880270062,NA,56,NA
218,ATRX,1.79934054945358,2.22788670461367,63,169,106
219,ATXN2L,1.89209460269048,1.49136169383427,78,31,47
220,ATXN7L2,NA,1.7481880270062,NA,56,NA
221,AUP1,2.24551266781415,2.38201704257487,176,241,64.9999999999999
222,AZIN2,1.89209460269048,1,78,10,68
223,B2M,2.54777470538782,NA,353,NA,NA
224,B3GALNT1,NA,2.29003461136252,NA,195,NA
225,B3GALNT2,NA,1,NA,10,NA
226,B3GAT1,1.5910646070265,NA,39,NA,NA
227,B3GAT2,NA,1.32221929473392,NA,21,NA
228,B4GALNT1,2.02118929906994,1.93951925261862,105,87,18.0000000000001
229,B4GALNT4,1.38021124171161,1.55630250076729,24,36,12
230,B4GALT3,NA,2.29003461136252,NA,195,NA
231,BAALC,2.81624129999178,NA,655,NA,NA
232,BABAM1,2.32014628611105,2.40993312333129,209,257,48.0000000000002
233,BAZ2B,1.38021124171161,2.0899051114394,24,123,99
234,BBOF1,1.07918124604762,NA,12,NA,NA
235,BBS2,NA,2.0899051114394,NA,123,NA
236,BCKDK,1.68124123737559,1.88649072517248,48,77,29
237,BCS1L,1.79934054945358,2.12385164096709,63,133,70
238,BECN1,2.30749603791321,NA,203,NA,NA
239,BEX1,2.67394199863409,NA,472,NA,NA
240,BEX2,2.3384564936046,NA,218,NA,NA
241,BEX3,NA,2.25527250510331,NA,180,NA
242,BICDL1,0.954242509439325,NA,9,NA,NA
243,BIN1,2.84633711212981,NA,702,NA,NA
244,BIRC2,NA,2.34439227368511,NA,221,NA
245,BNIP2,NA,1.66275783168157,NA,46,NA
246,BOD1,NA,1.96378782734556,NA,92,NA
247,BOLA2-SMG1P6,0.778151250383644,NA,6,NA,NA
248,BOP1,2.29446622616159,2.50242711998443,197,318,121
249,BRAT1,1.79934054945358,2.31175386105575,63,205,142
250,BRIX1,NA,1.82607480270083,NA,67,NA
251,BRMS1,NA,1.7481880270062,NA,56,NA
252,BRSK1,2.04532297878666,NA,111,NA,NA
253,BRWD1,2.35602585719312,NA,227,NA,NA
254,BSCL2,2.88874096068289,NA,774,NA,NA
255,BSDC1,2.40483371661994,NA,254,NA,NA
256,BSG,3.19312459835446,NA,1560,NA,NA
257,BTBD6,2.23044892137827,NA,170,NA,NA
258,BTBD8,1.32221929473392,NA,21,NA,NA
259,BUB3,2.19865708695442,2.73158876518674,158,539,381
260,C10ORF88,NA,1.55630250076729,NA,36,NA
261,C11ORF49,2.49692964807321,2.56110138364906,314,364,50
262,C12ORF75,NA,1.55630250076729,NA,36,NA
263,C16ORF58,1.93951925261862,2.25527250510331,87,180,93
264,C16ORF70,1.79934054945358,1.55630250076729,63,36,27
265,C17ORF58,1.65321251377534,1.61278385671974,45,41,4.00000000000001
266,C19ORF47,1.32221929473392,1.49136169383427,21,31,10
267,C19ORF48,NA,1.91381385238372,NA,82,NA
268,C19ORF54,0.778151250383644,NA,6,NA,NA
269,C19ORF66,2.2380461031288,NA,173,NA,NA
270,C1ORF35,1.70757017609794,1.49136169383427,51,31,20
271,C1QTNF4,2.39967372148104,NA,251,NA,NA
272,C1R,1.32221929473392,NA,21,NA,NA
273,C20ORF27,NA,1.7481880270062,NA,56,NA
274,C20ORF96,1.17609125905568,2.18752072083646,15,154,139
275,C2ORF81,1.25527250510331,NA,18,NA,NA
276,C7ORF26,1.73239375982297,NA,54,NA,NA
277,C8ORF33,NA,2.5092025223311,NA,323,NA
278,C9ORF24,1.51851393987789,NA,33,NA,NA
279,C9ORF72,NA,2.15836249209525,NA,144,NA
280,CA11,2.93196611472817,NA,855,NA,NA
281,CABP1,2.96567197122011,NA,924,NA,NA
282,CABYR,1.07918124604762,1.17609125905568,12,15,3
283,CALCOCO1,2.29446622616159,2.22788670461367,197,169,28
284,CALCOCO2,1.89209460269048,NA,78,NA,NA
285,CALM3,3.79899573444388,NA,6295,NA,NA
286,CALR,2.10037054511756,NA,126,NA,NA
287,CALY,1.98227123303957,1.17609125905568,96,15,81
288,CAMK1G,2.54406804435028,1.70757017609794,350,51,299
289,CAMK2B,3.14581771449183,NA,1399,NA,NA
290,CAMK2G,2.57287160220048,NA,374,NA,NA
291,CAMKV,2.91960102378411,3.16524432612531,831,1463,632
292,CAMTA2,2.47567118832443,1.85733249643127,299,72,227
293,CANT1,NA,2.18752072083646,NA,154,NA
294,CAP1,2.37839790094814,2.89209460269048,239,780,541
295,CAPN10,1.81954393554187,NA,66,NA,NA
296,CAPRIN2,NA,1.17609125905568,NA,15,NA
297,CARD19,1.85733249643127,NA,72,NA,NA
298,CARHSP1,NA,2.89209460269048,NA,780,NA
299,CARM1,NA,1,NA,10,NA
300,CARNS1,1.25527250510331,NA,18,NA,NA
301,CARS,2.27415784926368,2.26717172840301,188,185,3.00000000000011
302,CAST,1.25527250510331,NA,18,NA,NA
303,CASTOR1,1.51851393987789,NA,33,NA,NA
304,CASTOR3,2.19865708695442,1.7481880270062,158,56,102
305,CATSPER2_AC011330.1,0.778151250383644,NA,6,NA,NA
306,CBR1,2.69019608002851,1.70757017609794,490,51,439
307,CBS,2.20682587603185,2.15836249209525,161,144,16.9999999999999
308,CBSL,1.17609125905568,1.17609125905568,15,15,0
309,CC2D1A,NA,2.29003461136252,NA,195,NA
310,CCAR2,NA,2.30102999566398,NA,200,NA
311,CCDC107,1.68124123737559,NA,48,NA,NA
312,CCDC12,NA,1.32221929473392,NA,21,NA
313,CCDC13_HIGD1A,NA,1,NA,10,NA
314,CCDC130,1.5910646070265,NA,39,NA,NA
315,CCDC137,1.43136376415899,1.93951925261862,27,87,60
316,CCDC14,NA,1.99122607569249,NA,98,NA
317,CCDC142,NA,1.49136169383427,NA,31,NA
318,CCDC152,NA,1.41497334797082,NA,26,NA
319,CCDC159,0.778151250383644,NA,6,NA,NA
320,CCDC59,NA,1,NA,10,NA
321,CCDC82,NA,2.17318626841227,NA,149,NA
322,CCDC88A,1.83884909073726,2.30102999566398,69,200,131
323,CCDC90B,NA,2.33445375115093,NA,216,NA
324,CCDC93,NA,1.49136169383427,NA,31,NA
325,CCNC,1.89209460269048,2.12385164096709,78,133,55
326,CCNG2,2.07918124604762,2.15836249209525,120,144,24.0000000000001
327,CCNI,NA,2.83122969386706,NA,678,NA
328,CCNJ,NA,1.49136169383427,NA,31,NA
329,CCNL1,1.43136376415899,1.93951925261862,27,87,60
330,CCNL2,1.51851393987789,2.40993312333129,33,257,224
331,CCNT2,NA,1.55630250076729,NA,36,NA
332,CCS,1.75587485567249,1.85733249643127,57,72,15
333,CCT2,2.26007138798507,NA,182,NA,NA
334,CCZ1B,NA,1.61278385671974,NA,41,NA
335,CD151,NA,2.15836249209525,NA,144,NA
336,CD247,0.778151250383644,NA,6,NA,NA
337,CD276,NA,2.22788670461367,NA,169,NA
338,CD2BP2,NA,2.25527250510331,NA,180,NA
339,CD37,0.778151250383644,NA,6,NA,NA
340,CD46,1.68124123737559,1.93951925261862,48,87,39
341,CDC123,NA,2.25527250510331,NA,180,NA
342,CDC16,1.99563519459755,2.20139712432045,99,159,59.9999999999999
343,CDC37,2.84633711212981,2.31175386105575,702,205,497
344,CDC42SE2,2.37839790094814,2.2148438480477,239,164,74.9999999999999
345,CDCA7,NA,2.18752072083646,NA,154,NA
346,CDIPT,2.55509444857832,2.22788670461367,359,169,190
347,CDIPTOSP,0.778151250383644,NA,6,NA,NA
348,CDK1,NA,2.07188200730613,NA,118,NA
349,CDK10,2.07918124604762,1.7481880270062,120,56,64
350,CDK16,2.31386722036915,2.50242711998443,206,318,112
351,CDK18,1.93951925261862,NA,87,NA,NA
352,CDK5R1,2.5092025223311,NA,323,NA,NA
353,CDK5RAP3,2.19865708695442,2.93550726582471,158,862,704
354,CDK9,NA,1.66275783168157,NA,46,NA
355,CEACAM19,NA,1.32221929473392,NA,21,NA
356,CELF1,1.99563519459755,2.44247976906445,99,277,178
357,CELF2,2.37291200297011,2.83122969386706,236,678,442
