,associated_gene,Adult,Fetal,Adult_TPM,Fetal_TPM,diff
978,KCTD13,NA,2.49554433754645,NA,313,NA
979,KCTD17,2.51719589794997,1.91381385238372,329,82,247
980,KCTD2,2.0899051114394,NA,123,NA,NA
981,KCTD3,NA,2.0899051114394,NA,123,NA
982,KDM1A,NA,2.88649072517248,NA,770,NA
983,KDM2B,0.954242509439325,2.22788670461367,9,169,160
984,KDM5C,NA,1.61278385671974,NA,41,NA
985,KDM5D,1.17609125905568,NA,15,NA,NA
986,KDM6B,NA,1.32221929473392,NA,21,NA
987,KDM8,1.25527250510331,NA,18,NA,NA
988,KHDC4,NA,2.37291200297011,NA,236,NA
989,KHDRBS1,2.19033169817029,NA,155,NA,NA
990,KHK,1.83884909073726,1.49136169383427,69,31,38
991,KHSRP,0.778151250383644,1.17609125905568,6,15,9
992,KIAA0895L,1.47712125471966,2.47421626407626,30,298,268
993,KIAA0930,2.76342799356294,NA,580,NA,NA
994,KIAA2012,0.954242509439325,NA,9,NA,NA
995,KIDINS220,NA,2.49554433754645,NA,313,NA
996,KIF1BP,NA,2.46686762035411,NA,293,NA
997,KIFAP3,NA,2.25527250510331,NA,180,NA
998,KIFC2,2.93801909747621,2.40140054078154,867,252,615
999,KLC1,3.26505378850401,3.09412159584056,1841,1242,599
1000,KLC2,2.84633711212981,NA,702,NA,NA
1001,KLF6,2.11058971029925,2.12385164096709,129,133,4.00000000000006
1002,KLHDC2,NA,2.72754125702856,NA,534,NA
1003,KLHDC3,2.89042101880091,2.65991620006985,777,457,319.999999999999
1004,KLHDC8A,NA,2.14301480025409,NA,139,NA
1005,KLHDC9,2.04532297878666,NA,111,NA,NA
1006,KLK7,1.32221929473392,NA,21,NA,NA
1007,KMT2E,2.54032947479087,3.02201573981772,347,1052,705
1008,KMT5C,NA,1.82607480270083,NA,67,NA
1009,KNSTRN,NA,1.70757017609794,NA,51,NA
1010,KPTN,1.43136376415899,1.61278385671974,27,41,14
1011,KRR1,NA,1.41497334797082,NA,26,NA
1012,KRT17P1,1.77815125038364,NA,60,NA,NA
1013,KRT17P6,0.778151250383644,NA,6,NA,NA
1014,KXD1,2.23044892137827,NA,170,NA,NA
1015,L1CAM,NA,2.66931688056611,NA,467,NA
1016,LAMP5,2.18184358794477,NA,152,NA,NA
1017,LARS,NA,1.66275783168157,NA,46,NA
1018,LAS1L,1.47712125471966,2.15836249209525,30,144,114
1019,LBR,NA,2.31175386105575,NA,205,NA
1020,LCN12,0.778151250383644,NA,6,NA,NA
1021,LCOR,NA,1.82607480270083,NA,67,NA
1022,LDB2,NA,2.56110138364906,NA,364,NA
1023,LDHD_AC099508.1,1.07918124604762,NA,12,NA,NA
1024,LDLRAP1,1.32221929473392,NA,21,NA,NA
1025,LENG8,NA,1.70757017609794,NA,51,NA
1026,LETMD1,2.03342375548695,NA,108,NA,NA
1027,LGI4,2.40483371661994,NA,254,NA,NA
1028,LIMCH1,1.55630250076729,2.5092025223311,36,323,287
1029,LIMD2,1.43136376415899,1.82607480270083,27,67,40
1030,LIN37,1.43136376415899,NA,27,NA,NA
1031,LINC00599,NA,2.29003461136252,NA,195,NA
1032,LINC00632,2.46686762035411,2.24303804868629,293,175,118
1033,LINC00869,NA,1,NA,10,NA
1034,LINC01305,NA,1,NA,10,NA
1035,LINC01578,1.65321251377534,NA,45,NA,NA
1036,LINS1,0.954242509439325,NA,9,NA,NA
1037,LMBR1L,1.17609125905568,2.18752072083646,15,154,139
1038,LMF2,1.95424250943932,2.27875360095283,90,190,100
1039,LMNA,1.68124123737559,1.32221929473392,48,21,27
1040,LMO3,2.53655844257153,3.06818586174616,344,1170,826
1041,LPAR2,NA,2.54282542695918,NA,349,NA
1042,LPCAT4,2.54777470538782,1.88649072517248,353,77,276
1043,LRATD1,1.51851393987789,NA,33,NA,NA
1044,LRCH4,1.17609125905568,1.32221929473392,15,21,6
1045,LRCH4_SAP25,NA,1,NA,10,NA
1046,LRFN4,1.96848294855394,1.66275783168157,93,46,47
1047,LRPAP1,1.25527250510331,2.40993312333129,18,257,239
1048,LRRC14,1.79934054945358,NA,63,NA,NA
1049,LRRC41,2.16435285578444,1.82607480270083,146,67,79
1050,LRRC45,1.43136376415899,1.88649072517248,27,77,50
1051,LRRC73,1.90848501887865,1.61278385671974,81,41,40
1052,LRRC75B,1.43136376415899,NA,27,NA,NA
1053,LRRTM4,1.25527250510331,1,18,10,8
1054,LRSAM1,NA,1.61278385671974,NA,41,NA
1055,LSS,NA,2.17318626841227,NA,149,NA
1056,LUC7L,1.96848294855394,2.51719589794997,93,329,236
1057,LUC7L3,NA,2.39093510710338,NA,246,NA
1058,LY6H,2.61172330800734,NA,409,NA,NA
1059,LYRM9,1.95424250943932,NA,90,NA,NA
1060,LZTR1,NA,1.85733249643127,NA,72,NA
1061,LZTS2,1.83884909073726,NA,69,NA,NA
1062,LZTS3,2.53655844257153,1.55630250076729,344,36,308
1063,M6PR,2.30749603791321,NA,203,NA,NA
1064,MAD2L2,1.5910646070265,2.10720996964787,39,128,89
1065,MAF1,2.41497334797082,2.45788189673399,260,287,27.0000000000002
1066,MAGED1,2.69019608002851,3.21827285357145,490,1653,1163
1067,MAGED2,2.79169064902012,3.27508089845686,619,1884,1265
1068,MAGED4,2.10037054511756,2.88649072517248,126,770,644
1069,MAGED4B,2.06818586174616,3.0386201619497,117,1093,976
1070,MAL2,2.58994960132571,NA,389,NA,NA
1071,MALAT1,NA,1.61278385671974,NA,41,NA
1072,MAN1A1,1.25527250510331,NA,18,NA,NA
1073,MAN1B1,NA,1.93951925261862,NA,87,NA
1074,MAN2A2,NA,1.32221929473392,NA,21,NA
1075,MAN2C1,NA,1.32221929473392,NA,21,NA
1076,MAP11,1.25527250510331,NA,18,NA,NA
1077,MAP1LC3A,NA,2.17318626841227,NA,149,NA
1078,MAP1S,NA,2.61909333062674,NA,416,NA
1079,MAP2K2,2.54777470538782,NA,353,NA,NA
1080,MAP3K12,NA,1.79239168949825,NA,62,NA
1081,MAP3K2-DT,1.07918124604762,NA,12,NA,NA
1082,MAP6,2.32633586092875,NA,212,NA,NA
1083,MAP7D1,3.00945089579869,2.73957234445009,1022,549,473
1084,MAPK11,1.51851393987789,1.41497334797082,33,26,7
1085,MAPK3,NA,1,NA,10,NA
1086,MAPK7,NA,2.54282542695918,NA,349,NA
1087,MAPK8IP1,2.83884909073726,NA,690,NA,NA
1088,MAPKBP1,NA,1,NA,10,NA
1089,MAPRE3,2.77887447200274,2.59659709562646,601,395,206
1090,MARC1,NA,1.61278385671974,NA,41,NA
1091,MARCH5,1.07918124604762,1.32221929473392,12,21,9
1092,MARK3,NA,2.44247976906445,NA,277,NA
1093,MARS,2.38916608436453,2.59659709562646,245,395,150
1094,MAST1,1.83884909073726,1.96378782734556,69,92,23
1095,MAT2A,2.00860017176192,2.17318626841227,102,149,47
1096,MATR3,NA,2.53019969820308,NA,339,NA
1097,MAU2,1.17609125905568,1.88649072517248,15,77,62
1098,MBNL2,2.02118929906994,NA,105,NA,NA
1099,MBOAT7,2.26717172840301,NA,185,NA,NA
1100,MBP,4.71522592926229,NA,51907.0000000001,NA,NA
1101,MCCC1,1.32221929473392,1.91381385238372,21,82,61
1102,MCF2L,1.75587485567249,1.82607480270083,57,67,9.99999999999999
1103,MCM3AP-AS1,NA,1.55630250076729,NA,36,NA
1104,MCM7,NA,2.47421626407626,NA,298,NA
1105,MCOLN1,2.13672056715641,NA,137,NA,NA
1106,MCRIP1,2.44870631990508,NA,281,NA,NA
1107,MCRIP2,1.8750612633917,NA,75,NA,NA
1108,MCRS1,2.30749603791321,NA,203,NA,NA
1109,MDK,NA,2.56820172406699,NA,370,NA
1110,MEAF6,NA,1.93951925261862,NA,87,NA
1111,MED10,NA,1.91381385238372,NA,82,NA
1112,MED15,2.28103336724773,NA,191,NA,NA
1113,MED16,2.13033376849501,NA,135,NA,NA
1114,MED25,NA,1.93951925261862,NA,87,NA
1115,MEF2A,NA,1.49136169383427,NA,31,NA
1116,MEF2D,1.55630250076729,NA,36,NA,NA
1117,MEG3,3.77502760009884,3.23552844690755,5957,1720,4237
1118,MELTF,1.5910646070265,NA,39,NA,NA
1119,MEN1,NA,2.18752072083646,NA,154,NA
1120,METRN,1.89209460269048,NA,78,NA,NA
1121,METTL15,NA,1.32221929473392,NA,21,NA
1122,METTL17,NA,1.32221929473392,NA,21,NA
1123,METTL22,NA,1,NA,10,NA
1124,METTL26,2.28103336724773,1.82607480270083,191,67,124
1125,METTL3,1.6232492903979,2.07188200730613,42,118,76
1126,MFAP2,NA,2.05307844348342,NA,113,NA
1127,MFN2,2.28103336724773,NA,191,NA,NA
1128,MFSD10,1.6232492903979,2.12385164096709,42,133,91
1129,MFSD3,2.05690485133647,1.61278385671974,114,41,73
1130,MFSD3_AC084125.4,0.778151250383644,NA,6,NA,NA
1131,MGAT4B,1.99563519459755,NA,99,NA,NA
1132,MGLL,NA,1.55630250076729,NA,36,NA
1133,MIAT,2.24551266781415,2.90633504180509,176,806,630
1134,MIB2,2.0899051114394,1.82607480270083,123,67,56
1135,MICAL1,1.32221929473392,1.79239168949825,21,62,41
1136,MICAL2,2.40483371661994,NA,254,NA,NA
1137,MICOS10,NA,1.55630250076729,NA,36,NA
1138,MICU2,NA,1.99122607569249,NA,98,NA
1139,MIER2,1.96848294855394,2.2148438480477,93,164,71
1140,MIIP,1.8750612633917,2.29003461136252,75,195,120
1141,MIOS,NA,1.66275783168157,NA,46,NA
1142,MIPEPP3,NA,1.41497334797082,NA,26,NA
1143,MIR181A1HG,NA,2.65991620006985,NA,457,NA
1144,MIS18A,NA,1.61278385671974,NA,41,NA
1145,MITD1,0.778151250383644,1,6,10,4
1146,MKNK2,1.68124123737559,NA,48,NA,NA
1147,MLC1,1.90848501887865,NA,81,NA,NA
1148,MLF2,2.93951925261862,2.7481880270062,870,560,310.000000000001
1149,MLLT1,1.25527250510331,NA,18,NA,NA
1150,MLST8,2.4345689040342,NA,272,NA,NA
1151,MLX,NA,1.66275783168157,NA,46,NA
1152,MLXIPL,1.65321251377534,NA,45,NA,NA
1153,MMP17,2.34439227368511,NA,221,NA,NA
1154,MOB2,1.96848294855394,1.66275783168157,93,46,47
1155,MOK,0.778151250383644,2.17318626841227,6,149,143
1156,MON1B,NA,1.55630250076729,NA,36,NA
1157,MORF4L1,NA,2.17318626841227,NA,149,NA
1158,MORF4L2,2.82412583391655,2.95856388322197,667,909,242
1159,MORN4,NA,2.53655844257153,NA,344,NA
1160,MOSPD3,NA,1.79239168949825,NA,62,NA
1161,MPC1,NA,1.32221929473392,NA,21,NA
1162,MPHOSPH10,NA,2.26717172840301,NA,185,NA
1163,MPI,1.95424250943932,NA,90,NA,NA
1164,MPZL1,NA,2.60852603357719,NA,406,NA
1165,MRGBP,NA,1.85733249643127,NA,72,NA
1166,MROH1,1.38021124171161,NA,24,NA,NA
1167,MRPL32,1.93951925261862,2.14301480025409,87,139,52
1168,MRPL38,2.30749603791321,2.29003461136252,203,195,8.00000000000011
1169,MRPL39,NA,1.41497334797082,NA,26,NA
1170,MRPL46,1.47712125471966,NA,30,NA,NA
1171,MRPL55,2.27415784926368,1.85733249643127,188,72,116
1172,MRPL9,NA,1.70757017609794,NA,51,NA
1173,MRPS26,2.11058971029925,NA,129,NA,NA
1174,MRPS27,NA,2.29003461136252,NA,195,NA
1175,MRPS5,NA,1.96378782734556,NA,92,NA
1176,MRRF,1.43136376415899,1,27,10,17
1177,MSANTD4,0.954242509439325,1.96378782734556,9,92,83
1178,MSH2,NA,2.26717172840301,NA,185,NA
1179,MSTO1,1.38021124171161,NA,24,NA,NA
1180,MTCH1,2.77451696572855,2.95568775031351,595,903,308
1181,MTERF4,NA,1,NA,10,NA
1182,MTFR1L,2.46686762035411,2.64443858946784,293,441,148
1183,MTMR2,NA,1.96378782734556,NA,92,NA
1184,MTMR4,1.55630250076729,2.27875360095283,36,190,154
1185,MTRR,NA,1.55630250076729,NA,36,NA
1186,MTSS2,1.17609125905568,NA,15,NA,NA
1187,MUS81,1.93951925261862,2.42651126136458,87,267,180
1188,MXD4,1.65321251377534,NA,45,NA,NA
1189,MXRA8,1.17609125905568,NA,15,NA,NA
1190,MYBBP1A,2.22271647114758,1.61278385671974,167,41,126
1191,MYD88,NA,2.01283722470517,NA,103,NA
1192,MYEF2,NA,1.55630250076729,NA,36,NA
1193,MYL5,1.07918124604762,NA,12,NA,NA
1194,MYL6,2.30749603791321,2.17318626841227,203,149,54
1195,MZT2A,NA,1,NA,10,NA
1196,N4BP2L2,NA,2.24303804868629,NA,175,NA
1197,NAA10,1.73239375982297,NA,54,NA,NA
1198,NAB2,2.28103336724773,2.2148438480477,191,164,27
1199,NACA,2.38381536598043,NA,242,NA,NA
1200,NACAD,1.47712125471966,NA,30,NA,NA
1201,NADK,NA,2.0899051114394,NA,123,NA
1202,NAE1,1.85733249643127,1.66275783168157,72,46,26
1203,NAGK,1.79934054945358,2.4345689040342,63,272,209
1204,NAP1L1,2.17318626841227,NA,149,NA,NA
1205,NAPA,2.91009054559407,2.4814426285023,813,303,510
1206,NAPEPLD,1.92427928606188,1.79239168949825,84,62,22
1207,NARS,2.63346845557959,2.62940959910272,430,426,4.00000000000017
1208,NASP,NA,1.85733249643127,NA,72,NA
1209,NAT9,1.98227123303957,2.30102999566398,96,200,104
1210,NAXD,2.0899051114394,2.15836249209525,123,144,21
1211,NAXE,NA,1.32221929473392,NA,21,NA
1212,NBR2,0.954242509439325,1.32221929473392,9,21,12
1213,NCALD,2.30749603791321,2.15836249209525,203,144,59
1214,NCAN,NA,2.64443858946784,NA,441,NA
1215,NCAPH2,NA,1.79239168949825,NA,62,NA
1216,NCBP3,NA,1.49136169383427,NA,31,NA
1217,NCDN,2.75434833571102,2.60205999132796,568,400,168
1218,NCF1,0.778151250383644,NA,6,NA,NA
1219,NCK1,NA,1.70757017609794,NA,51,NA
1220,NCKIPSD,2.3384564936046,NA,218,NA,NA
1221,NCLN,NA,1.79239168949825,NA,62,NA
1222,NCOR1,NA,3.088844562727,NA,1227,NA
1223,NDRG1,1.83884909073726,1.61278385671974,69,41,28
1224,NDRG2,3.42781057267599,2.76342799356294,2678,580,2098
1225,NDUFA10,2.15533603746506,NA,143,NA,NA
1226,NDUFA13,2.42975228000241,NA,269,NA,NA
1227,NDUFAF7,NA,1.61278385671974,NA,41,NA
1228,NDUFAF8,NA,1,NA,10,NA
1229,NDUFB10,2.15533603746506,NA,143,NA,NA
1230,NDUFB5,NA,1.55630250076729,NA,36,NA
1231,NDUFS2,2.63648789635337,2.77451696572855,433,595,162
1232,NDUFS3,NA,1.70757017609794,NA,51,NA
1233,NDUFS8,2.0899051114394,1.49136169383427,123,31,92
1234,NDUFV1,2.64836001098093,2.42651126136458,445,267,178
1235,NECAB3,2.27415784926368,1.61278385671974,188,41,147
1236,NECAP2,NA,1.70757017609794,NA,51,NA
1237,NEIL1,1.32221929473392,1.41497334797082,21,26,5
1238,NEK1,0.954242509439325,NA,9,NA,NA
1239,NELFCD,2.2148438480477,2.55509444857832,164,359,195
1240,NELL2,2.80002935924413,3.09236969962912,631,1237,606
1241,NEURL1,2.19033169817029,NA,155,NA,NA
1242,NFKBIA,2.0899051114394,NA,123,NA,NA
1243,NGDN,NA,1.79239168949825,NA,62,NA
1244,NGEF,3.01577875638904,NA,1037,NA,NA
1245,NGRN,1.83884909073726,NA,69,NA,NA
1246,NICN1,NA,1.32221929473392,NA,21,NA
1247,NIPSNAP3A,NA,2.15836249209525,NA,144,NA
1248,NISCH,NA,2.01283722470517,NA,103,NA
1249,NLGN3,1.99563519459755,NA,99,NA,NA
1250,NLK,1.51851393987789,NA,33,NA,NA
1251,NLN,1.32221929473392,NA,21,NA,NA
1252,NMD3,1.68124123737559,NA,48,NA,NA
1253,NME9,0.778151250383644,NA,6,NA,NA
1254,NOB1,NA,1.88649072517248,NA,77,NA
1255,NOL11,NA,2.20139712432045,NA,159,NA
1256,NOMO3,NA,1.32221929473392,NA,21,NA
1257,NONO,2.44870631990508,3.13513265137677,281,1365,1084
1258,NOP56,2.16435285578444,2.54900326202579,146,354,208
1259,NOSIP,NA,1.7481880270062,NA,56,NA
1260,NOXA1,1.65321251377534,NA,45,NA,NA
1261,NPDC1,2.74036268949424,2.38201704257487,550,241,309
1262,NPIPA1,1.07918124604762,1,12,10,2
1263,NPIPA8,NA,1.17609125905568,NA,15,NA
1264,NPIPA9,1.17609125905568,1.55630250076729,15,36,21
1265,NPM2,1.85733249643127,NA,72,NA,NA
1266,NPRL2,1.75587485567249,2.03342375548695,57,108,51
1267,NPRL3,1.51851393987789,NA,33,NA,NA
1268,NPY1R,1.38021124171161,NA,24,NA,NA
1269,NR1H3,1.17609125905568,NA,15,NA,NA
1270,NR4A1,2.05690485133647,1.17609125905568,114,15,99
1271,NRBP1,2.30749603791321,2.5910646070265,203,390,187
1272,NRBP2,2.06818586174616,NA,117,NA,NA
1273,NRCAM,1.5910646070265,1.61278385671974,39,41,2
1274,NRDC,2.32014628611105,NA,209,NA,NA
1275,NREP,NA,3.76767522402796,NA,5857,NA
1276,NRGN,2.58658730467176,NA,386,NA,NA
1277,NRIP3,1.6232492903979,NA,42,NA,NA
1278,NRSN2,2.76117581315573,2.40140054078154,577,252,325
1279,NRXN1,1.73239375982297,NA,54,NA,NA
1280,NRXN2,2.52113808370404,NA,332,NA,NA
1281,NSG1,2.2380461031288,2.95856388322197,173,909,736
1282,NSMF,2.0899051114394,NA,123,NA,NA
1283,NSUN5P1,1.25527250510331,2.0899051114394,18,123,105
1284,NSUN5P2,NA,1.79239168949825,NA,62,NA
1285,NT5C2,NA,1.79239168949825,NA,62,NA
1286,NT5C3A,NA,2.10720996964787,NA,128,NA
1287,NT5DC1,0.778151250383644,NA,6,NA,NA
1288,NTM,1.70757017609794,NA,51,NA,NA
1289,NTRK3,2.05690485133647,2.3541084391474,114,226,112
1290,NUBP2,2.13672056715641,NA,137,NA,NA
1291,NUCB1,2.64836001098093,NA,445,NA,NA
1292,NUDCD2,NA,1.66275783168157,NA,46,NA
1293,NUDT12,1.25527250510331,NA,18,NA,NA
1294,NUDT16,1.38021124171161,NA,24,NA,NA
1295,NUDT22,1.65321251377534,NA,45,NA,NA
1296,NUMA1,NA,2.17318626841227,NA,149,NA
1297,NUP160,NA,1.91381385238372,NA,82,NA
1298,NUP54,NA,1.79239168949825,NA,62,NA
1299,NUP62,1.5910646070265,2.01283722470517,39,103,64
1300,NUPR1,1.90848501887865,NA,81,NA,NA
1301,NUSAP1,NA,2.46686762035411,NA,293,NA
1302,NVL,NA,1.79239168949825,NA,62,NA
1303,NYNRIN,NA,1,NA,10,NA
1304,OAZ1,3.06107532362979,2.53655844257153,1151,344,807
1305,OAZ2,2.36172783601759,1,230,10,220
1306,OBSL1,NA,1.82607480270083,NA,67,NA
1307,OCIAD1,1.77815125038364,2.10720996964787,60,128,68
1308,ODF2,1.51851393987789,NA,33,NA,NA
1309,OFD1,NA,1.32221929473392,NA,21,NA
1310,OGA,NA,2.61384182187607,NA,411,NA
1311,OGDHL,2.00860017176192,NA,102,NA,NA
1312,OGFOD2,NA,1,NA,10,NA
1313,OR2T8,0.778151250383644,NA,6,NA,NA
1314,ORC3,NA,2.2148438480477,NA,164,NA
1315,ORC6,NA,1.41497334797082,NA,26,NA
1316,OS9,NA,2.65030752313194,NA,447,NA
1317,OSBPL5,NA,1.32221929473392,NA,21,NA
1318,OSBPL6,1.8750612633917,NA,75,NA,NA
1319,OSGEPL1,NA,1.17609125905568,NA,15,NA
1320,OSTC,NA,1.70757017609794,NA,51,NA
1321,OTUD5,NA,1.32221929473392,NA,21,NA
1322,OXA1L,1.07918124604762,1.82607480270083,12,67,55
1323,P2RX6,1.17609125905568,NA,15,NA,NA
1324,P3H1,1.65321251377534,1.7481880270062,45,56,11
1325,P3H3,1.32221929473392,NA,21,NA,NA
1326,P4HB,2.68752896121463,2.70586371228392,487,508,20.9999999999999
1327,P4HTM,2.73078227566639,2.22788670461367,538,169,369
1328,PABPC1,2.23044892137827,3.37785241900675,170,2387,2217
1329,PABPN1,2.04532297878666,NA,111,NA,NA
1330,PACS2,1.90848501887865,NA,81,NA,NA
1331,PAFAH1B1,2.14612803567824,NA,140,NA,NA
1332,PAK3,2.55870857053317,2.38201704257487,362,241,121
1333,PANTR1,NA,2.26717172840301,NA,185,NA
1334,PAQR6,2.82412583391655,NA,667,NA,NA
1335,PARP16,NA,1.96378782734556,NA,92,NA
1336,PARP2,2.02118929906994,2.3541084391474,105,226,121
1337,PASK,0.778151250383644,NA,6,NA,NA
1338,PAXX,1.68124123737559,1.32221929473392,48,21,27
1339,PCBP1-AS1,NA,1.7481880270062,NA,56,NA
1340,PCBP2,NA,3.09968064110925,NA,1258,NA
1341,PCDH17,NA,1.7481880270062,NA,56,NA
1342,PCDH7,1.07918124604762,NA,12,NA,NA
1343,PCED1A,NA,2.12385164096709,NA,133,NA
1344,PCGF1,NA,1,NA,10,NA
1345,PCGF2,NA,1.93951925261862,NA,87,NA
1346,PCGF3,1.25527250510331,1.49136169383427,18,31,13
1347,PCIF1,NA,1.96378782734556,NA,92,NA
1348,PCNT,1.07918124604762,1,12,10,2
1349,PCNX3,NA,1.49136169383427,NA,31,NA
1350,PCYT2,NA,1.49136169383427,NA,31,NA
1351,PDAP1,NA,1.32221929473392,NA,21,NA
1352,PDCD5,1.25527250510331,1.7481880270062,18,56,38
1353,PDCD6IP,NA,1.55630250076729,NA,36,NA
1354,PDE4A,2.3384564936046,NA,218,NA,NA
1355,PDE4DIP,1.77815125038364,NA,60,NA,NA
1356,PDE7A,NA,1.41497334797082,NA,26,NA
1357,PDHA1,NA,2.01283722470517,NA,103,NA
1358,PDIA2,1.25527250510331,NA,18,NA,NA
1359,PDIA2_ARHGDIG,1.6232492903979,NA,42,NA,NA
1360,PDIA3,NA,1.61278385671974,NA,41,NA
1361,PDK2,1.32221929473392,NA,21,NA,NA
1362,PDLIM7,1.79934054945358,2.34439227368511,63,221,158
1363,PDS5A,1.43136376415899,1.96378782734556,27,92,65
1364,PDZD7,1.55630250076729,NA,36,NA,NA
1365,PEA15,NA,3.61023417533439,NA,4076,NA
1366,PEG3,NA,1.55630250076729,NA,36,NA
1367,PELP1,1.17609125905568,2.42651126136458,15,267,252
1368,PEX11B,2.22271647114758,NA,167,NA,NA
1369,PEX19,NA,1.7481880270062,NA,56,NA
1370,PEX5,1.47712125471966,NA,30,NA,NA
1371,PEX6,NA,1.49136169383427,NA,31,NA
1372,PFDN5,2.48429983934679,2.07188200730613,305,118,187
1373,PFKL,2.67394199863409,2.95085145888855,472,893,421
1374,PGAP3,NA,2.07188200730613,NA,118,NA
1375,PGK1,NA,1.55630250076729,NA,36,NA
1376,PGM2,1.07918124604762,NA,12,NA,NA
1377,PGP,1.83884909073726,NA,69,NA,NA
1378,PGP_BRICD5,NA,1.17609125905568,NA,15,NA
1379,PHC1,1.17609125905568,1.32221929473392,15,21,6
1380,PHC2,NA,1.41497334797082,NA,26,NA
1381,PHF20L1,2.13672056715641,2.50242711998443,137,318,181
1382,PHF24,1.55630250076729,NA,36,NA,NA
1383,PHF6,0.954242509439325,NA,9,NA,NA
1384,PHIP,NA,2.25527250510331,NA,180,NA
1385,PHLDB1,NA,1.41497334797082,NA,26,NA
1386,PHPT1,2.11058971029925,NA,129,NA,NA
1387,PHYHD1,1.47712125471966,NA,30,NA,NA
1388,PI4KAP1,0.778151250383644,NA,6,NA,NA
1389,PI4KAP2,1.17609125905568,NA,15,NA,NA
1390,PI4KB,NA,2.15836249209525,NA,144,NA
1391,PIAS3,1.70757017609794,1.96378782734556,51,92,41
1392,PICK1,2.05690485133647,1.7481880270062,114,56,58
1393,PIDD1,0.778151250383644,NA,6,NA,NA
1394,PIGF,NA,1,NA,10,NA
1395,PIGL,NA,1,NA,10,NA
1396,PIGO,NA,1.41497334797082,NA,26,NA
1397,PIGQ,2.03342375548695,1.79239168949825,108,62,46
1398,PIGV,1.17609125905568,1.17609125905568,15,15,0
1399,PIH1D1,NA,1,NA,10,NA
1400,PIK3CD,1.07918124604762,NA,12,NA,NA
1401,PIM3,1.92427928606188,1.82607480270083,84,67,17
1402,PIN1,1.65321251377534,2.40993312333129,45,257,212
1403,PIP4K2C,2.14612803567824,1.91381385238372,140,82,58.0000000000001
1404,PIP4P1,NA,2.07188200730613,NA,118,NA
1405,PISD,2.48000694295715,2.49554433754645,302,313,10.9999999999999
1406,PITRM1,1.93951925261862,NA,87,NA,NA
1407,PJA1,2.45788189673399,NA,287,NA,NA
1408,PKD1,1.5910646070265,NA,39,NA,NA
1409,PKNOX2,NA,1.32221929473392,NA,21,NA
1410,PKP4,1.79934054945358,NA,63,NA,NA
1411,PLCB2,0.778151250383644,1,6,10,4
1412,PLCG1,1.07918124604762,1.91381385238372,12,82,70
1413,PLCXD1,NA,1,NA,10,NA
1414,PLD3,2.66838591669,2.73559889969818,466,544,78.0000000000001
1415,PLEKHA1,1.89209460269048,1.17609125905568,78,15,63
1416,PLEKHB1,3.12287092286444,NA,1327,NA,NA
1417,PLEKHG2,NA,1,NA,10,NA
1418,PLEKHJ1,1.07918124604762,NA,12,NA,NA
1419,PLK1,NA,2.12385164096709,NA,133,NA
1420,PLK2,2.53655844257153,3.06632592536204,344,1165,821
1421,PLK3,NA,1.91381385238372,NA,82,NA
1422,PLP1,3.55870857053317,NA,3620,NA,NA
1423,PLPP5,1.38021124171161,2.51719589794997,24,329,305
1424,PLPPR2,NA,2.76342799356294,NA,580,NA
1425,PLPPR3,1.81954393554187,NA,66,NA,NA
1426,PLRG1,NA,1.91381385238372,NA,82,NA
1427,PLSCR3,NA,2.03342375548695,NA,108,NA
1428,PLXNB1,NA,1.41497334797082,NA,26,NA
1429,PMPCA,2.37839790094814,2.5092025223311,239,323,84.0000000000001
1430,PMPCB,NA,1.7481880270062,NA,56,NA
1431,PNCK,2.54777470538782,1.88649072517248,353,77,276
1432,PNISR,2.29446622616159,1.93951925261862,197,87,110
1433,PNKD,2.61172330800734,1.55630250076729,409,36,373
1434,PNMA3,2.47567118832443,1.61278385671974,299,41,258
1435,PODXL2,2.78103693862113,3.21272015441784,604,1632,1028
1436,POGLUT1,1.38021124171161,NA,24,NA,NA
1437,POGLUT2,NA,1.55630250076729,NA,36,NA
1438,POGZ,NA,1.79239168949825,NA,62,NA
1439,POLD2,NA,2.65513843481138,NA,452,NA
1440,POLI,NA,1.55630250076729,NA,36,NA
1441,POLL,1.07918124604762,NA,12,NA,NA
1442,POLR1C,1.25527250510331,2.01283722470517,18,103,85
1443,POLR2A,0.778151250383644,1,6,10,4
1444,POLR2I,1.92427928606188,NA,84,NA,NA
1445,POLR2J,1.81954393554187,1.41497334797082,66,26,40
1446,POLR3F,NA,2.14301480025409,NA,139,NA
1447,POLR3GL,1.5910646070265,NA,39,NA,NA
1448,POLRMT,2.19865708695442,2.14301480025409,158,139,19
1449,POMGNT1,2.40483371661994,2.60205999132796,254,400,146
1450,POMT1,1.68124123737559,1.79239168949825,48,62,14
1451,POP5,NA,1.82607480270083,NA,67,NA
1452,POR,NA,2.42651126136458,NA,267,NA
1453,PORCN,1.8750612633917,NA,75,NA,NA
1454,POU2F2,NA,1,NA,10,NA
1455,PPFIA3,2.02118929906994,NA,105,NA,NA
1456,PPIE,NA,1.41497334797082,NA,26,NA
1457,PPIG,NA,1.49136169383427,NA,31,NA
1458,PPIL2,NA,1.7481880270062,NA,56,NA
1459,PPM1G,NA,2.46686762035411,NA,293,NA
1460,PPM1J,NA,1.70757017609794,NA,51,NA
1461,PPM1K,NA,1.93951925261862,NA,87,NA
1462,PPP1CA,2.4345689040342,2.44247976906445,272,277,5.00000000000006
