"","associated_gene","Human_Detected_LogTPM_Isoseq","Human","Mouse_Detected_LogTPM_Isoseq","Mouse"
"233","4933439C10RIK",NA,NA,1.01292028332377,"Mouse"
"234","5031439G07RIK",NA,NA,1.57222829423078,"Mouse"
"235","5033417F24RIK",NA,NA,0.109830296331826,"Mouse"
"236","5330411J11RIK",NA,NA,0.109830296331826,"Mouse"
"237","5330413P13RIK",NA,NA,0.109830296331826,"Mouse"
"238","5330417C22RIK",NA,NA,0.586951551051488,"Mouse"
"239","5330434G04RIK",NA,NA,0.507770305003864,"Mouse"
"240","5330438D12RIK",NA,NA,0.76304281010717,"Mouse"
"241","5430405H02RIK",NA,NA,0.85019298582607,"Mouse"
"242","5430416N02RIK",NA,NA,0.507770305003864,"Mouse"
"243","5530601H04RIK",NA,NA,0.85019298582607,"Mouse"
"244","5730409E04RIK",NA,NA,0.109830296331826,"Mouse"
"245","5730455P16RIK",NA,NA,0.984891559723526,"Mouse"
"246","5730480H06RIK",NA,NA,0.711890287659788,"Mouse"
"247","5730507C01RIK_GM46313",NA,NA,0.85019298582607,"Mouse"
"248","5730522E02RIK",NA,NA,0.109830296331826,"Mouse"
"249","5830417I10RIK",NA,NA,0.285921555387507,"Mouse"
"250","5930403N24RIK",NA,NA,0.109830296331826,"Mouse"
"251","5930412G12RIK",NA,NA,0.410860291995807,"Mouse"
"252","5930430L01RIK",NA,NA,0.109830296331826,"Mouse"
"253","6030443J06RIK",NA,NA,0.109830296331826,"Mouse"
"254","6030458C11RIK",NA,NA,1.72787839304392,"Mouse"
"255","6230400D17RIK",NA,NA,0.410860291995807,"Mouse"
"256","6330403K07RIK",NA,NA,0.109830296331826,"Mouse"
"257","6330409D20RIK",NA,NA,0.285921555387507,"Mouse"
"258","6330418K02RIK",NA,NA,0.653898340682102,"Mouse"
"259","6430548M08RIK",NA,NA,2.33254676747941,"Mouse"
"260","6430571L13RIK",NA,NA,0.109830296331826,"Mouse"
"261","6430584L05RIK",NA,NA,0.109830296331826,"Mouse"
"262","6430590A07RIK",NA,NA,0.653898340682102,"Mouse"
"263","6720427I07RIK",NA,NA,0.109830296331826,"Mouse"
"264","6720489N17RIK",NA,NA,0.109830296331826,"Mouse"
"265","6820408C15RIK",NA,NA,0.109830296331826,"Mouse"
"266","6820431F20RIK",NA,NA,0.109830296331826,"Mouse"
"267","8030453O22RIK",NA,NA,0.76304281010717,"Mouse"
"268","8030462N17RIK",NA,NA,1.30016199450212,"Mouse"
"269","8430429K09RIK",NA,NA,0.109830296331826,"Mouse"
"270","9030025P20RIK",NA,NA,0.922743652974682,"Mouse"
"271","9030407P20RIK",NA,NA,0.85019298582607,"Mouse"
"272","9130019O22RIK",NA,NA,0.410860291995807,"Mouse"
"273","9130024F11RIK",NA,NA,1.15122298149005,"Mouse"
"274","9130213A22RIK",NA,NA,0.922743652974682,"Mouse"
"275","9130221H12RIK_ZFP526",NA,NA,1.13101959540176,"Mouse"
"276","9130401M01RIK",NA,NA,1.9126040216238,"Mouse"
"277","9230112E08RIK_ARFGAP1",NA,NA,0.109830296331826,"Mouse"
"278","9230114K14RIK",NA,NA,0.653898340682102,"Mouse"
"279","9330102E08RIK",NA,NA,0.586951551051488,"Mouse"
"280","9330104G04RIK",NA,NA,0.285921555387507,"Mouse"
"281","9330151L19RIK",NA,NA,1.51637047676578,"Mouse"
"282","9330159F19RIK",NA,NA,0.109830296331826,"Mouse"
"283","9330161L09RIK_DDX24",NA,NA,0.109830296331826,"Mouse"
"284","9330162012RIK",NA,NA,0.507770305003864,"Mouse"
"285","9330179D12RIK",NA,NA,0.88798154671547,"Mouse"
"286","9330182L06RIK",NA,NA,1.24016406482683,"Mouse"
"287","9430015G10RIK",NA,NA,1.01292028332377,"Mouse"
"288","9430021M05RIK",NA,NA,0.653898340682102,"Mouse"
"289","9430038I01RIK",NA,NA,0.586951551051488,"Mouse"
"290","9430085M18RIK",NA,NA,0.109830296331826,"Mouse"
"291","9430091E24RIK",NA,NA,0.109830296331826,"Mouse"
"292","9530059O14RIK",NA,NA,0.808800300667845,"Mouse"
"293","9530068E07RIK",NA,NA,2.44226875624743,"Mouse"
"294","9530077C05RIK",NA,NA,1.20674030933988,"Mouse"
"295","9530080O11RIK",NA,NA,0.586951551051488,"Mouse"
"296","9530082P21RIK",NA,NA,0.109830296331826,"Mouse"
"297","9630028B13RIK",NA,NA,0.410860291995807,"Mouse"
"298","9930012K11RIK",NA,NA,0.410860291995807,"Mouse"
"299","9930014A18RIK",NA,NA,0.285921555387507,"Mouse"
"300","9930021J03RIK",NA,NA,1.20674030933988,"Mouse"
"301","9930104L06RIK",NA,NA,1.17052813668544,"Mouse"
"302","9930111J21RIK1",NA,NA,0.109830296331826,"Mouse"
"303","9930111J21RIK2",NA,NA,0.109830296331826,"Mouse"
"304","A030001D20RIK",NA,NA,1.17052813668544,"Mouse"
"305","A130010J15RIK",NA,NA,0.711890287659788,"Mouse"
"306","A1BG",0.586430352952502,"Human",NA,NA
"307","A230050P20RIK",NA,NA,1.97611763541602,"Mouse"
"308","A230051N06RIK",NA,NA,0.285921555387507,"Mouse"
"309","A230072C01RIK",NA,NA,1.28592155538751,"Mouse"
"310","A230083G16RIK",NA,NA,0.109830296331826,"Mouse"
"311","A230083G16RIK_MLF2",NA,NA,0.85019298582607,"Mouse"
"312","A230103J11RIK",NA,NA,0.76304281010717,"Mouse"
"313","A230107N01RIK",NA,NA,0.109830296331826,"Mouse"
"314","A2M",0.887460348616483,"Human",NA,NA
"315","A2ML1",NA,NA,1.6476493914051,"Mouse"
"316","A330008L17RIK",NA,NA,0.285921555387507,"Mouse"
"317","A330009N23RIK",NA,NA,1.30016199450212,"Mouse"
"318","A330035P11RIK",NA,NA,0.109830296331826,"Mouse"
"319","A330041J22RIK",NA,NA,0.285921555387507,"Mouse"
"320","A330048O09RIK",NA,NA,0.285921555387507,"Mouse"
"321","A330049N07RIK",NA,NA,0.109830296331826,"Mouse"
"322","A330069K06RIK",NA,NA,0.109830296331826,"Mouse"
"323","A330070K13RIK",NA,NA,0.285921555387507,"Mouse"
"324","A330074K22RIK",NA,NA,0.109830296331826,"Mouse"
"325","A330076H08RIK",NA,NA,0.85019298582607,"Mouse"
"326","A430005L14RIK",NA,NA,1.95181510092194,"Mouse"
"327","A430018G15RIK",NA,NA,0.507770305003864,"Mouse"
"328","A430027H14RIK",NA,NA,0.109830296331826,"Mouse"
"329","A430046D13RIK",NA,NA,0.410860291995807,"Mouse"
"330","A430057M04RIK",NA,NA,0.109830296331826,"Mouse"
"331","A430073D23RIK",NA,NA,0.285921555387507,"Mouse"
"332","A4GALT",0.586430352952502,"Human",0.808800300667845,"Mouse"
"333","A730017L22RIK",NA,NA,0.653898340682102,"Mouse"
