"","associated_gene","Human","Human_Detected_Num_Isoseq","Human_Known_Num_Gencode","Human_Normalised","Mouse","Mouse_Detected_Num_Isoseq","Mouse_Known_Num_Gencode","Mouse_Normalised","Detected","isoseq_comparison_HumanvsMouse","isoseq_comparison_MousevsHuman","isoseq_comparison_normalisedHumanvsMouse","isoseq_comparison_normalisedMousevsHuman","isoseq_comparison_diff"
"2621","ABI2","Human",3,24,0.125,"Mouse",11,12,0.916666666666667,"Both",0.272727272727273,3.66666666666667,0.136363636363636,7.33333333333333,8
"2624","ABITRAM","Human",2,4,0.5,"Mouse",3,4,0.75,"Both",0.666666666666667,1.5,0.666666666666667,1.5,1
"2626","ABL1","Human",2,3,0.666666666666667,"Mouse",4,10,0.4,"Both",0.5,2,1.66666666666667,0.6,2
"2627","ABL2","Human",1,15,0.0666666666666667,"Mouse",1,4,0.25,"Both",1,1,0.266666666666667,3.75,0
"2628","ABLIM1","Human",1,17,0.0588235294117647,"Mouse",1,21,0.0476190476190476,"Both",1,1,1.23529411764706,0.80952380952381,0
"2629","ABLIM2","Human",7,15,0.466666666666667,"Mouse",22,17,1.29411764705882,"Both",0.318181818181818,3.14285714285714,0.360606060606061,2.77310924369748,15
"2630","ABLIM3","Human",1,12,0.0833333333333333,"Mouse",2,2,1,"Both",0.5,2,0.0833333333333333,12,1
"2632","ABR","Human",1,36,0.0277777777777778,"Mouse",15,13,1.15384615384615,"Both",0.0666666666666667,15,0.0240740740740741,41.5384615384615,14
"2634","ABRACL","Human",1,2,0.5,"Mouse",2,5,0.4,"Both",0.5,2,1.25,0.8,1
"2636","ABRAXAS2","Human",1,1,1,"Mouse",2,8,0.25,"Both",0.5,2,4,0.25,1
"2637","ABT1","Human",2,1,2,"Mouse",1,1,1,"Both",2,0.5,2,0.5,1
"2639","ABTB1","Human",11,15,0.733333333333333,"Mouse",5,12,0.416666666666667,"Both",2.2,0.454545454545455,1.76,0.568181818181818,6
"2640","ABTB2","Human",1,2,0.5,"Mouse",1,3,0.333333333333333,"Both",1,1,1.5,0.666666666666667,0
"17246","ACAA1","Human",6,20,0.3,"Mouse",9,10,0.9,"Both",0.666666666666667,1.5,0.333333333333333,3,3
"17248","ACAA2","Human",2,7,0.285714285714286,"Mouse",1,2,0.5,"Both",2,0.5,0.571428571428571,1.75,1
"17249","ACACA","Human",1,23,0.0434782608695652,"Mouse",2,9,0.222222222222222,"Both",0.5,2,0.195652173913043,5.11111111111111,1
"17250","ACACB","Human",1,15,0.0666666666666667,"Mouse",2,5,0.4,"Both",0.5,2,0.166666666666667,6,1
"17252","ACAD11","Human",4,10,0.4,"Mouse",2,8,0.25,"Both",2,0.5,1.6,0.625,2
"17254","ACAD8","Human",3,17,0.176470588235294,"Mouse",3,8,0.375,"Both",1,1,0.470588235294118,2.125,0
"17255","ACAD9","Human",2,12,0.166666666666667,"Mouse",1,10,0.1,"Both",2,0.5,1.66666666666667,0.6,1
"17257","ACADM","Human",6,18,0.333333333333333,"Mouse",2,10,0.2,"Both",3,0.333333333333333,1.66666666666667,0.6,4
"17258","ACADS","Human",2,3,0.666666666666667,"Mouse",1,4,0.25,"Both",2,0.5,2.66666666666667,0.375,1
"17259","ACADSB","Human",3,4,0.75,"Mouse",2,7,0.285714285714286,"Both",1.5,0.666666666666667,2.625,0.380952380952381,1
"17260","ACADVL","Human",23,39,0.58974358974359,"Mouse",6,7,0.857142857142857,"Both",3.83333333333333,0.260869565217391,0.688034188034188,1.45341614906832,17
"17263","ACAP2","Human",1,16,0.0625,"Mouse",7,6,1.16666666666667,"Both",0.142857142857143,7,0.0535714285714286,18.6666666666667,6
"17265","ACAP3","Human",13,13,1,"Mouse",11,9,1.22222222222222,"Both",1.18181818181818,0.846153846153846,0.818181818181818,1.22222222222222,2
"17266","ACAT1","Human",4,12,0.333333333333333,"Mouse",1,3,0.333333333333333,"Both",4,0.25,1,1,3
"17267","ACAT2","Human",4,3,1.33333333333333,"Mouse",3,4,0.75,"Both",1.33333333333333,0.75,1.77777777777778,0.5625,1
"17269","ACBD3","Human",1,2,0.5,"Mouse",1,2,0.5,"Both",1,1,1,1,0
"17271","ACBD4","Human",2,16,0.125,"Mouse",12,16,0.75,"Both",0.166666666666667,6,0.166666666666667,6,10
"17272","ACBD5","Human",5,8,0.625,"Mouse",11,18,0.611111111111111,"Both",0.454545454545455,2.2,1.02272727272727,0.977777777777778,6
"17273","ACBD6","Human",1,8,0.125,"Mouse",3,6,0.5,"Both",0.333333333333333,3,0.25,4,2
"17277","ACD","Human",7,15,0.466666666666667,"Mouse",11,5,2.2,"Both",0.636363636363636,1.57142857142857,0.212121212121212,4.71428571428571,4
"17278","ACE","Human",1,22,0.0454545454545455,"Mouse",2,4,0.5,"Both",0.5,2,0.0909090909090909,11,1
"17284","ACHE","Human",3,14,0.214285714285714,"Mouse",4,9,0.444444444444444,"Both",0.75,1.33333333333333,0.482142857142857,2.07407407407407,1
"17285","ACIN1","Human",12,23,0.521739130434783,"Mouse",12,26,0.461538461538462,"Both",1,1,1.1304347826087,0.884615384615385,0
"17286","ACKR1","Human",1,4,0.25,"Mouse",1,3,0.333333333333333,"Both",1,1,0.75,1.33333333333333,0
"17288","ACKR3","Human",1,2,0.5,"Mouse",1,2,0.5,"Both",1,1,1,1,0
"17290","ACLY","Human",3,10,0.3,"Mouse",4,7,0.571428571428571,"Both",0.75,1.33333333333333,0.525,1.9047619047619,1
"17295","ACO1","Human",2,3,0.666666666666667,"Mouse",1,4,0.25,"Both",2,0.5,2.66666666666667,0.375,1
"17296","ACO2","Human",9,7,1.28571428571429,"Mouse",9,9,1,"Both",1,1,1.28571428571429,0.777777777777778,0
"17298","ACOT1","Human",1,2,0.5,"Mouse",1,4,0.25,"Both",1,1,2,0.5,0
"17300","ACOT11","Human",1,5,0.2,"Mouse",2,7,0.285714285714286,"Both",0.5,2,0.7,1.42857142857143,1
"17302","ACOT13","Human",1,3,0.333333333333333,"Mouse",5,2,2.5,"Both",0.2,5,0.133333333333333,7.5,4
"17303","ACOT2","Human",2,5,0.4,"Mouse",1,1,1,"Both",2,0.5,0.4,2.5,1
"17308","ACOT7","Human",3,10,0.3,"Mouse",5,6,0.833333333333333,"Both",0.6,1.66666666666667,0.36,2.77777777777778,2
"17309","ACOT8","Human",3,13,0.230769230769231,"Mouse",3,5,0.6,"Both",1,1,0.384615384615385,2.6,0
"17310","ACOT9","Human",1,8,0.125,"Mouse",2,4,0.5,"Both",0.5,2,0.25,4,1
"17311","ACOX1","Human",1,13,0.0769230769230769,"Mouse",5,7,0.714285714285714,"Both",0.2,5,0.107692307692308,9.28571428571428,4
"17313","ACOX3","Human",3,8,0.375,"Mouse",6,10,0.6,"Both",0.5,2,0.625,1.6,3
"17316","ACP1","Human",4,13,0.307692307692308,"Mouse",2,6,0.333333333333333,"Both",2,0.5,0.923076923076923,1.08333333333333,2
"17317","ACP2","Human",2,4,0.5,"Mouse",2,5,0.4,"Both",1,1,1.25,0.8,0
"17320","ACP6","Human",2,10,0.2,"Mouse",4,9,0.444444444444444,"Both",0.5,2,0.45,2.22222222222222,2
"17326","ACSBG1","Human",1,14,0.0714285714285714,"Mouse",4,5,0.8,"Both",0.25,4,0.0892857142857143,11.2,3
"17328","ACSF2","Human",1,25,0.04,"Mouse",3,4,0.75,"Both",0.333333333333333,3,0.0533333333333333,18.75,2
"17329","ACSF3","Human",3,19,0.157894736842105,"Mouse",2,4,0.5,"Both",1.5,0.666666666666667,0.315789473684211,3.16666666666667,1
"17330","ACSL1","Human",3,12,0.25,"Mouse",5,11,0.454545454545455,"Both",0.6,1.66666666666667,0.55,1.81818181818182,2
"17331","ACSL3","Human",3,11,0.272727272727273,"Mouse",5,7,0.714285714285714,"Both",0.6,1.66666666666667,0.381818181818182,2.61904761904762,2
"17332","ACSL4","Human",3,12,0.25,"Mouse",2,5,0.4,"Both",1.5,0.666666666666667,0.625,1.6,1
"17334","ACSL6","Human",2,34,0.0588235294117647,"Mouse",15,15,1,"Both",0.133333333333333,7.5,0.0588235294117647,17,13
"17343","ACSS1","Human",2,5,0.4,"Mouse",5,5,1,"Both",0.4,2.5,0.4,2.5,3
"17344","ACSS2","Human",1,24,0.0416666666666667,"Mouse",3,10,0.3,"Both",0.333333333333333,3,0.138888888888889,7.2,2
"17347","ACTA1","Human",1,2,0.5,"Mouse",2,2,1,"Both",0.5,2,0.5,2,1
"17348","ACTA2","Human",1,6,0.166666666666667,"Mouse",1,2,0.5,"Both",1,1,0.333333333333333,3,0
"17351","ACTB","Human",10,18,0.555555555555556,"Mouse",2,9,0.222222222222222,"Both",5,0.2,2.5,0.4,8
"17366","ACTG1","Human",7,16,0.4375,"Mouse",2,9,0.222222222222222,"Both",3.5,0.285714285714286,1.96875,0.507936507936508,5
"17390","ACTL6A","Human",1,14,0.0714285714285714,"Mouse",2,8,0.25,"Both",0.5,2,0.285714285714286,3.5,1
"17391","ACTL6B","Human",4,6,0.666666666666667,"Mouse",11,9,1.22222222222222,"Both",0.363636363636364,2.75,0.545454545454545,1.83333333333333,7
"17396","ACTN1","Human",7,21,0.333333333333333,"Mouse",7,7,1,"Both",1,1,0.333333333333333,3,0
"17398","ACTN2","Human",6,13,0.461538461538462,"Mouse",2,5,0.4,"Both",3,0.333333333333333,1.15384615384615,0.866666666666667,4
"17400","ACTN4","Human",1,11,0.0909090909090909,"Mouse",6,11,0.545454545454545,"Both",0.166666666666667,6,0.166666666666667,6,5
"17404","ACTR10","Human",1,16,0.0625,"Mouse",1,8,0.125,"Both",1,1,0.5,2,0
"17405","ACTR1A","Human",4,7,0.571428571428571,"Mouse",3,7,0.428571428571429,"Both",1.33333333333333,0.75,1.33333333333333,0.75,1
"17406","ACTR1B","Human",6,3,2,"Mouse",10,7,1.42857142857143,"Both",0.6,1.66666666666667,1.4,0.714285714285714,4
"17407","ACTR2","Human",2,5,0.4,"Mouse",10,3,3.33333333333333,"Both",0.2,5,0.12,8.33333333333333,8
"17408","ACTR3","Human",1,8,0.125,"Mouse",2,12,0.166666666666667,"Both",0.5,2,0.75,1.33333333333333,1
"17409","ACTR3B","Human",5,5,1,"Mouse",8,3,2.66666666666667,"Both",0.625,1.6,0.375,2.66666666666667,3
"17419","ACTR5","Human",3,1,3,"Mouse",3,5,0.6,"Both",1,1,5,0.2,0
"17420","ACTR6","Human",2,13,0.153846153846154,"Mouse",5,6,0.833333333333333,"Both",0.4,2.5,0.184615384615385,5.41666666666667,3
"17422","ACTR8","Human",1,6,0.166666666666667,"Mouse",5,9,0.555555555555556,"Both",0.2,5,0.3,3.33333333333333,4
"17426","ACVR1","Human",2,10,0.2,"Mouse",1,6,0.166666666666667,"Both",2,0.5,1.2,0.833333333333333,1
"17427","ACVR1B","Human",1,7,0.142857142857143,"Mouse",3,1,3,"Both",0.333333333333333,3,0.0476190476190476,21,2
"17428","ACVR1C","Human",1,4,0.25,"Mouse",2,5,0.4,"Both",0.5,2,0.625,1.6,1
"17429","ACVR2A","Human",1,7,0.142857142857143,"Mouse",4,2,2,"Both",0.25,4,0.0714285714285714,14,3
"17430","ACVR2B","Human",1,3,0.333333333333333,"Mouse",2,6,0.333333333333333,"Both",0.5,2,1,1,1
"17433","ACY1","Human",1,29,0.0344827586206897,"Mouse",2,12,0.166666666666667,"Both",0.5,2,0.206896551724138,4.83333333333333,1
"17435","ACYP1","Human",1,6,0.166666666666667,"Mouse",2,4,0.5,"Both",0.5,2,0.333333333333333,3,1
"17436","ACYP2","Human",3,9,0.333333333333333,"Mouse",2,1,2,"Both",1.5,0.666666666666667,0.166666666666667,6,1
"17447","ADA","Human",3,9,0.333333333333333,"Mouse",1,2,0.5,"Both",3,0.333333333333333,0.666666666666667,1.5,2
"17453","ADAM10","Human",3,17,0.176470588235294,"Mouse",5,4,1.25,"Both",0.6,1.66666666666667,0.141176470588235,7.08333333333333,2
"17454","ADAM11","Human",3,5,0.6,"Mouse",8,9,0.888888888888889,"Both",0.375,2.66666666666667,0.675,1.48148148148148,5
"17456","ADAM15","Human",4,32,0.125,"Mouse",9,13,0.692307692307692,"Both",0.444444444444444,2.25,0.180555555555556,5.53846153846154,5
"17457","ADAM17","Human",2,16,0.125,"Mouse",1,10,0.1,"Both",2,0.5,1.25,0.8,1
"17470","ADAM23","Human",1,3,0.333333333333333,"Mouse",3,12,0.25,"Both",0.333333333333333,3,1.33333333333333,0.75,2
"17493","ADAM9","Human",1,9,0.111111111111111,"Mouse",1,5,0.2,"Both",1,1,0.555555555555555,1.8,0
"17496","ADAMTS10","Human",9,14,0.642857142857143,"Mouse",4,15,0.266666666666667,"Both",2.25,0.444444444444444,2.41071428571429,0.414814814814815,5
"17498","ADAMTS13","Human",1,9,0.111111111111111,"Mouse",1,3,0.333333333333333,"Both",1,1,0.333333333333333,3,0
"17509","ADAMTS4","Human",1,3,0.333333333333333,"Mouse",1,3,0.333333333333333,"Both",1,1,1,1,0
"17510","ADAMTS5","Human",1,2,0.5,"Mouse",1,1,1,"Both",1,1,0.5,2,0
"17516","ADAMTS8","Human",1,2,0.5,"Mouse",1,2,0.5,"Both",1,1,1,1,0
"17527","ADAP1","Human",3,19,0.157894736842105,"Mouse",5,6,0.833333333333333,"Both",0.6,1.66666666666667,0.189473684210526,5.27777777777778,2
"17530","ADAR","Human",6,21,0.285714285714286,"Mouse",5,9,0.555555555555556,"Both",1.2,0.833333333333333,0.514285714285714,1.94444444444444,1
"17531","ADARB1","Human",1,15,0.0666666666666667,"Mouse",10,13,0.769230769230769,"Both",0.1,10,0.0866666666666667,11.5384615384615,9
"17532","ADARB2","Human",1,7,0.142857142857143,"Mouse",2,6,0.333333333333333,"Both",0.5,2,0.428571428571429,2.33333333333333,1
"17534","ADAT1","Human",3,10,0.3,"Mouse",1,3,0.333333333333333,"Both",3,0.333333333333333,0.9,1.11111111111111,2
"17535","ADAT2","Human",1,3,0.333333333333333,"Mouse",1,1,1,"Both",1,1,0.333333333333333,3,0
"17536","ADAT3","Human",1,2,0.5,"Mouse",1,3,0.333333333333333,"Both",1,1,1.5,0.666666666666667,0
"17537","ADCK1","Human",1,8,0.125,"Mouse",11,5,2.2,"Both",0.0909090909090909,11,0.0568181818181818,17.6,10
"17538","ADCK2","Human",1,5,0.2,"Mouse",5,6,0.833333333333333,"Both",0.2,5,0.24,4.16666666666667,4
"17539","ADCK5","Human",6,8,0.75,"Mouse",2,15,0.133333333333333,"Both",3,0.333333333333333,5.625,0.177777777777778,4
"17543","ADCY2","Human",6,8,0.75,"Mouse",3,1,3,"Both",2,0.5,0.25,4,3
"17544","ADCY3","Human",2,13,0.153846153846154,"Mouse",3,8,0.375,"Both",0.666666666666667,1.5,0.41025641025641,2.4375,1
"17546","ADCY5","Human",2,10,0.2,"Mouse",4,2,2,"Both",0.5,2,0.1,10,2
"17547","ADCY6","Human",1,9,0.111111111111111,"Mouse",1,7,0.142857142857143,"Both",1,1,0.777777777777778,1.28571428571429,0
"17548","ADCY7","Human",1,15,0.0666666666666667,"Mouse",1,6,0.166666666666667,"Both",1,1,0.4,2.5,0
"17549","ADCY8","Human",3,3,1,"Mouse",6,3,2,"Both",0.5,2,0.5,2,3
"17551","ADCYAP1","Human",3,4,0.75,"Mouse",2,5,0.4,"Both",1.5,0.666666666666667,1.875,0.533333333333333,1
"17552","ADCYAP1R1","Human",1,7,0.142857142857143,"Mouse",5,8,0.625,"Both",0.2,5,0.228571428571429,4.375,4
"17553","ADD1","Human",14,29,0.482758620689655,"Mouse",23,15,1.53333333333333,"Both",0.608695652173913,1.64285714285714,0.314842578710645,3.17619047619048,9
"17554","ADD2","Human",2,14,0.142857142857143,"Mouse",2,10,0.2,"Both",1,1,0.714285714285714,1.4,0
"17555","ADD3","Human",8,20,0.4,"Mouse",9,16,0.5625,"Both",0.888888888888889,1.125,0.711111111111111,1.40625,1
"17558","ADGRA1","Human",1,3,0.333333333333333,"Mouse",4,3,1.33333333333333,"Both",0.25,4,0.25,4,3
"17561","ADGRA3","Human",1,13,0.0769230769230769,"Mouse",2,7,0.285714285714286,"Both",0.5,2,0.269230769230769,3.71428571428571,1
"17562","ADGRB1","Human",8,6,1.33333333333333,"Mouse",21,12,1.75,"Both",0.380952380952381,2.625,0.761904761904762,1.3125,13
"17563","ADGRB2","Human",7,15,0.466666666666667,"Mouse",8,13,0.615384615384615,"Both",0.875,1.14285714285714,0.758333333333333,1.31868131868132,1
"17564","ADGRB3","Human",5,5,1,"Mouse",7,11,0.636363636363636,"Both",0.714285714285714,1.4,1.57142857142857,0.636363636363636,2
"17574","ADGRE5","Human",1,16,0.0625,"Mouse",4,8,0.5,"Both",0.25,4,0.125,8,3
"17582","ADGRG1","Human",10,77,0.12987012987013,"Mouse",11,16,0.6875,"Both",0.909090909090909,1.1,0.188902007083825,5.29375,1
