"","associated_gene","Human (Adult)_Detected_LogTPM_Isoseq","Human (Adult)","Human (Fetal)_Detected_LogTPM_Isoseq","Human (Fetal)"
"129","AC010605.1",1.73079459532793,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"130","AC010618.1",1.51691477538285,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"131","AC010642.2",1.37861207721656,"Human (Adult)",NA,NA
"132","AC010729.1",NA,NA,1.01141651999805,"Human (Fetal)"
"133","AC010913.1",0.776552085888602,"Human (Adult)",NA,NA
"134","AC010931.2",NA,NA,1.40935652867009,"Human (Fetal)"
"135","AC011330.3",0.776552085888602,"Human (Adult)",NA,NA
"136","AC011346.1",NA,NA,1.01141651999805,"Human (Fetal)"
"137","AC011445.1",1.83724992624221,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"138","AC011474.2",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"139","AC011487.1",NA,NA,1.01141651999805,"Human (Fetal)"
"140","AC011509.3",NA,NA,1.01141651999805,"Human (Fetal)"
"141","AC011511.1",1.07758208155258,"Human (Adult)",2.10832653300611,"Human (Fetal)"
"142","AC012146.1",1.17449209456064,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"143","AC012213.4_AC012213.1",0.776552085888602,"Human (Adult)",NA,NA
"144","AC012645.1",NA,NA,1.01141651999805,"Human (Fetal)"
"145","AC013727.1",NA,NA,1.18750777905373,"Human (Fetal)"
"146","AC015712.2",0.952643344944283,"Human (Adult)",NA,NA
"147","AC015813.2",0.776552085888602,"Human (Adult)",NA,NA
"148","AC016582.3",NA,NA,1.01141651999805,"Human (Fetal)"
"149","AC016586.1",1.17449209456064,"Human (Adult)",2.07211436035166,"Human (Fetal)"
"150","AC017053.1",NA,NA,1.31244651566203,"Human (Fetal)"
"151","AC018637.1",0.776552085888602,"Human (Adult)",NA,NA
"152","AC018755.3",0.776552085888602,"Human (Adult)",NA,NA
"153","AC019205.1",NA,NA,1.40935652867009,"Human (Fetal)"
"154","AC020907.2",0.776552085888602,"Human (Adult)",NA,NA
"155","AC020909.1",0.952643344944283,"Human (Adult)",NA,NA
"156","AC021087.5",0.952643344944283,"Human (Adult)",NA,NA
"157","AC021092.1",NA,NA,1.55548456434833,"Human (Fetal)"
"158","AC022007.1",0.776552085888602,"Human (Adult)",NA,NA
"159","AC022007.1_EMC3",1.17449209456064,"Human (Adult)",NA,NA
"160","AC022098.1",0.776552085888602,"Human (Adult)",NA,NA
"161","AC022137.3",NA,NA,1.7517792094923,"Human (Fetal)"
"162","AC022167.2_PMM2",NA,NA,1.01141651999805,"Human (Fetal)"
"163","AC022966.1",1.42976459966395,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"164","AC025159.1",0.776552085888602,"Human (Adult)",NA,NA
