"","associated_gene","Human (Adult)_Detected_LogTPM_Isoseq","Human (Adult)","Human (Fetal)_Detected_LogTPM_Isoseq","Human (Fetal)"
"7163","PDRG1",1.67964207288055,"Human (Adult)",2.09059776604568,"Human (Fetal)"
"7164","PDS5A",1.42976459966395,"Human (Adult)",1.96565902943738,"Human (Fetal)"
"7165","PDS5B",0.952643344944283,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7166","PDSS1",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7167","PDXDC1",0.776552085888602,"Human (Adult)",NA,NA
"7168","PDXK",1.25367334060826,"Human (Adult)",1.61347651132602,"Human (Fetal)"
"7169","PDXP",2.69563017826468,"Human (Adult)",NA,NA
"7170","PDYN",NA,NA,1.6646290337734,"Human (Fetal)"
"7171","PDZD11",1.25367334060826,"Human (Adult)",NA,NA
"7172","PDZD2",0.952643344944283,"Human (Adult)",NA,NA
"7173","PDZD4",1.25367334060826,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"7174","PDZD7",1.55470333627225,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"7175","PDZD8",1.17449209456064,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"7176","PDZRN3",1.75427569117745,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7177","PDZRN4",0.776552085888602,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"7178","PEA15",2.95552903318177,"Human (Adult)",3.61020702676117,"Human (Fetal)"
"7179","PEBP1",3.17967260706442,"Human (Adult)",2.87473938011851,"Human (Fetal)"
"7180","PECAM1",0.952643344944283,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7181","PECR",0.776552085888602,"Human (Adult)",NA,NA
"7182","PEF1",2.44864994382432,"Human (Adult)",1.85651456001231,"Human (Fetal)"
"7183","PEG10",1.17449209456064,"Human (Adult)",2.20174821816834,"Human (Fetal)"
"7184","PEG3",1.42976459966395,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"7185","PELI1",1.07758208155258,"Human (Adult)",2.5364613270349,"Human (Fetal)"
"7186","PELI3",1.81794477104683,"Human (Adult)",NA,NA
"7187","PELO",0.952643344944283,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"7188","PELP1",1.17449209456064,"Human (Adult)",2.42638986796887,"Human (Fetal)"
"7189","PEMT",1.07758208155258,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"7190","PENK",1.37861207721656,"Human (Adult)",2.09059776604568,"Human (Fetal)"
"7191","PEPD",2.41002054146819,"Human (Adult)",2.25445456868435,"Human (Fetal)"
"7192","PER3",1.25367334060826,"Human (Adult)",NA,NA
"7193","PERP",0.952643344944283,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"7194","PES1",2.17449209456064,"Human (Adult)",2.32317038105381,"Human (Fetal)"
"7195","PET100",2.08830594694436,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7196","PET117",1.17449209456064,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7197","PEX1",0.952643344944283,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"7198","PEX10",1.07758208155258,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"7199","PEX11A",1.32062013023888,"Human (Adult)",NA,NA
"7200","PEX11B",2.22371011723082,"Human (Adult)",2.18750777905373,"Human (Fetal)"
"7201","PEX11G",0.776552085888602,"Human (Adult)",NA,NA
"7202","PEX12",1.17449209456064,"Human (Adult)",1.6646290337734,"Human (Fetal)"
"7203","PEX13",0.776552085888602,"Human (Adult)",NA,NA
"7204","PEX14",1.87346209889666,"Human (Adult)",1.7517792094923,"Human (Fetal)"
"7205","PEX16",1.95264334494428,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"7206","PEX19",1.67964207288055,"Human (Adult)",1.7517792094923,"Human (Fetal)"
"7207","PEX2",1.07758208155258,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7208","PEX3",0.776552085888602,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"7209","PEX5",1.47552209022462,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"7210","PEX5L",1.07758208155258,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7211","PEX6",1.32062013023888,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"7212","PEX7",1.07758208155258,"Human (Adult)",NA,NA
"7213","PFAS",0.952643344944283,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"7214","PFDN1",2.30803100293086,"Human (Adult)",2.15754455567629,"Human (Fetal)"
"7215","PFDN2",1.83724992624221,"Human (Adult)",1.61347651132602,"Human (Fetal)"
"7216","PFDN4",1.58946544253146,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"7217","PFDN5",2.48412226198654,"Human (Adult)",2.07211436035166,"Human (Fetal)"
"7218","PFKFB2",1.25367334060826,"Human (Adult)",NA,NA
"7219","PFKFB3",1.81794477104683,"Human (Adult)",1.88647778338975,"Human (Fetal)"
"7220","PFKFB4",1.17449209456064,"Human (Adult)",1.61347651132602,"Human (Fetal)"
"7221","PFKL",2.67417917717904,"Human (Adult)",2.95093577261667,"Human (Fetal)"
"7222","PFKM",2.47115728482217,"Human (Adult)",2.47381451789701,"Human (Fetal)"
"7223","PFKP",2.85933745620505,"Human (Adult)",2.26668902510136,"Human (Fetal)"
"7224","PFN1",2.46674816591712,"Human (Adult)",2.45074921382832,"Human (Fetal)"
"7225","PFN2",3.19733270543717,"Human (Adult)",3.27386760972848,"Human (Fetal)"
"7226","PGAM1",3.08511649944984,"Human (Adult)",2.70602171893162,"Human (Fetal)"
"7227","PGAM2",0.952643344944283,"Human (Adult)",NA,NA
"7228","PGAM5",1.55470333627225,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7229","PGAP1",NA,NA,1.48853777471772,"Human (Fetal)"
"7230","PGAP2",0.776552085888602,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"7231","PGAP3",1.73079459532793,"Human (Adult)",2.07211436035166,"Human (Fetal)"
"7232","PGBD1",NA,NA,1.01141651999805,"Human (Fetal)"
"7233","PGBD2",0.952643344944283,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7234","PGBD5",1.17449209456064,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"7235","PGD",1.81794477104683,"Human (Adult)",2.25445456868435,"Human (Fetal)"
"7236","PGGT1B",1.17449209456064,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"7237","PGK1",1.51691477538285,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"7238","PGM1",2.30803100293086,"Human (Adult)",2.03260581906799,"Human (Fetal)"
"7239","PGM2",1.07758208155258,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"7240","PGM2L1",0.952643344944283,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"7241","PGM3",1.07758208155258,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"7242","PGP",1.83724992624221,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7243","PGP_BRICD5",NA,NA,1.18750777905373,"Human (Fetal)"
"7244","PGRMC1",2.42976459966395,"Human (Adult)",2.61887154321272,"Human (Fetal)"
"7245","PGRMC2",1.32062013023888,"Human (Adult)",1.71038652433407,"Human (Fetal)"
"7246","PGS1",1.70597101160289,"Human (Adult)",1.85651456001231,"Human (Fetal)"
"7247","PHACTR1",0.776552085888602,"Human (Adult)",NA,NA
"7248","PHACTR2",0.776552085888602,"Human (Adult)",NA,NA
"7249","PHACTR3",2.06658669725112,"Human (Adult)",2.05280920515628,"Human (Fetal)"
"7250","PHACTR4",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7251","PHAX",1.6516133492803,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"7252","PHB",1.79774138495854,"Human (Adult)",1.91450650699,"Human (Fetal)"
"7253","PHC1",1.17449209456064,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"7254","PHC2",1.96688378405889,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"7255","PHETA1",1.17449209456064,"Human (Adult)",1.6646290337734,"Human (Fetal)"
"7256","PHETA2",NA,NA,1.31244651566203,"Human (Fetal)"
"7257","PHF1",0.776552085888602,"Human (Adult)",NA,NA
"7258","PHF10",1.07758208155258,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7259","PHF12",1.17449209456064,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7260","PHF13",1.47552209022462,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"7261","PHF14",1.32062013023888,"Human (Adult)",1.7517792094923,"Human (Fetal)"
"7262","PHF19",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7263","PHF2",1.07758208155258,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7264","PHF20",2.00700100726688,"Human (Adult)",2.33363581473197,"Human (Fetal)"
"7265","PHF20L1",2.1382799219062,"Human (Adult)",2.50277821383233,"Human (Fetal)"
"7266","PHF21A",NA,NA,1.01141651999805,"Human (Fetal)"
"7267","PHF23",1.81794477104683,"Human (Adult)",2.15754455567629,"Human (Fetal)"
"7268","PHF24",1.55470333627225,"Human (Adult)",NA,NA
"7269","PHF5A",1.07758208155258,"Human (Adult)",1.7517792094923,"Human (Fetal)"
"7270","PHF6",0.952643344944283,"Human (Adult)",2.26668902510136,"Human (Fetal)"
"7271","PHF7",0.776552085888602,"Human (Adult)",NA,NA
"7272","PHGDH",2.19152543385942,"Human (Adult)",1.9891401252869,"Human (Fetal)"
"7273","PHIP",0.952643344944283,"Human (Adult)",2.25445456868435,"Human (Fetal)"
"7274","PHKA2",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7275","PHKB",0.776552085888602,"Human (Adult)",1.6646290337734,"Human (Fetal)"
"7276","PHKG1",0.952643344944283,"Human (Adult)",NA,NA
"7277","PHKG2",2.00700100726688,"Human (Adult)",1.6646290337734,"Human (Fetal)"
"7278","PHLDA1",1.07758208155258,"Human (Adult)",1.7517792094923,"Human (Fetal)"
"7279","PHLDA2",0.776552085888602,"Human (Adult)",NA,NA
"7280","PHLDA3",2.09877138062252,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"7281","PHLDB1",1.25367334060826,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"7282","PHLPP1",0.776552085888602,"Human (Adult)",NA,NA
"7283","PHPT1",2.10899054580421,"Human (Adult)",1.91450650699,"Human (Fetal)"
"7284","PHTF1",0.776552085888602,"Human (Adult)",NA,NA
"7285","PHTF2",NA,NA,1.48853777471772,"Human (Fetal)"
"7286","PHYH",1.67964207288055,"Human (Adult)",1.6646290337734,"Human (Fetal)"
"7287","PHYHD1",1.47552209022462,"Human (Adult)",NA,NA
"7288","PHYHIP",3.25942566949736,"Human (Adult)",2.05280920515628,"Human (Fetal)"
"7289","PHYHIPL",1.32062013023888,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"7290","PHYKPL",NA,NA,1.18750777905373,"Human (Fetal)"
"7291","PI16",1.25367334060826,"Human (Adult)",NA,NA
"7292","PI4K2A",1.99403603010251,"Human (Adult)",1.6646290337734,"Human (Fetal)"
"7293","PI4K2B",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7294","PI4KA",2.07758208155258,"Human (Adult)",1.6646290337734,"Human (Fetal)"
"7295","PI4KAP1",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7296","PI4KAP2",1.17449209456064,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"7297","PI4KB",1.95264334494428,"Human (Adult)",2.15754455567629,"Human (Fetal)"
"7298","PIANP",2.83345693722507,"Human (Adult)",2.61347651132602,"Human (Fetal)"
"7299","PIAS1",2.26791377972287,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"7300","PIAS2",1.42976459966395,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"7301","PIAS3",1.70597101160289,"Human (Adult)",1.96565902943738,"Human (Fetal)"
"7302","PIAS4",0.776552085888602,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"7303","PIBF1",NA,NA,1.01141651999805,"Human (Fetal)"
"7304","PICALM",1.75427569117745,"Human (Adult)",1.7517792094923,"Human (Fetal)"
"7305","PICK1",2.05530568684143,"Human (Adult)",1.7517792094923,"Human (Fetal)"
"7306","PID1",1.75427569117745,"Human (Adult)",2.43466239393486,"Human (Fetal)"
"7307","PIDD1",0.776552085888602,"Human (Adult)",NA,NA
"7308","PIEZO1",1.07758208155258,"Human (Adult)",NA,NA
"7309","PIFO",1.07758208155258,"Human (Adult)",NA,NA
"7310","PIGA",1.07758208155258,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"7311","PIGC",1.42976459966395,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"7312","PIGF",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7313","PIGG",1.07758208155258,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7314","PIGH",1.73079459532793,"Human (Adult)",1.6646290337734,"Human (Fetal)"
"7315","PIGK",1.07758208155258,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"7316","PIGL",NA,NA,1.01141651999805,"Human (Fetal)"
"7317","PIGN",NA,NA,1.18750777905373,"Human (Fetal)"
"7318","PIGO",0.776552085888602,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"7319","PIGP",1.07758208155258,"Human (Adult)",NA,NA
"7320","PIGQ",2.03182459099191,"Human (Adult)",1.7895677703817,"Human (Fetal)"
"7321","PIGS",1.98067206854453,"Human (Adult)",1.96565902943738,"Human (Fetal)"
"7322","PIGT",2.1382799219062,"Human (Adult)",2.32317038105381,"Human (Fetal)"
"7323","PIGU",1.17449209456064,"Human (Adult)",1.7895677703817,"Human (Fetal)"
"7324","PIGV",1.17449209456064,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"7325","PIGW",NA,NA,1.61347651132601,"Human (Fetal)"
"7326","PIGX",1.32062013023888,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"7327","PIGZ",1.37861207721656,"Human (Adult)",NA,NA
"7328","PIH1D1",1.7765520858886,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7329","PIK3AP1",0.776552085888602,"Human (Adult)",NA,NA
"7330","PIK3C2A",NA,NA,1.18750777905373,"Human (Fetal)"
"7331","PIK3C3",0.952643344944283,"Human (Adult)",NA,NA
"7332","PIK3CA",1.07758208155258,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"7333","PIK3CB",1.32062013023888,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"7334","PIK3CD",1.07758208155258,"Human (Adult)",NA,NA
"7335","PIK3IP1",2.18309226632256,"Human (Adult)",1.71038652433407,"Human (Fetal)"
"7336","PIK3R1",1.87346209889666,"Human (Adult)",1.6646290337734,"Human (Fetal)"
"7337","PIK3R2",2.15676332760021,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"7338","PIK3R3",1.25367334060826,"Human (Adult)",1.85651456001231,"Human (Fetal)"
"7339","PIK3R4",NA,NA,1.40935652867009,"Human (Fetal)"
"7340","PIKFYVE",NA,NA,1.01141651999805,"Human (Fetal)"
"7341","PILRA_PILRB",1.25367334060826,"Human (Adult)",NA,NA
"7342","PIM1",1.32062013023888,"Human (Adult)",1.7895677703817,"Human (Fetal)"
"7343","PIM2",2.05530568684143,"Human (Adult)",1.61347651132602,"Human (Fetal)"
"7344","PIM3",1.92268012156684,"Human (Adult)",1.82432987664091,"Human (Fetal)"
"7345","PIMREG",NA,NA,1.55548456434833,"Human (Fetal)"
"7346","PIN1",1.6516133492803,"Human (Adult)",2.40935652867009,"Human (Fetal)"
"7347","PIN4",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7348","PINK1",2.08830594694436,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"7349","PINLYP",0.776552085888602,"Human (Adult)",NA,NA
"7350","PINX1",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7351","PIP4K2A",0.776552085888602,"Human (Adult)",NA,NA
"7352","PIP4K2B",1.7765520858886,"Human (Adult)",NA,NA
"7353","PIP4K2C",2.14761994816034,"Human (Adult)",1.91450650699,"Human (Fetal)"
"7354","PIP4P1",1.98067206854453,"Human (Adult)",2.07211436035166,"Human (Fetal)"
"7355","PIP4P2",0.776552085888602,"Human (Adult)",1.7517792094923,"Human (Fetal)"
"7356","PIP5K1A",0.952643344944283,"Human (Adult)",1.7895677703817,"Human (Fetal)"
"7357","PIP5K1B",0.776552085888602,"Human (Adult)",NA,NA
"7358","PIP5K1C",2.15676332760021,"Human (Adult)",1.7895677703817,"Human (Fetal)"
"7359","PIPOX",1.47552209022462,"Human (Adult)",NA,NA
"7360","PIR",1.37861207721656,"Human (Adult)",NA,NA
"7361","PISD",2.47984346400726,"Human (Adult)",2.49571635934484,"Human (Fetal)"
"7362","PITHD1",2.47984346400726,"Human (Adult)",2.40935652867009,"Human (Fetal)"
"7363","PITPNA",2.05530568684143,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"7364","PITPNB",2.45779332326419,"Human (Adult)",2.5364613270349,"Human (Fetal)"
"7365","PITPNC1",1.17449209456064,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"7366","PITPNM1",2.25367334060826,"Human (Adult)",1.91450650699,"Human (Fetal)"
"7367","PITPNM2",0.776552085888602,"Human (Adult)",NA,NA
"7368","PITPNM3",1.37861207721656,"Human (Adult)",NA,NA
"7369","PITRM1",1.93792008812358,"Human (Adult)",1.9891401252869,"Human (Fetal)"
"7370","PJA1",2.45779332326419,"Human (Adult)",2.9891401252869,"Human (Fetal)"
"7371","PJA2",2.50490586790983,"Human (Adult)",2.80029163577347,"Human (Fetal)"
"7372","PKD1",1.58946544253146,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"7373","PKD2",0.776552085888602,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"7374","PKDCC",1.25367334060826,"Human (Adult)",NA,NA
"7375","PKIA",1.93792008812358,"Human (Adult)",2.81075706945163,"Human (Fetal)"
"7376","PKIG",2.41002054146819,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"7377","PKM",3.7561004605927,"Human (Adult)",3.3377523809268,"Human (Fetal)"
"7378","PKMYT1",1.6516133492803,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"7379","PKN1",2.22371011723082,"Human (Adult)",2.18750777905373,"Human (Fetal)"
"7380","PKN2",NA,NA,1.40935652867009,"Human (Fetal)"
"7381","PKNOX1",0.776552085888602,"Human (Adult)",1.82432987664091,"Human (Fetal)"
"7382","PKNOX2",1.47552209022462,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"7383","PKP2",0.776552085888602,"Human (Adult)",NA,NA
"7384","PKP4",1.79774138495854,"Human (Adult)",NA,NA
"7385","PLA1A",0.776552085888602,"Human (Adult)",NA,NA
"7386","PLA2G12A",1.37861207721656,"Human (Adult)",1.85651456001231,"Human (Fetal)"
"7387","PLA2G15",1.70597101160289,"Human (Adult)",2.03260581906799,"Human (Fetal)"
"7388","PLA2G4A",1.17449209456064,"Human (Adult)",NA,NA
"7389","PLA2G4B",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7390","PLA2G4C",1.75427569117745,"Human (Adult)",NA,NA
"7391","PLA2G5",0.776552085888602,"Human (Adult)",NA,NA
"7392","PLA2G6",2.00700100726688,"Human (Adult)",1.82432987664091,"Human (Fetal)"
"7393","PLAA",1.37861207721656,"Human (Adult)",1.94083544571235,"Human (Fetal)"
"7394","PLAAT3",1.79774138495854,"Human (Adult)",NA,NA
"7395","PLAAT4",1.32062013023888,"Human (Adult)",NA,NA
"7396","PLAAT5",0.776552085888602,"Human (Adult)",NA,NA
"7397","PLAGL2",NA,NA,1.18750777905373,"Human (Fetal)"
"7398","PLAT",1.58946544253146,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"7399","PLAU",0.776552085888602,"Human (Adult)",NA,NA
"7400","PLAUR",1.17449209456064,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"7401","PLBD2",0.776552085888602,"Human (Adult)",NA,NA
"7402","PLCB1",1.32062013023888,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7403","PLCB2",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7404","PLCB3",0.952643344944283,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"7405","PLCD1",1.79774138495854,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7406","PLCD3",1.37861207721656,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"7407","PLCG1",1.07758208155258,"Human (Adult)",1.91450650699,"Human (Fetal)"
"7408","PLCH1",0.776552085888602,"Human (Adult)",NA,NA
"7409","PLCH2",0.776552085888602,"Human (Adult)",NA,NA
"7410","PLCL1",0.952643344944283,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7411","PLCL2",1.58946544253146,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"7412","PLCXD1",NA,NA,1.01141651999805,"Human (Fetal)"
"7413","PLD2",0.776552085888602,"Human (Adult)",NA,NA
"7414","PLD3",2.66864668857908,"Human (Adult)",2.73569238959884,"Human (Fetal)"
"7415","PLD4",NA,NA,1.18750777905373,"Human (Fetal)"
"7416","PLD6",1.37861207721656,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7417","PLEKHA1",1.89049543819544,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"7418","PLEKHA3",1.37861207721656,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"7419","PLEKHA4",0.776552085888602,"Human (Adult)",NA,NA
"7420","PLEKHA5",1.37861207721656,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"7421","PLEKHA7",NA,NA,1.40935652867009,"Human (Fetal)"
"7422","PLEKHA8",NA,NA,1.40935652867009,"Human (Fetal)"
"7423","PLEKHB1",3.12290506033924,"Human (Adult)",1.85651456001231,"Human (Fetal)"
"7424","PLEKHB2",2.28843544686748,"Human (Adult)",2.07211436035166,"Human (Fetal)"
"7425","PLEKHF1",1.37861207721656,"Human (Adult)",NA,NA
"7426","PLEKHF2",1.07758208155258,"Human (Adult)",1.7517792094923,"Human (Fetal)"
"7427","PLEKHG2",NA,NA,1.01141651999805,"Human (Fetal)"
"7428","PLEKHG3",0.776552085888602,"Human (Adult)",NA,NA
"7429","PLEKHG5",1.7765520858886,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"7430","PLEKHH1",1.17449209456064,"Human (Adult)",NA,NA
"7431","PLEKHH3",0.952643344944283,"Human (Adult)",NA,NA
"7432","PLEKHJ1",1.07758208155258,"Human (Adult)",2.12535987230489,"Human (Fetal)"
"7433","PLEKHM1",1.25367334060826,"Human (Adult)",NA,NA
"7434","PLEKHM1P1",NA,NA,1.31244651566203,"Human (Fetal)"
"7435","PLEKHM2",1.79774138495854,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7436","PLEKHM3",0.952643344944283,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7437","PLEKHO1",1.51691477538285,"Human (Adult)",1.96565902943738,"Human (Fetal)"
"7438","PLEKHO2",1.58946544253146,"Human (Adult)",NA,NA
"7439","PLIN1",0.776552085888602,"Human (Adult)",NA,NA
"7440","PLIN2",1.07758208155258,"Human (Adult)",1.82432987664091,"Human (Fetal)"
"7441","PLIN3",1.25367334060826,"Human (Adult)",1.6646290337734,"Human (Fetal)"
"7442","PLK1",NA,NA,2.12535987230489,"Human (Fetal)"
"7443","PLK2",2.53621993057823,"Human (Adult)",3.06641238152719,"Human (Fetal)"
"7444","PLK3",1.42976459966395,"Human (Adult)",1.91450650699,"Human (Fetal)"
"7445","PLK4",NA,NA,1.40935652867009,"Human (Fetal)"
"7446","PLLP",2.17449209456064,"Human (Adult)",NA,NA
"7447","PLOD1",1.93792008812358,"Human (Adult)",1.7517792094923,"Human (Fetal)"
"7448","PLOD2",1.07758208155258,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"7449","PLOD3",1.47552209022462,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7450","PLP1",3.55866623336767,"Human (Adult)",1.85651456001231,"Human (Fetal)"
"7451","PLPBP",1.96688378405889,"Human (Adult)",1.91450650699,"Human (Fetal)"
"7452","PLPP1",1.95264334494428,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7453","PLPP2",1.07758208155258,"Human (Adult)",NA,NA
"7454","PLPP3",1.95264334494428,"Human (Adult)",1.94083544571235,"Human (Fetal)"
"7455","PLPP5",1.37861207721656,"Human (Adult)",2.51656649831796,"Human (Fetal)"
"7456","PLPP7",2.14761994816034,"Human (Adult)",NA,NA
"7457","PLPPR1",NA,NA,2.73977030201928,"Human (Fetal)"
"7458","PLPPR2",2.50894584571157,"Human (Adult)",2.76346496781749,"Human (Fetal)"
"7459","PLPPR3",1.81794477104683,"Human (Adult)",1.85651456001231,"Human (Fetal)"
"7460","PLPPR4",1.7765520858886,"Human (Adult)",2.12535987230489,"Human (Fetal)"
"7461","PLPPR5",1.17449209456064,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"7462","PLRG1",1.17449209456064,"Human (Adult)",1.91450650699,"Human (Fetal)"
"7463","PLS3",1.99403603010251,"Human (Adult)",1.94083544571235,"Human (Fetal)"
"7464","PLSCR1",1.25367334060826,"Human (Adult)",NA,NA
"7465","PLSCR3",1.32062013023888,"Human (Adult)",2.03260581906799,"Human (Fetal)"
"7466","PLSCR4",1.25367334060826,"Human (Adult)",NA,NA
"7467","PLTP",2.0195901345749,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"7468","PLVAP",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7469","PLXDC1",1.51691477538285,"Human (Adult)",NA,NA
"7470","PLXNA1",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7471","PLXNA2",1.62165012590286,"Human (Adult)",2.22890046421196,"Human (Fetal)"
"7472","PLXNA3",NA,NA,1.01141651999805,"Human (Fetal)"
"7473","PLXNB1",0.952643344944283,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"7474","PLXNB2",0.776552085888602,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"7475","PLXNB3",0.952643344944283,"Human (Adult)",NA,NA
"7476","PLXNC1",0.776552085888602,"Human (Adult)",NA,NA
"7477","PLXND1",0.776552085888602,"Human (Adult)",NA,NA
"7478","PM20D2",NA,NA,1.48853777471772,"Human (Fetal)"
"7479","PMAIP1",0.776552085888602,"Human (Adult)",NA,NA
"7480","PMF1",1.42976459966395,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7481","PMF1-BGLAP",0.776552085888602,"Human (Adult)",NA,NA
"7482","PML",1.51691477538285,"Human (Adult)",1.82432987664091,"Human (Fetal)"
"7483","PMM1",2.0195901345749,"Human (Adult)",1.85651456001231,"Human (Fetal)"
"7484","PMM2",NA,NA,1.40935652867009,"Human (Fetal)"
"7485","PMP2",1.58946544253146,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"7486","PMP22",2.23895008378756,"Human (Adult)",1.88647778338975,"Human (Fetal)"
"7487","PMPCA",2.37861207721656,"Human (Adult)",2.50972707378765,"Human (Fetal)"
"7488","PMPCB",1.25367334060826,"Human (Adult)",1.7517792094923,"Human (Fetal)"
"7489","PMS1",1.17449209456064,"Human (Adult)",1.91450650699,"Human (Fetal)"
"7490","PMS2",1.25367334060826,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"7491","PMS2CL",NA,NA,1.18750777905373,"Human (Fetal)"
"7492","PMS2P1",0.776552085888602,"Human (Adult)",NA,NA
"7493","PMVK",1.95264334494428,"Human (Adult)",1.96565902943738,"Human (Fetal)"
