"","associated_gene","Human (Adult)_Detected_LogTPM_Isoseq","Human (Adult)","Human (Fetal)_Detected_LogTPM_Isoseq","Human (Fetal)","isoseq_comparison"
"42","ABHD4",1.37861207721656,"Human (Adult)",1.7517792094923,"Human (Fetal)",0.786978216059612
"43","ABHD5",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)",0.767786634422481
"44","ABHD6",2.15676332760021,"Human (Adult)",2.01141651999805,"Human (Fetal)",1.07226091968375
"45","ABHD8",2.62781043460768,"Human (Adult)",2.15754455567629,"Human (Fetal)",1.21796346114576
"46","ABI1",1.90688585438361,"Human (Adult)",1.82432987664091,"Human (Fetal)",1.04525276859178
"47","ABITRAM",1.70597101160289,"Human (Adult)",1.7895677703817,"Human (Fetal)",0.953286620287663
"48","ABL1",0.776552085888602,"Human (Adult)",1.18750777905373,"Human (Fetal)",0.653934314861835
"49","ABR",1.17449209456064,"Human (Adult)",1.01141651999805,"Human (Fetal)",1.16123483385747
"50","ABRACL",1.42976459966395,"Human (Adult)",1.61347651132602,"Human (Fetal)",0.886139085154027
"51","ABRAXAS2",1.47552209022462,"Human (Adult)",1.71038652433407,"Human (Fetal)",0.86268341642782
"52","ABT1",0.776552085888602,"Human (Adult)",1.40935652867009,"Human (Fetal)",0.550997614933802
"53","ABTB1",2.46229382449087,"Human (Adult)",1.48853777471772,"Human (Fetal)",1.65416952549814
"54","AC003112.1",3.06769884762049,"Human (Adult)",2.61347651132602,"Human (Fetal)",1.17380004539012
"55","AC003665.1",0.776552085888602,"Human (Adult)",1.31244651566203,"Human (Fetal)",0.591682843164766
"56","AC004086.1",2.0195901345749,"Human (Adult)",2.22890046421196,"Human (Fetal)",0.906092563127952
"57","AC004156.1",2.08830594694436,"Human (Adult)",1.85651456001231,"Human (Fetal)",1.12485298630274
"58","AC004475.1",2.14761994816034,"Human (Adult)",2.27858824840107,"Human (Fetal)",0.94252217339722
"59","AC005261.1",0.776552085888602,"Human (Adult)",1.48853777471772,"Human (Fetal)",0.521687859776261
"60","AC005498.3",0.952643344944283,"Human (Adult)",1.01141651999805,"Human (Fetal)",0.941890236226434
"61","AC005747.1",1.47552209022462,"Human (Adult)",1.31244651566203,"Human (Fetal)",1.12425312012073
"62","AC005954.1",1.47552209022462,"Human (Adult)",1.61347651132602,"Human (Fetal)",0.91449864926263
"63","AC006001.3",1.17449209456064,"Human (Adult)",1.7517792094923,"Human (Fetal)",0.670456692371085
"64","AC006115.2",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)",0.767786634422481
"65","AC006538.1",2.18309226632256,"Human (Adult)",2.07211436035166,"Human (Fetal)",1.05355780940202
"66","AC008525.1",0.776552085888602,"Human (Adult)",1.82432987664091,"Human (Fetal)",0.425664292314528
"67","AC009041.2",2.35058335361632,"Human (Adult)",1.7517792094923,"Human (Fetal)",1.34182626490788
"68","AC009412.1",1.83724992624221,"Human (Adult)",2.15754455567629,"Human (Fetal)",0.851546690615768
"69","AC010605.1",1.73079459532793,"Human (Adult)",1.01141651999805,"Human (Fetal)",1.71125798432802
"70","AC010618.1",1.51691477538285,"Human (Adult)",1.48853777471772,"Human (Fetal)",1.01906367520335
"71","AC011445.1",1.83724992624221,"Human (Adult)",1.31244651566203,"Human (Fetal)",1.39986651213399
"72","AC011474.2",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)",0.767786634422481
"73","AC011511.1",1.07758208155258,"Human (Adult)",2.10832653300611,"Human (Fetal)",0.511107774191002
"74","AC012146.1",1.17449209456064,"Human (Adult)",1.01141651999805,"Human (Fetal)",1.16123483385747
"75","AC016586.1",1.17449209456064,"Human (Adult)",2.07211436035166,"Human (Fetal)",0.566808529989297
"76","AC022966.1",1.42976459966395,"Human (Adult)",1.55548456434833,"Human (Fetal)",0.919176334136718
"77","AC025165.3",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)",0.767786634422481
"78","AC026273.1",1.07758208155258,"Human (Adult)",1.18750777905373,"Human (Fetal)",0.907431597973409
"79","AC034102.1",2.7677781615811,"Human (Adult)",1.71038652433407,"Human (Fetal)",1.61821794208693
"80","AC055839.2",3.04489599983967,"Human (Adult)",2.69715825860032,"Human (Fetal)",1.12892745174687
"81","AC068580.4",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)",0.767786634422481
"82","AC073111.4",1.37861207721656,"Human (Adult)",1.40935652867009,"Human (Fetal)",0.978185469164047
"83","AC073869.1",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)",0.767786634422481
"84","AC074143.1",1.62165012590286,"Human (Adult)",1.01141651999805,"Human (Fetal)",1.60334549993902
"85","AC087289.1",1.93792008812358,"Human (Adult)",1.7895677703817,"Human (Fetal)",1.08289840720044
"86","AC090517.5",1.07758208155258,"Human (Adult)",1.31244651566203,"Human (Fetal)",0.821048376976354
"87","AC091021.1",1.42976459966395,"Human (Adult)",2.05280920515628,"Human (Fetal)",0.696491712952495
"88","AC092683.1",0.776552085888602,"Human (Adult)",1.48853777471772,"Human (Fetal)",0.521687859776261
"89","AC092881.1",1.51691477538285,"Human (Adult)",1.96565902943738,"Human (Fetal)",0.771707988346802
"90","AC093323.1",1.70597101160289,"Human (Adult)",1.61347651132602,"Human (Fetal)",1.05732621431276
"91","AC093512.2",1.25367334060826,"Human (Adult)",1.61347651132602,"Human (Fetal)",0.77700129615023
"92","AC105052.3",2.18309226632256,"Human (Adult)",1.91450650699,"Human (Fetal)",1.14028981272821
"93","AC105942.1",0.776552085888602,"Human (Adult)",1.31244651566203,"Human (Fetal)",0.591682843164766
"94","AC108047.1",0.776552085888602,"Human (Adult)",1.31244651566203,"Human (Fetal)",0.591682843164766
"95","AC118549.1",0.776552085888602,"Human (Adult)",1.40935652867009,"Human (Fetal)",0.550997614933802
"96","AC124312.1",1.25367334060826,"Human (Adult)",1.01141651999805,"Human (Fetal)",1.23952230937525
"97","AC129492.1",1.70597101160289,"Human (Adult)",1.18750777905373,"Human (Fetal)",1.43659775682674
"98","AC132008.2",1.17449209456064,"Human (Adult)",1.18750777905373,"Human (Fetal)",0.98903949538464
"99","AC138393.1",0.776552085888602,"Human (Adult)",1.18750777905373,"Human (Fetal)",0.653934314861835
"100","AC139768.1",1.55470333627225,"Human (Adult)",1.01141651999805,"Human (Fetal)",1.53715438252407
"101","AC159540.2",1.6516133492803,"Human (Adult)",1.40935652867009,"Human (Fetal)",1.17189179294384
"102","AC241952.1",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)",0.767786634422481
"103","AC242376.2",0.776552085888602,"Human (Adult)",1.48853777471772,"Human (Fetal)",0.521687859776261
"104","AC245060.4",0.952643344944283,"Human (Adult)",1.61347651132602,"Human (Fetal)",0.590429013535106
"105","AC245060.7",1.07758208155258,"Human (Adult)",1.55548456434833,"Human (Fetal)",0.692762953905645
"106","AC245297.1",2.1382799219062,"Human (Adult)",1.48853777471772,"Human (Fetal)",1.43649691544556
"107","ACAA1",2.1382799219062,"Human (Adult)",2.05280920515628,"Human (Fetal)",1.04163597695062
"108","ACAA2",1.98067206854453,"Human (Adult)",1.01141651999805,"Human (Fetal)",1.95831492701774
"109","ACACA",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)",0.767786634422481
"110","ACAD11",0.776552085888602,"Human (Adult)",1.7895677703817,"Human (Fetal)",0.433932762279783
"111","ACAD8",1.70597101160289,"Human (Adult)",1.85651456001231,"Human (Fetal)",0.918910655670583
"112","ACAD9",1.96688378405889,"Human (Adult)",2.01141651999805,"Human (Fetal)",0.977860012833542
"113","ACADM",1.42976459966395,"Human (Adult)",1.7517792094923,"Human (Fetal)",0.816178541174902
"114","ACADS",1.58946544253146,"Human (Adult)",1.40935652867009,"Human (Fetal)",1.12779513926921
"115","ACADSB",1.07758208155258,"Human (Adult)",1.48853777471772,"Human (Fetal)",0.723919876173069
"116","ACADVL",2.71105053713217,"Human (Adult)",2.89790724517053,"Human (Fetal)",0.935520121166829
"117","ACAP3",2.19152543385942,"Human (Adult)",2.17278452223303,"Human (Fetal)",1.00862529691031
"118","ACAT1",2.09877138062252,"Human (Adult)",1.01141651999805,"Human (Fetal)",2.07508117489179
"119","ACAT2",2.12873460399996,"Human (Adult)",1.94083544571235,"Human (Fetal)",1.09681354424082
"120","ACBD3",1.42976459966395,"Human (Adult)",1.18750777905373,"Human (Fetal)",1.20400440728334
"121","ACBD5",1.79774138495854,"Human (Adult)",1.7895677703817,"Human (Fetal)",1.00456736800479
"122","ACBD6",1.25367334060826,"Human (Adult)",1.94083544571235,"Human (Fetal)",0.645945200237277
"123","ACD",1.85573333193623,"Human (Adult)",2.14175028849306,"Human (Fetal)",0.866456440746846
"124","ACHE",2.15676332760021,"Human (Adult)",1.40935652867009,"Human (Fetal)",1.53031776113841
"125","ACIN1",1.67964207288055,"Human (Adult)",2.39162776170966,"Human (Fetal)",0.702300792695202
"126","ACKR3",1.55470333627225,"Human (Adult)",1.7895677703817,"Human (Fetal)",0.868759128323284
"127","ACLY",1.90688585438361,"Human (Adult)",2.57961824406505,"Human (Fetal)",0.739212423687419
"128","ACO1",1.55470333627225,"Human (Adult)",2.01141651999805,"Human (Fetal)",0.772939528344806
"129","ACO2",2.90849138109903,"Human (Adult)",2.49571635934484,"Human (Fetal)",1.16539340306386
"130","ACOT13",1.37861207721656,"Human (Adult)",1.01141651999805,"Human (Fetal)",1.36305078072011
"131","ACOT2",2.0195901345749,"Human (Adult)",1.18750777905373,"Human (Fetal)",1.70069634085615
"132","ACOT7",2.67417917717904,"Human (Adult)",2.40935652867009,"Human (Fetal)",1.10991426356278
"133","ACOX1",0.952643344944283,"Human (Adult)",1.7517792094923,"Human (Fetal)",0.543814734061366
"134","ACOX3",1.17449209456064,"Human (Adult)",1.7895677703817,"Human (Fetal)",0.656299310928098
"135","ACP1",2.10899054580421,"Human (Adult)",2.09059776604568,"Human (Fetal)",1.00879785679352
"136","ACP2",1.67964207288055,"Human (Adult)",1.91450650699,"Human (Fetal)",0.877323773383927
"137","ACSBG1",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)",0.767786634422481
"138","ACSF3",1.58946544253146,"Human (Adult)",1.31244651566203,"Human (Fetal)",1.21107064064221
"139","ACSL1",1.58946544253146,"Human (Adult)",1.88647778338975,"Human (Fetal)",0.842557201853391
"140","ACSL3",2.08830594694436,"Human (Adult)",1.85651456001231,"Human (Fetal)",1.12485298630274
"141","ACSL4",1.07758208155258,"Human (Adult)",1.7895677703817,"Human (Fetal)",0.602146562643306
"142","ACSS1",1.89049543819544,"Human (Adult)",1.61347651132602,"Human (Fetal)",1.17169070942456
"143","ACSS2",1.51691477538285,"Human (Adult)",1.48853777471772,"Human (Fetal)",1.01906367520335
"144","ACTB",4.20549637592418,"Human (Adult)",4.28499646567426,"Human (Fetal)",0.981446871569923
"145","ACTG1",3.42491209686953,"Human (Adult)",3.58775787020385,"Human (Fetal)",0.954610712532544
"146","ACTL6B",2.0195901345749,"Human (Adult)",2.46626138000656,"Human (Fetal)",0.818887304868522
"147","ACTN1",1.99403603010251,"Human (Adult)",1.40935652867009,"Human (Fetal)",1.41485563768888
"148","ACTN2",1.75427569117745,"Human (Adult)",1.40935652867009,"Human (Fetal)",1.24473520751547
"149","ACTR10",2.21588477971886,"Human (Adult)",1.31244651566203,"Human (Fetal)",1.68836196620257
"150","ACTR1A",2.66021352104222,"Human (Adult)",2.73157582340401,"Human (Fetal)",0.97387504247535
"151","ACTR1B",2.38400710910327,"Human (Adult)",2.24186544137633,"Human (Fetal)",1.06340330026216
"152","ACTR2",2.04372381429162,"Human (Adult)",2.56771902076534,"Human (Fetal)",0.795929693928294
"153","ACTR3",2.16571817025313,"Human (Adult)",1.61347651132602,"Human (Fetal)",1.34226817375437
"154","ACTR3B",2.3998013762865,"Human (Adult)",2.62420037671779,"Human (Fetal)",0.91448861816263
"155","ACTR5",1.17449209456064,"Human (Adult)",1.6646290337734,"Human (Fetal)",0.705557857475482
"156","ACTR6",1.83724992624221,"Human (Adult)",2.17278452223303,"Human (Fetal)",0.845573920212771
"157","ACTR8",0.776552085888602,"Human (Adult)",1.18750777905373,"Human (Fetal)",0.653934314861835
"158","ACVR1",1.42976459966395,"Human (Adult)",1.18750777905373,"Human (Fetal)",1.20400440728334
"159","AD001527.2_TBCB",2.61853689047872,"Human (Adult)",2.40058260436259,"Human (Fetal)",1.09079224589899
"160","ADA",1.51691477538285,"Human (Adult)",1.01141651999805,"Human (Fetal)",1.49979236584525
"161","ADA2",0.952643344944283,"Human (Adult)",1.55548456434833,"Human (Fetal)",0.612441529012147
"162","ADAM10",1.47552209022462,"Human (Adult)",2.32317038105381,"Human (Fetal)",0.635132964098532
"163","ADAM15",1.58946544253146,"Human (Adult)",1.71038652433407,"Human (Fetal)",0.929301897505481
"164","ADAM9",0.952643344944283,"Human (Adult)",1.01141651999805,"Human (Fetal)",0.941890236226434
"165","ADAMTS10",0.776552085888602,"Human (Adult)",1.88647778338975,"Human (Fetal)",0.411641256910665
"166","ADAMTSL2",1.37861207721656,"Human (Adult)",1.01141651999805,"Human (Fetal)",1.36305078072011
"167","ADAP1",1.55470333627225,"Human (Adult)",1.01141651999805,"Human (Fetal)",1.53715438252407
"168","ADAR",1.47552209022462,"Human (Adult)",2.35383920082026,"Human (Fetal)",0.626857641639427
"169","ADAT1",1.42976459966395,"Human (Adult)",1.7895677703817,"Human (Fetal)",0.798944093276217
"170","ADCK1",1.42976459966395,"Human (Adult)",1.18750777905373,"Human (Fetal)",1.20400440728334
"171","ADCK2",1.95264334494428,"Human (Adult)",1.6646290337734,"Human (Fetal)",1.17302011759221
"172","ADCK5",1.6516133492803,"Human (Adult)",2.03260581906799,"Human (Fetal)",0.812559589166981
"173","ADCY2",1.90688585438361,"Human (Adult)",1.01141651999805,"Human (Fetal)",1.88536158613197
"174","ADCY3",1.79774138495854,"Human (Adult)",1.01141651999805,"Human (Fetal)",1.77744910174297
"175","ADCY5",1.07758208155258,"Human (Adult)",1.01141651999805,"Human (Fetal)",1.0654187075713
"176","ADCY8",0.776552085888602,"Human (Adult)",1.48853777471772,"Human (Fetal)",0.521687859776261
"177","ADCYAP1",1.62165012590286,"Human (Adult)",1.01141651999805,"Human (Fetal)",1.60334549993902
"178","ADD1",2.74736369676112,"Human (Adult)",2.80029163577347,"Human (Fetal)",0.981099133270192
"179","ADD2",1.32062013023888,"Human (Adult)",1.82432987664091,"Human (Fetal)",0.723893275634175
"180","ADD3",2.3676166929151,"Human (Adult)",1.48853777471772,"Human (Fetal)",1.59056540796494
"181","ADGRA1",1.25367334060826,"Human (Adult)",1.18750777905373,"Human (Fetal)",1.05571800262837
"182","ADGRB2",1.70597101160289,"Human (Adult)",1.48853777471772,"Human (Fetal)",1.14607169571253
"183","ADGRB3",1.25367334060826,"Human (Adult)",2.12535987230489,"Human (Fetal)",0.589864030531777
"184","ADGRG1",1.62165012590286,"Human (Adult)",2.22890046421196,"Human (Fetal)",0.727556098596894
"185","ADGRL1",1.17449209456064,"Human (Adult)",1.01141651999805,"Human (Fetal)",1.16123483385747
"186","ADGRL3",1.32062013023888,"Human (Adult)",1.31244651566203,"Human (Fetal)",1.00622776964951
"187","ADGRV1",1.17449209456064,"Human (Adult)",1.7517792094923,"Human (Fetal)",0.670456692371085
"188","ADH5",1.55470333627225,"Human (Adult)",2.12535987230489,"Human (Fetal)",0.731501218467166
"189","ADHFE1",1.42976459966395,"Human (Adult)",1.01141651999805,"Human (Fetal)",1.4136259111792
"190","ADI1",1.62165012590286,"Human (Adult)",1.55548456434833,"Human (Fetal)",1.04253694512375
"191","ADIPOR1",2.50490586790983,"Human (Adult)",2.45074921382832,"Human (Fetal)",1.02209799916529
"192","ADK",1.37861207721656,"Human (Adult)",1.48853777471772,"Human (Fetal)",0.926151892569877
"193","ADM",1.55470333627225,"Human (Adult)",1.61347651132602,"Human (Fetal)",0.963573578765354
"194","ADNP2",0.952643344944283,"Human (Adult)",1.01141651999805,"Human (Fetal)",0.941890236226434
"195","ADORA1",2.23895008378756,"Human (Adult)",1.01141651999805,"Human (Fetal)",2.21367758931985
"196","ADPGK",1.37861207721656,"Human (Adult)",1.71038652433407,"Human (Fetal)",0.806023701428143
"197","ADPRM",0.952643344944283,"Human (Adult)",1.01141651999805,"Human (Fetal)",0.941890236226434
"198","ADRM1",2.42000476237479,"Human (Adult)",2.26668902510136,"Human (Fetal)",1.06763862866746
"199","ADSL",1.17449209456064,"Human (Adult)",1.55548456434833,"Human (Fetal)",0.755065091277646
"200","ADSS",1.79774138495854,"Human (Adult)",1.6646290337734,"Human (Fetal)",1.07996517451303
"201","AEBP1",1.37861207721656,"Human (Adult)",1.18750777905373,"Human (Fetal)",1.16092888108498
"202","AEN",1.25367334060826,"Human (Adult)",1.55548456434833,"Human (Fetal)",0.805969644021181
"203","AFAP1L2",1.07758208155258,"Human (Adult)",1.01141651999805,"Human (Fetal)",1.0654187075713
"204","AFDN",0.952643344944283,"Human (Adult)",1.31244651566203,"Human (Fetal)",0.725853079402435
"205","AFF4",0.776552085888602,"Human (Adult)",1.71038652433407,"Human (Fetal)",0.45402140091752
"206","AFG3L1P",0.776552085888602,"Human (Adult)",1.18750777905373,"Human (Fetal)",0.653934314861835
"207","AFG3L2",2.04372381429162,"Human (Adult)",1.9891401252869,"Human (Fetal)",1.0274408465803
"208","AFTPH",1.79774138495854,"Human (Adult)",2.21553650265398,"Human (Fetal)",0.811424854794781
"209","AGAP1",1.07758208155258,"Human (Adult)",1.01141651999805,"Human (Fetal)",1.0654187075713
"210","AGAP2",1.37861207721656,"Human (Adult)",1.61347651132602,"Human (Fetal)",0.854435789761556
"211","AGAP3",2.10899054580421,"Human (Adult)",1.31244651566203,"Human (Fetal)",1.60691542141843
"212","AGAP4",0.776552085888602,"Human (Adult)",1.31244651566203,"Human (Fetal)",0.591682843164766
"213","AGAP6",1.25367334060826,"Human (Adult)",1.01141651999805,"Human (Fetal)",1.23952230937525
"214","AGBL5",1.62165012590286,"Human (Adult)",1.82432987664091,"Human (Fetal)",0.888901808092274
"215","AGGF1",0.776552085888602,"Human (Adult)",1.31244651566203,"Human (Fetal)",0.591682843164766
"216","AGK",1.07758208155258,"Human (Adult)",1.18750777905373,"Human (Fetal)",0.907431597973409
"217","AGPAT3",0.952643344944283,"Human (Adult)",1.01141651999805,"Human (Fetal)",0.941890236226434
"218","AGPAT4",1.75427569117745,"Human (Adult)",1.31244651566203,"Human (Fetal)",1.3366454710671
"219","AGPS",0.952643344944283,"Human (Adult)",1.01141651999805,"Human (Fetal)",0.941890236226434
"220","AGRN",1.25367334060826,"Human (Adult)",1.48853777471772,"Human (Fetal)",0.842218022210427
"221","AGTPBP1",0.952643344944283,"Human (Adult)",1.31244651566203,"Human (Fetal)",0.725853079402435
"222","AHCTF1",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)",0.767786634422481
"223","AHCY",2.0195901345749,"Human (Adult)",2.12535987230489,"Human (Fetal)",0.950234433656034
"224","AHCYL1",2.29506602576649,"Human (Adult)",1.88647778338975,"Human (Fetal)",1.21658788986243
"225","AHCYL2",1.55470333627225,"Human (Adult)",1.71038652433407,"Human (Fetal)",0.90897777441129
"226","AHDC1",1.07758208155258,"Human (Adult)",1.31244651566203,"Human (Fetal)",0.821048376976354
"227","AHI1",1.98067206854453,"Human (Adult)",1.18750777905373,"Human (Fetal)",1.66792344730813
"228","AHSA1",2.15676332760021,"Human (Adult)",2.01141651999805,"Human (Fetal)",1.07226091968375
"229","AHSA2P",1.17449209456064,"Human (Adult)",1.6646290337734,"Human (Fetal)",0.705557857475482
"230","AIDA",0.952643344944283,"Human (Adult)",1.6646290337734,"Human (Fetal)",0.572285671832134
"231","AIF1L",2.72594209253351,"Human (Adult)",2.34385497991366,"Human (Fetal)",1.16301653297421
"232","AIFM1",1.51691477538285,"Human (Adult)",1.61347651132602,"Human (Fetal)",0.940152995556278
"233","AIG1",1.6516133492803,"Human (Adult)",1.85651456001231,"Human (Fetal)",0.889631239557502
"234","AIMP1",0.776552085888602,"Human (Adult)",1.7517792094923,"Human (Fetal)",0.443293356651757
"235","AIMP2",1.37861207721656,"Human (Adult)",1.01141651999805,"Human (Fetal)",1.36305078072011
"236","AIP",2.11897476671081,"Human (Adult)",1.61347651132602,"Human (Fetal)",1.31329756078653
"237","AK1",1.55470333627225,"Human (Adult)",1.85651456001231,"Human (Fetal)",0.837431264887003
"238","AK2",1.07758208155258,"Human (Adult)",1.7895677703817,"Human (Fetal)",0.602146562643306
"239","AK3",1.58946544253146,"Human (Adult)",1.40935652867009,"Human (Fetal)",1.12779513926921
"240","AK5",2.89876796416143,"Human (Adult)",1.6646290337734,"Human (Fetal)",1.74138976633759
"241","AK9",1.07758208155258,"Human (Adult)",1.40935652867009,"Human (Fetal)",0.764591542048924
"242","AKAP1",1.32062013023888,"Human (Adult)",1.01141651999805,"Human (Fetal)",1.3057134267902
"243","AKAP10",0.776552085888602,"Human (Adult)",1.18750777905373,"Human (Fetal)",0.653934314861835
"244","AKAP11",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)",0.767786634422481
"245","AKAP12",1.55470333627225,"Human (Adult)",1.48853777471772,"Human (Fetal)",1.04445003860724
"246","AKAP13",1.07758208155258,"Human (Adult)",1.94083544571235,"Human (Fetal)",0.555215581997513
"247","AKAP17A",2.08830594694436,"Human (Adult)",2.07211436035166,"Human (Fetal)",1.00781404101169
"248","AKAP6",1.51691477538285,"Human (Adult)",1.85651456001231,"Human (Fetal)",0.817076692020551
"249","AKAP7",1.51691477538285,"Human (Adult)",2.80029163577347,"Human (Fetal)",0.541698855935003
"250","AKAP8",0.776552085888602,"Human (Adult)",1.48853777471772,"Human (Fetal)",0.521687859776261
"251","AKAP8L",2.50490586790983,"Human (Adult)",2.77857238608023,"Human (Fetal)",0.901508227915391
"252","AKAP9",1.79774138495854,"Human (Adult)",2.17278452223303,"Human (Fetal)",0.827390551876242
"253","AKIP1",1.62165012590286,"Human (Adult)",1.61347651132602,"Human (Fetal)",1.0050658404504
"254","AKIRIN1",1.55470333627225,"Human (Adult)",1.55548456434833,"Human (Fetal)",0.999497759030216
"255","AKIRIN2",2.19979795982541,"Human (Adult)",2.54923561507133,"Human (Fetal)",0.862924535817714
"256","AKR1A1",1.99403603010251,"Human (Adult)",2.09059776604568,"Human (Fetal)",0.953811422976016
"257","AKR1B1",2.40494101593891,"Human (Adult)",2.5364613270349,"Human (Fetal)",0.948148111033993
"258","AKR7A2",1.73079459532793,"Human (Adult)",1.48853777471772,"Human (Fetal)",1.16274818464459
"259","AKT1",1.93792008812358,"Human (Adult)",1.61347651132602,"Human (Fetal)",1.20108354507803
"260","AKT1S1",2.04372381429162,"Human (Adult)",1.7517792094923,"Human (Fetal)",1.16665605072681
"261","AKT2",1.32062013023888,"Human (Adult)",1.94083544571235,"Human (Fetal)",0.68043900020291
"262","AKTIP",1.51691477538285,"Human (Adult)",1.61347651132602,"Human (Fetal)",0.940152995556278
"263","AL021395.1",1.42976459966395,"Human (Adult)",1.31244651566203,"Human (Fetal)",1.08938884945169
"264","AL049834.1",1.47552209022462,"Human (Adult)",1.7895677703817,"Human (Fetal)",0.824513111291621
"265","AL096870.1",1.87346209889666,"Human (Adult)",2.41795670043201,"Human (Fetal)",0.77481209591633
